year,week,loc,state,country,loc_type,number,event
1972,11,ALASKA,AK,US,STATE,45,CASES
1972,12,ALASKA,AK,US,STATE,40,CASES
1972,13,ALASKA,AK,US,STATE,10,CASES
1972,15,ALASKA,AK,US,STATE,11,CASES
1972,16,ALASKA,AK,US,STATE,8,CASES
1972,17,ALASKA,AK,US,STATE,14,CASES
1972,19,ALASKA,AK,US,STATE,2,CASES
1972,20,ALASKA,AK,US,STATE,13,CASES
1972,21,ALASKA,AK,US,STATE,12,CASES
1972,23,ALASKA,AK,US,STATE,6,CASES
1972,25,ALASKA,AK,US,STATE,7,CASES
1972,26,ALASKA,AK,US,STATE,27,CASES
1972,27,ALASKA,AK,US,STATE,5,CASES
1972,28,ALASKA,AK,US,STATE,4,CASES
1972,29,ALASKA,AK,US,STATE,1,CASES
1972,30,ALASKA,AK,US,STATE,1,CASES
1972,36,ALASKA,AK,US,STATE,5,CASES
1972,37,ALASKA,AK,US,STATE,5,CASES
1972,38,ALASKA,AK,US,STATE,6,CASES
1972,39,ALASKA,AK,US,STATE,6,CASES
1972,40,ALASKA,AK,US,STATE,1,CASES
1972,42,ALASKA,AK,US,STATE,3,CASES
1972,44,ALASKA,AK,US,STATE,2,CASES
1972,45,ALASKA,AK,US,STATE,3,CASES
1972,47,ALASKA,AK,US,STATE,4,CASES
1972,48,ALASKA,AK,US,STATE,3,CASES
1972,50,ALASKA,AK,US,STATE,2,CASES
1972,51,ALASKA,AK,US,STATE,15,CASES
1973,1,ALASKA,AK,US,STATE,9,CASES
1973,3,ALASKA,AK,US,STATE,17,CASES
1973,4,ALASKA,AK,US,STATE,15,CASES
1973,5,ALASKA,AK,US,STATE,16,CASES
1973,7,ALASKA,AK,US,STATE,41,CASES
1973,8,ALASKA,AK,US,STATE,54,CASES
1973,9,ALASKA,AK,US,STATE,20,CASES
1973,10,ALASKA,AK,US,STATE,28,CASES
1973,11,ALASKA,AK,US,STATE,17,CASES
1973,12,ALASKA,AK,US,STATE,16,CASES
1973,13,ALASKA,AK,US,STATE,22,CASES
1973,14,ALASKA,AK,US,STATE,40,CASES
1973,15,ALASKA,AK,US,STATE,29,CASES
1973,16,ALASKA,AK,US,STATE,9,CASES
1973,17,ALASKA,AK,US,STATE,8,CASES
1973,18,ALASKA,AK,US,STATE,28,CASES
1973,19,ALASKA,AK,US,STATE,14,CASES
1973,20,ALASKA,AK,US,STATE,22,CASES
1973,21,ALASKA,AK,US,STATE,2,CASES
1973,22,ALASKA,AK,US,STATE,8,CASES
1973,23,ALASKA,AK,US,STATE,7,CASES
1973,24,ALASKA,AK,US,STATE,9,CASES
1973,25,ALASKA,AK,US,STATE,6,CASES
1973,26,ALASKA,AK,US,STATE,18,CASES
1973,27,ALASKA,AK,US,STATE,10,CASES
1973,28,ALASKA,AK,US,STATE,5,CASES
1973,29,ALASKA,AK,US,STATE,4,CASES
1973,30,ALASKA,AK,US,STATE,4,CASES
1973,31,ALASKA,AK,US,STATE,7,CASES
1973,32,ALASKA,AK,US,STATE,10,CASES
1973,33,ALASKA,AK,US,STATE,5,CASES
1973,34,ALASKA,AK,US,STATE,2,CASES
1973,35,ALASKA,AK,US,STATE,1,CASES
1973,36,ALASKA,AK,US,STATE,1,CASES
1973,37,ALASKA,AK,US,STATE,8,CASES
1973,38,ALASKA,AK,US,STATE,15,CASES
1973,40,ALASKA,AK,US,STATE,9,CASES
1973,41,ALASKA,AK,US,STATE,5,CASES
1973,42,ALASKA,AK,US,STATE,7,CASES
1973,44,ALASKA,AK,US,STATE,6,CASES
1973,45,ALASKA,AK,US,STATE,1,CASES
1973,46,ALASKA,AK,US,STATE,9,CASES
1973,47,ALASKA,AK,US,STATE,9,CASES
1973,48,ALASKA,AK,US,STATE,10,CASES
1973,49,ALASKA,AK,US,STATE,3,CASES
1973,50,ALASKA,AK,US,STATE,1,CASES
1973,51,ALASKA,AK,US,STATE,11,CASES
1973,52,ALASKA,AK,US,STATE,14,CASES
1974,1,ALASKA,AK,US,STATE,17,CASES
1974,2,ALASKA,AK,US,STATE,5,CASES
1974,3,ALASKA,AK,US,STATE,24,CASES
1974,4,ALASKA,AK,US,STATE,3,CASES
1974,5,ALASKA,AK,US,STATE,5,CASES
1974,6,ALASKA,AK,US,STATE,10,CASES
1974,7,ALASKA,AK,US,STATE,7,CASES
1974,8,ALASKA,AK,US,STATE,21,CASES
1974,9,ALASKA,AK,US,STATE,6,CASES
1974,10,ALASKA,AK,US,STATE,21,CASES
1974,11,ALASKA,AK,US,STATE,4,CASES
1974,12,ALASKA,AK,US,STATE,6,CASES
1974,13,ALASKA,AK,US,STATE,3,CASES
1974,14,ALASKA,AK,US,STATE,3,CASES
1974,15,ALASKA,AK,US,STATE,5,CASES
1974,16,ALASKA,AK,US,STATE,4,CASES
1974,17,ALASKA,AK,US,STATE,6,CASES
1974,18,ALASKA,AK,US,STATE,6,CASES
1974,19,ALASKA,AK,US,STATE,2,CASES
1974,20,ALASKA,AK,US,STATE,9,CASES
1974,21,ALASKA,AK,US,STATE,12,CASES
1974,22,ALASKA,AK,US,STATE,3,CASES
1974,23,ALASKA,AK,US,STATE,11,CASES
1974,24,ALASKA,AK,US,STATE,5,CASES
1974,25,ALASKA,AK,US,STATE,6,CASES
1974,26,ALASKA,AK,US,STATE,9,CASES
1974,27,ALASKA,AK,US,STATE,6,CASES
1974,28,ALASKA,AK,US,STATE,4,CASES
1974,29,ALASKA,AK,US,STATE,1,CASES
1974,30,ALASKA,AK,US,STATE,2,CASES
1974,31,ALASKA,AK,US,STATE,6,CASES
