year,week,loc,state,country,loc_type,number,event
1950,29,ALASKA,AK,US,STATE,1,CASES
1950,39,ALASKA,AK,US,STATE,1,CASES
1951,2,ALASKA,AK,US,STATE,1,CASES
1951,4,ALASKA,AK,US,STATE,1,CASES
1951,9,ALASKA,AK,US,STATE,1,CASES
1951,11,ALASKA,AK,US,STATE,1,CASES
1951,12,ALASKA,AK,US,STATE,3,CASES
1951,15,ALASKA,AK,US,STATE,1,CASES
1951,16,ALASKA,AK,US,STATE,1,CASES
1951,17,ALASKA,AK,US,STATE,1,CASES
1951,19,ALASKA,AK,US,STATE,1,CASES
1951,21,ALASKA,AK,US,STATE,4,CASES
1951,27,ALASKA,AK,US,STATE,1,CASES
1951,28,ALASKA,AK,US,STATE,2,CASES
1951,44,ALASKA,AK,US,STATE,4,CASES
1951,48,ALASKA,AK,US,STATE,5,CASES
1951,49,ALASKA,AK,US,STATE,1,CASES
1965,1,ALASKA,AK,US,STATE,32,CASES
1965,2,ALASKA,AK,US,STATE,56,CASES
1965,4,ALASKA,AK,US,STATE,18,CASES
1965,5,ALASKA,AK,US,STATE,83,CASES
1965,6,ALASKA,AK,US,STATE,35,CASES
1965,7,ALASKA,AK,US,STATE,5,CASES
1965,8,ALASKA,AK,US,STATE,58,CASES
1965,9,ALASKA,AK,US,STATE,27,CASES
1965,10,ALASKA,AK,US,STATE,25,CASES
1965,11,ALASKA,AK,US,STATE,15,CASES
1965,12,ALASKA,AK,US,STATE,16,CASES
1965,13,ALASKA,AK,US,STATE,33,CASES
1965,15,ALASKA,AK,US,STATE,73,CASES
1965,16,ALASKA,AK,US,STATE,37,CASES
1965,17,ALASKA,AK,US,STATE,34,CASES
1965,18,ALASKA,AK,US,STATE,20,CASES
1965,19,ALASKA,AK,US,STATE,9,CASES
1965,20,ALASKA,AK,US,STATE,100,CASES
1965,21,ALASKA,AK,US,STATE,22,CASES
1965,22,ALASKA,AK,US,STATE,26,CASES
1965,23,ALASKA,AK,US,STATE,5,CASES
1965,24,ALASKA,AK,US,STATE,50,CASES
1965,26,ALASKA,AK,US,STATE,11,CASES
1965,27,ALASKA,AK,US,STATE,6,CASES
1965,28,ALASKA,AK,US,STATE,37,CASES
1965,29,ALASKA,AK,US,STATE,8,CASES
1965,30,ALASKA,AK,US,STATE,39,CASES
1965,31,ALASKA,AK,US,STATE,17,CASES
1965,32,ALASKA,AK,US,STATE,43,CASES
1965,33,ALASKA,AK,US,STATE,8,CASES
1965,34,ALASKA,AK,US,STATE,13,CASES
1965,35,ALASKA,AK,US,STATE,27,CASES
1965,36,ALASKA,AK,US,STATE,8,CASES
1965,37,ALASKA,AK,US,STATE,7,CASES
1965,38,ALASKA,AK,US,STATE,16,CASES
1965,39,ALASKA,AK,US,STATE,48,CASES
1965,40,ALASKA,AK,US,STATE,16,CASES
1965,41,ALASKA,AK,US,STATE,18,CASES
1965,42,ALASKA,AK,US,STATE,14,CASES
1965,43,ALASKA,AK,US,STATE,17,CASES
1965,44,ALASKA,AK,US,STATE,51,CASES
1965,45,ALASKA,AK,US,STATE,33,CASES
1965,46,ALASKA,AK,US,STATE,9,CASES
1965,47,ALASKA,AK,US,STATE,56,CASES
1965,48,ALASKA,AK,US,STATE,50,CASES
1965,49,ALASKA,AK,US,STATE,35,CASES
1965,50,ALASKA,AK,US,STATE,26,CASES
1965,51,ALASKA,AK,US,STATE,11,CASES
1965,52,ALASKA,AK,US,STATE,84,CASES
1966,15,ALASKA,AK,US,STATE,31,CASES
