year,week,loc,state,country,loc_type,number,event
1972,1,ALABAMA,AL,US,STATE,10,CASES
1972,3,ALABAMA,AL,US,STATE,34,CASES
1972,4,ALABAMA,AL,US,STATE,12,CASES
1972,5,ALABAMA,AL,US,STATE,18,CASES
1972,6,ALABAMA,AL,US,STATE,12,CASES
1972,7,ALABAMA,AL,US,STATE,2,CASES
1972,8,ALABAMA,AL,US,STATE,20,CASES
1972,9,ALABAMA,AL,US,STATE,13,CASES
1972,10,ALABAMA,AL,US,STATE,34,CASES
1972,11,ALABAMA,AL,US,STATE,2,CASES
1972,12,ALABAMA,AL,US,STATE,33,CASES
1972,13,ALABAMA,AL,US,STATE,20,CASES
1972,14,ALABAMA,AL,US,STATE,11,CASES
1972,15,ALABAMA,AL,US,STATE,47,CASES
1972,16,ALABAMA,AL,US,STATE,22,CASES
1972,17,ALABAMA,AL,US,STATE,25,CASES
1972,18,ALABAMA,AL,US,STATE,16,CASES
1972,19,ALABAMA,AL,US,STATE,42,CASES
1972,20,ALABAMA,AL,US,STATE,7,CASES
1972,21,ALABAMA,AL,US,STATE,10,CASES
1972,23,ALABAMA,AL,US,STATE,23,CASES
1972,24,ALABAMA,AL,US,STATE,3,CASES
1972,27,ALABAMA,AL,US,STATE,12,CASES
1972,28,ALABAMA,AL,US,STATE,1,CASES
1972,29,ALABAMA,AL,US,STATE,5,CASES
1972,30,ALABAMA,AL,US,STATE,3,CASES
1972,32,ALABAMA,AL,US,STATE,3,CASES
1972,36,ALABAMA,AL,US,STATE,1,CASES
1972,37,ALABAMA,AL,US,STATE,2,CASES
1972,39,ALABAMA,AL,US,STATE,2,CASES
1972,41,ALABAMA,AL,US,STATE,1,CASES
1972,43,ALABAMA,AL,US,STATE,1,CASES
1972,44,ALABAMA,AL,US,STATE,9,CASES
1972,46,ALABAMA,AL,US,STATE,5,CASES
1972,47,ALABAMA,AL,US,STATE,7,CASES
1972,48,ALABAMA,AL,US,STATE,11,CASES
1972,49,ALABAMA,AL,US,STATE,23,CASES
1972,50,ALABAMA,AL,US,STATE,11,CASES
1973,1,ALABAMA,AL,US,STATE,5,CASES
1973,3,ALABAMA,AL,US,STATE,30,CASES
1973,4,ALABAMA,AL,US,STATE,6,CASES
1973,5,ALABAMA,AL,US,STATE,12,CASES
1973,6,ALABAMA,AL,US,STATE,30,CASES
1973,7,ALABAMA,AL,US,STATE,23,CASES
1973,8,ALABAMA,AL,US,STATE,91,CASES
1973,9,ALABAMA,AL,US,STATE,38,CASES
1973,10,ALABAMA,AL,US,STATE,22,CASES
1973,11,ALABAMA,AL,US,STATE,24,CASES
1973,12,ALABAMA,AL,US,STATE,52,CASES
1973,13,ALABAMA,AL,US,STATE,39,CASES
1973,14,ALABAMA,AL,US,STATE,26,CASES
1973,15,ALABAMA,AL,US,STATE,25,CASES
1973,16,ALABAMA,AL,US,STATE,6,CASES
1973,17,ALABAMA,AL,US,STATE,99,CASES
1973,18,ALABAMA,AL,US,STATE,49,CASES
1973,19,ALABAMA,AL,US,STATE,37,CASES
1973,20,ALABAMA,AL,US,STATE,44,CASES
1973,21,ALABAMA,AL,US,STATE,17,CASES
1973,23,ALABAMA,AL,US,STATE,19,CASES
1973,24,ALABAMA,AL,US,STATE,47,CASES
1973,25,ALABAMA,AL,US,STATE,12,CASES
1973,26,ALABAMA,AL,US,STATE,22,CASES
1973,27,ALABAMA,AL,US,STATE,4,CASES
1973,28,ALABAMA,AL,US,STATE,15,CASES
1973,29,ALABAMA,AL,US,STATE,3,CASES
1973,30,ALABAMA,AL,US,STATE,3,CASES
1973,31,ALABAMA,AL,US,STATE,1,CASES
1973,33,ALABAMA,AL,US,STATE,5,CASES
1973,38,ALABAMA,AL,US,STATE,1,CASES
1973,41,ALABAMA,AL,US,STATE,9,CASES
1973,43,ALABAMA,AL,US,STATE,2,CASES
1973,44,ALABAMA,AL,US,STATE,3,CASES
1973,45,ALABAMA,AL,US,STATE,2,CASES
1973,46,ALABAMA,AL,US,STATE,2,CASES
1973,48,ALABAMA,AL,US,STATE,1,CASES
1973,49,ALABAMA,AL,US,STATE,13,CASES
1973,50,ALABAMA,AL,US,STATE,8,CASES
1973,51,ALABAMA,AL,US,STATE,1,CASES
1973,52,ALABAMA,AL,US,STATE,18,CASES
1974,1,ALABAMA,AL,US,STATE,14,CASES
1974,2,ALABAMA,AL,US,STATE,6,CASES
1974,3,ALABAMA,AL,US,STATE,21,CASES
1974,4,ALABAMA,AL,US,STATE,23,CASES
1974,5,ALABAMA,AL,US,STATE,37,CASES
1974,6,ALABAMA,AL,US,STATE,14,CASES
1974,7,ALABAMA,AL,US,STATE,8,CASES
1974,8,ALABAMA,AL,US,STATE,19,CASES
1974,9,ALABAMA,AL,US,STATE,17,CASES
1974,10,ALABAMA,AL,US,STATE,30,CASES
1974,11,ALABAMA,AL,US,STATE,1,CASES
1974,12,ALABAMA,AL,US,STATE,31,CASES
1974,13,ALABAMA,AL,US,STATE,9,CASES
1974,14,ALABAMA,AL,US,STATE,10,CASES
1974,15,ALABAMA,AL,US,STATE,6,CASES
1974,17,ALABAMA,AL,US,STATE,21,CASES
1974,18,ALABAMA,AL,US,STATE,6,CASES
1974,19,ALABAMA,AL,US,STATE,7,CASES
1974,20,ALABAMA,AL,US,STATE,18,CASES
1974,21,ALABAMA,AL,US,STATE,26,CASES
1974,22,ALABAMA,AL,US,STATE,4,CASES
1974,23,ALABAMA,AL,US,STATE,45,CASES
1974,24,ALABAMA,AL,US,STATE,4,CASES
1974,25,ALABAMA,AL,US,STATE,3,CASES
1974,27,ALABAMA,AL,US,STATE,9,CASES
1974,29,ALABAMA,AL,US,STATE,1,CASES
1974,31,ALABAMA,AL,US,STATE,1,CASES
1974,33,ALABAMA,AL,US,STATE,2,CASES
1974,34,ALABAMA,AL,US,STATE,1,CASES
1974,35,ALABAMA,AL,US,STATE,2,CASES
1974,36,ALABAMA,AL,US,STATE,1,CASES
1974,37,ALABAMA,AL,US,STATE,1,CASES
1974,40,ALABAMA,AL,US,STATE,1,CASES
1974,41,ALABAMA,AL,US,STATE,2,CASES
1974,42,ALABAMA,AL,US,STATE,4,CASES
1974,43,ALABAMA,AL,US,STATE,3,CASES
1974,44,ALABAMA,AL,US,STATE,2,CASES
1974,46,ALABAMA,AL,US,STATE,18,CASES
1974,48,ALABAMA,AL,US,STATE,13,CASES
1974,49,ALABAMA,AL,US,STATE,29,CASES
1974,50,ALABAMA,AL,US,STATE,43,CASES
1974,51,ALABAMA,AL,US,STATE,1,CASES
1974,52,ALABAMA,AL,US,STATE,39,CASES
1975,1,ALABAMA,AL,US,STATE,2,CASES
1975,2,ALABAMA,AL,US,STATE,9,CASES
1975,3,ALABAMA,AL,US,STATE,4,CASES
1975,4,ALABAMA,AL,US,STATE,63,CASES
1975,5,ALABAMA,AL,US,STATE,54,CASES
1975,6,ALABAMA,AL,US,STATE,2,CASES
1975,7,ALABAMA,AL,US,STATE,31,CASES
