year,week,loc,state,country,loc_type,number,event
1937,43,ALABAMA,AL,US,STATE,14,CASES
1937,44,ALABAMA,AL,US,STATE,16,CASES
1937,45,ALABAMA,AL,US,STATE,6,CASES
1937,46,ALABAMA,AL,US,STATE,12,CASES
1937,47,ALABAMA,AL,US,STATE,17,CASES
1937,48,ALABAMA,AL,US,STATE,44,CASES
1937,49,ALABAMA,AL,US,STATE,19,CASES
1937,50,ALABAMA,AL,US,STATE,9,CASES
1937,51,ALABAMA,AL,US,STATE,35,CASES
1937,52,ALABAMA,AL,US,STATE,6,CASES
1938,1,ALABAMA,AL,US,STATE,22,CASES
1938,2,ALABAMA,AL,US,STATE,29,CASES
1938,3,ALABAMA,AL,US,STATE,33,CASES
1938,4,ALABAMA,AL,US,STATE,31,CASES
1938,5,ALABAMA,AL,US,STATE,14,CASES
1938,6,ALABAMA,AL,US,STATE,16,CASES
1938,7,ALABAMA,AL,US,STATE,21,CASES
1938,8,ALABAMA,AL,US,STATE,32,CASES
1938,9,ALABAMA,AL,US,STATE,24,CASES
1938,10,ALABAMA,AL,US,STATE,32,CASES
1938,11,ALABAMA,AL,US,STATE,31,CASES
1938,12,ALABAMA,AL,US,STATE,40,CASES
1938,13,ALABAMA,AL,US,STATE,8,CASES
1938,14,ALABAMA,AL,US,STATE,65,CASES
1938,15,ALABAMA,AL,US,STATE,60,CASES
1938,16,ALABAMA,AL,US,STATE,33,CASES
1938,17,ALABAMA,AL,US,STATE,62,CASES
1938,18,ALABAMA,AL,US,STATE,34,CASES
1938,19,ALABAMA,AL,US,STATE,57,CASES
1938,20,ALABAMA,AL,US,STATE,54,CASES
1938,21,ALABAMA,AL,US,STATE,44,CASES
1938,22,ALABAMA,AL,US,STATE,26,CASES
1938,23,ALABAMA,AL,US,STATE,75,CASES
1938,24,ALABAMA,AL,US,STATE,77,CASES
1938,25,ALABAMA,AL,US,STATE,115,CASES
1938,26,ALABAMA,AL,US,STATE,92,CASES
1938,27,ALABAMA,AL,US,STATE,70,CASES
1938,28,ALABAMA,AL,US,STATE,61,CASES
1938,29,ALABAMA,AL,US,STATE,88,CASES
1938,30,ALABAMA,AL,US,STATE,56,CASES
1938,31,ALABAMA,AL,US,STATE,68,CASES
1938,32,ALABAMA,AL,US,STATE,40,CASES
1938,33,ALABAMA,AL,US,STATE,68,CASES
1938,34,ALABAMA,AL,US,STATE,115,CASES
1938,35,ALABAMA,AL,US,STATE,11,CASES
1938,36,ALABAMA,AL,US,STATE,23,CASES
1938,37,ALABAMA,AL,US,STATE,20,CASES
1938,38,ALABAMA,AL,US,STATE,47,CASES
1938,39,ALABAMA,AL,US,STATE,20,CASES
