year,week,loc,state,country,loc_type,number,event
1927,47,ALABAMA,AL,US,STATE,104,CASES
1927,48,ALABAMA,AL,US,STATE,109,CASES
1927,49,ALABAMA,AL,US,STATE,78,CASES
1927,51,ALABAMA,AL,US,STATE,18,CASES
1927,52,ALABAMA,AL,US,STATE,62,CASES
1928,1,ALABAMA,AL,US,STATE,43,CASES
1928,2,ALABAMA,AL,US,STATE,33,CASES
1928,3,ALABAMA,AL,US,STATE,38,CASES
1928,4,ALABAMA,AL,US,STATE,47,CASES
1928,5,ALABAMA,AL,US,STATE,21,CASES
1928,6,ALABAMA,AL,US,STATE,33,CASES
1928,7,ALABAMA,AL,US,STATE,23,CASES
1928,8,ALABAMA,AL,US,STATE,42,CASES
1928,9,ALABAMA,AL,US,STATE,34,CASES
1928,10,ALABAMA,AL,US,STATE,16,CASES
1928,11,ALABAMA,AL,US,STATE,15,CASES
1928,12,ALABAMA,AL,US,STATE,31,CASES
1928,13,ALABAMA,AL,US,STATE,10,CASES
1928,14,ALABAMA,AL,US,STATE,10,CASES
1928,15,ALABAMA,AL,US,STATE,15,CASES
1928,16,ALABAMA,AL,US,STATE,18,CASES
1928,17,ALABAMA,AL,US,STATE,11,CASES
1928,18,ALABAMA,AL,US,STATE,12,CASES
1928,19,ALABAMA,AL,US,STATE,13,CASES
1928,20,ALABAMA,AL,US,STATE,7,CASES
1928,21,ALABAMA,AL,US,STATE,8,CASES
1928,22,ALABAMA,AL,US,STATE,9,CASES
1928,23,ALABAMA,AL,US,STATE,8,CASES
1928,24,ALABAMA,AL,US,STATE,9,CASES
1928,25,ALABAMA,AL,US,STATE,4,CASES
1928,26,ALABAMA,AL,US,STATE,7,CASES
1928,27,ALABAMA,AL,US,STATE,10,CASES
1928,28,ALABAMA,AL,US,STATE,7,CASES
1928,29,ALABAMA,AL,US,STATE,7,CASES
1928,30,ALABAMA,AL,US,STATE,13,CASES
1928,31,ALABAMA,AL,US,STATE,10,CASES
1928,32,ALABAMA,AL,US,STATE,23,CASES
1928,33,ALABAMA,AL,US,STATE,17,CASES
1928,34,ALABAMA,AL,US,STATE,13,CASES
1928,35,ALABAMA,AL,US,STATE,25,CASES
1928,36,ALABAMA,AL,US,STATE,32,CASES
1928,37,ALABAMA,AL,US,STATE,54,CASES
1928,38,ALABAMA,AL,US,STATE,75,CASES
1928,39,ALABAMA,AL,US,STATE,75,CASES
1928,40,ALABAMA,AL,US,STATE,114,CASES
1928,41,ALABAMA,AL,US,STATE,99,CASES
1928,42,ALABAMA,AL,US,STATE,132,CASES
1928,43,ALABAMA,AL,US,STATE,101,CASES
1928,44,ALABAMA,AL,US,STATE,156,CASES
1928,45,ALABAMA,AL,US,STATE,123,CASES
1928,46,ALABAMA,AL,US,STATE,109,CASES
1928,47,ALABAMA,AL,US,STATE,151,CASES
1928,48,ALABAMA,AL,US,STATE,94,CASES
1928,49,ALABAMA,AL,US,STATE,81,CASES
1928,50,ALABAMA,AL,US,STATE,49,CASES
1928,51,ALABAMA,AL,US,STATE,66,CASES
1928,52,ALABAMA,AL,US,STATE,26,CASES
