year,week,loc,state,country,loc_type,number,event
1937,43,ARKANSAS,AR,US,STATE,20,CASES
1937,44,ARKANSAS,AR,US,STATE,13,CASES
1937,45,ARKANSAS,AR,US,STATE,51,CASES
1937,46,ARKANSAS,AR,US,STATE,18,CASES
1937,47,ARKANSAS,AR,US,STATE,13,CASES
1937,48,ARKANSAS,AR,US,STATE,24,CASES
1937,49,ARKANSAS,AR,US,STATE,15,CASES
1937,50,ARKANSAS,AR,US,STATE,19,CASES
1937,51,ARKANSAS,AR,US,STATE,13,CASES
1937,52,ARKANSAS,AR,US,STATE,38,CASES
1938,1,ARKANSAS,AR,US,STATE,22,CASES
1938,2,ARKANSAS,AR,US,STATE,48,CASES
1938,3,ARKANSAS,AR,US,STATE,64,CASES
1938,4,ARKANSAS,AR,US,STATE,41,CASES
1938,5,ARKANSAS,AR,US,STATE,27,CASES
1938,6,ARKANSAS,AR,US,STATE,54,CASES
1938,7,ARKANSAS,AR,US,STATE,144,CASES
1938,8,ARKANSAS,AR,US,STATE,26,CASES
1938,9,ARKANSAS,AR,US,STATE,52,CASES
1938,10,ARKANSAS,AR,US,STATE,34,CASES
1938,11,ARKANSAS,AR,US,STATE,23,CASES
1938,12,ARKANSAS,AR,US,STATE,35,CASES
1938,13,ARKANSAS,AR,US,STATE,49,CASES
1938,14,ARKANSAS,AR,US,STATE,69,CASES
1938,15,ARKANSAS,AR,US,STATE,25,CASES
1938,16,ARKANSAS,AR,US,STATE,35,CASES
1938,17,ARKANSAS,AR,US,STATE,43,CASES
1938,18,ARKANSAS,AR,US,STATE,26,CASES
1938,19,ARKANSAS,AR,US,STATE,34,CASES
1938,20,ARKANSAS,AR,US,STATE,21,CASES
1938,21,ARKANSAS,AR,US,STATE,66,CASES
1938,22,ARKANSAS,AR,US,STATE,41,CASES
1938,23,ARKANSAS,AR,US,STATE,39,CASES
1938,24,ARKANSAS,AR,US,STATE,25,CASES
1938,25,ARKANSAS,AR,US,STATE,64,CASES
1938,26,ARKANSAS,AR,US,STATE,94,CASES
1938,27,ARKANSAS,AR,US,STATE,92,CASES
1938,28,ARKANSAS,AR,US,STATE,46,CASES
1938,29,ARKANSAS,AR,US,STATE,38,CASES
1938,30,ARKANSAS,AR,US,STATE,43,CASES
1938,31,ARKANSAS,AR,US,STATE,20,CASES
1938,32,ARKANSAS,AR,US,STATE,13,CASES
1938,33,ARKANSAS,AR,US,STATE,13,CASES
1938,34,ARKANSAS,AR,US,STATE,59,CASES
1938,35,ARKANSAS,AR,US,STATE,43,CASES
1938,36,ARKANSAS,AR,US,STATE,41,CASES
1938,37,ARKANSAS,AR,US,STATE,10,CASES
1938,38,ARKANSAS,AR,US,STATE,16,CASES
1938,39,ARKANSAS,AR,US,STATE,6,CASES
1938,40,ARKANSAS,AR,US,STATE,13,CASES
1938,41,ARKANSAS,AR,US,STATE,10,CASES
1938,42,ARKANSAS,AR,US,STATE,10,CASES
1938,43,ARKANSAS,AR,US,STATE,33,CASES
1938,44,ARKANSAS,AR,US,STATE,53,CASES
1938,45,ARKANSAS,AR,US,STATE,13,CASES
1938,46,ARKANSAS,AR,US,STATE,38,CASES
1938,47,ARKANSAS,AR,US,STATE,66,CASES
1938,48,ARKANSAS,AR,US,STATE,74,CASES
1938,49,ARKANSAS,AR,US,STATE,48,CASES
1938,50,ARKANSAS,AR,US,STATE,25,CASES
1938,51,ARKANSAS,AR,US,STATE,29,CASES
1938,52,ARKANSAS,AR,US,STATE,10,CASES
1939,1,ARKANSAS,AR,US,STATE,55,CASES
1939,2,ARKANSAS,AR,US,STATE,22,CASES
1939,3,ARKANSAS,AR,US,STATE,35,CASES
1939,4,ARKANSAS,AR,US,STATE,32,CASES
1939,5,ARKANSAS,AR,US,STATE,24,CASES
1939,6,ARKANSAS,AR,US,STATE,11,CASES
1939,7,ARKANSAS,AR,US,STATE,19,CASES
1939,8,ARKANSAS,AR,US,STATE,8,CASES
1939,9,ARKANSAS,AR,US,STATE,17,CASES
1939,10,ARKANSAS,AR,US,STATE,25,CASES
1939,11,ARKANSAS,AR,US,STATE,18,CASES
1939,12,ARKANSAS,AR,US,STATE,34,CASES
1939,13,ARKANSAS,AR,US,STATE,31,CASES
1939,14,ARKANSAS,AR,US,STATE,33,CASES
1939,15,ARKANSAS,AR,US,STATE,24,CASES
1939,16,ARKANSAS,AR,US,STATE,27,CASES
1939,17,ARKANSAS,AR,US,STATE,37,CASES
1939,18,ARKANSAS,AR,US,STATE,14,CASES
1939,19,ARKANSAS,AR,US,STATE,52,CASES
1939,20,ARKANSAS,AR,US,STATE,79,CASES
1939,21,ARKANSAS,AR,US,STATE,33,CASES
1939,22,ARKANSAS,AR,US,STATE,20,CASES
1939,23,ARKANSAS,AR,US,STATE,10,CASES
1939,24,ARKANSAS,AR,US,STATE,82,CASES
1939,25,ARKANSAS,AR,US,STATE,20,CASES
1939,26,ARKANSAS,AR,US,STATE,14,CASES
1939,27,ARKANSAS,AR,US,STATE,45,CASES
1939,28,ARKANSAS,AR,US,STATE,15,CASES
1939,29,ARKANSAS,AR,US,STATE,15,CASES
1939,30,ARKANSAS,AR,US,STATE,28,CASES
1939,31,ARKANSAS,AR,US,STATE,7,CASES
1939,32,ARKANSAS,AR,US,STATE,35,CASES
1939,33,ARKANSAS,AR,US,STATE,5,CASES
1939,34,ARKANSAS,AR,US,STATE,6,CASES
1939,35,ARKANSAS,AR,US,STATE,16,CASES
1939,36,ARKANSAS,AR,US,STATE,5,CASES
1939,37,ARKANSAS,AR,US,STATE,5,CASES
1939,38,ARKANSAS,AR,US,STATE,22,CASES
1939,39,ARKANSAS,AR,US,STATE,0,CASES
1939,40,ARKANSAS,AR,US,STATE,7,CASES
1939,41,ARKANSAS,AR,US,STATE,45,CASES
1939,42,ARKANSAS,AR,US,STATE,29,CASES
