year,week,loc,state,country,loc_type,number,event
1968,7,ARKANSAS,AR,US,STATE,2,CASES
1968,9,ARKANSAS,AR,US,STATE,1,CASES
1968,17,ARKANSAS,AR,US,STATE,2,CASES
1968,18,ARKANSAS,AR,US,STATE,1,CASES
1968,19,ARKANSAS,AR,US,STATE,3,CASES
1968,20,ARKANSAS,AR,US,STATE,1,CASES
1968,23,ARKANSAS,AR,US,STATE,1,CASES
1968,26,ARKANSAS,AR,US,STATE,2,CASES
1968,32,ARKANSAS,AR,US,STATE,1,CASES
1968,35,ARKANSAS,AR,US,STATE,1,CASES
1968,38,ARKANSAS,AR,US,STATE,1,CASES
1968,44,ARKANSAS,AR,US,STATE,2,CASES
1968,50,ARKANSAS,AR,US,STATE,1,CASES
1969,2,ARKANSAS,AR,US,STATE,42,CASES
1969,4,ARKANSAS,AR,US,STATE,1,CASES
1969,5,ARKANSAS,AR,US,STATE,3,CASES
1969,6,ARKANSAS,AR,US,STATE,1,CASES
1969,7,ARKANSAS,AR,US,STATE,11,CASES
1969,9,ARKANSAS,AR,US,STATE,4,CASES
1969,10,ARKANSAS,AR,US,STATE,2,CASES
1969,12,ARKANSAS,AR,US,STATE,3,CASES
1969,17,ARKANSAS,AR,US,STATE,2,CASES
1969,18,ARKANSAS,AR,US,STATE,10,CASES
1969,19,ARKANSAS,AR,US,STATE,1,CASES
1969,24,ARKANSAS,AR,US,STATE,3,CASES
1969,32,ARKANSAS,AR,US,STATE,2,CASES
1969,34,ARKANSAS,AR,US,STATE,1,CASES
1969,40,ARKANSAS,AR,US,STATE,1,CASES
1969,50,ARKANSAS,AR,US,STATE,1,CASES
1969,51,ARKANSAS,AR,US,STATE,1,CASES
1970,5,ARKANSAS,AR,US,STATE,12,CASES
1970,8,ARKANSAS,AR,US,STATE,15,CASES
1970,10,ARKANSAS,AR,US,STATE,2,CASES
1970,11,ARKANSAS,AR,US,STATE,8,CASES
1970,12,ARKANSAS,AR,US,STATE,6,CASES
1970,13,ARKANSAS,AR,US,STATE,5,CASES
1970,14,ARKANSAS,AR,US,STATE,4,CASES
1970,15,ARKANSAS,AR,US,STATE,12,CASES
1970,16,ARKANSAS,AR,US,STATE,4,CASES
1970,18,ARKANSAS,AR,US,STATE,8,CASES
1970,19,ARKANSAS,AR,US,STATE,2,CASES
1970,20,ARKANSAS,AR,US,STATE,3,CASES
1970,21,ARKANSAS,AR,US,STATE,4,CASES
1970,22,ARKANSAS,AR,US,STATE,2,CASES
1970,24,ARKANSAS,AR,US,STATE,14,CASES
1970,25,ARKANSAS,AR,US,STATE,8,CASES
1970,27,ARKANSAS,AR,US,STATE,2,CASES
1970,28,ARKANSAS,AR,US,STATE,1,CASES
1970,29,ARKANSAS,AR,US,STATE,4,CASES
