year,week,loc,state,country,loc_type,number,event
1937,43,ARIZONA,AZ,US,STATE,12,CASES
1937,50,ARIZONA,AZ,US,STATE,16,CASES
1937,51,ARIZONA,AZ,US,STATE,13,CASES
1937,52,ARIZONA,AZ,US,STATE,9,CASES
1938,1,ARIZONA,AZ,US,STATE,19,CASES
1938,2,ARIZONA,AZ,US,STATE,37,CASES
1938,3,ARIZONA,AZ,US,STATE,15,CASES
1938,4,ARIZONA,AZ,US,STATE,55,CASES
1938,5,ARIZONA,AZ,US,STATE,37,CASES
1938,6,ARIZONA,AZ,US,STATE,45,CASES
1938,7,ARIZONA,AZ,US,STATE,19,CASES
1938,8,ARIZONA,AZ,US,STATE,43,CASES
1938,9,ARIZONA,AZ,US,STATE,40,CASES
1938,10,ARIZONA,AZ,US,STATE,42,CASES
1938,11,ARIZONA,AZ,US,STATE,20,CASES
1938,12,ARIZONA,AZ,US,STATE,50,CASES
1938,13,ARIZONA,AZ,US,STATE,37,CASES
1938,14,ARIZONA,AZ,US,STATE,61,CASES
1938,15,ARIZONA,AZ,US,STATE,69,CASES
1938,16,ARIZONA,AZ,US,STATE,46,CASES
1938,17,ARIZONA,AZ,US,STATE,65,CASES
1938,18,ARIZONA,AZ,US,STATE,44,CASES
1938,19,ARIZONA,AZ,US,STATE,24,CASES
1938,20,ARIZONA,AZ,US,STATE,50,CASES
1938,21,ARIZONA,AZ,US,STATE,41,CASES
1938,22,ARIZONA,AZ,US,STATE,24,CASES
1938,23,ARIZONA,AZ,US,STATE,17,CASES
1938,24,ARIZONA,AZ,US,STATE,23,CASES
1938,25,ARIZONA,AZ,US,STATE,570,CASES
1938,27,ARIZONA,AZ,US,STATE,620,CASES
1938,28,ARIZONA,AZ,US,STATE,228,CASES
1938,30,ARIZONA,AZ,US,STATE,202,CASES
1938,31,ARIZONA,AZ,US,STATE,202,CASES
1938,32,ARIZONA,AZ,US,STATE,278,CASES
1938,33,ARIZONA,AZ,US,STATE,304,CASES
1938,34,ARIZONA,AZ,US,STATE,215,CASES
1938,35,ARIZONA,AZ,US,STATE,177,CASES
1938,36,ARIZONA,AZ,US,STATE,51,CASES
1938,37,ARIZONA,AZ,US,STATE,51,CASES
1938,38,ARIZONA,AZ,US,STATE,10,CASES
1938,39,ARIZONA,AZ,US,STATE,8,CASES
1938,40,ARIZONA,AZ,US,STATE,152,CASES
1938,41,ARIZONA,AZ,US,STATE,10,CASES
1938,42,ARIZONA,AZ,US,STATE,139,CASES
1938,43,ARIZONA,AZ,US,STATE,3,CASES
1938,44,ARIZONA,AZ,US,STATE,101,CASES
1938,45,ARIZONA,AZ,US,STATE,1,CASES
1938,46,ARIZONA,AZ,US,STATE,25,CASES
1938,47,ARIZONA,AZ,US,STATE,25,CASES
1938,48,ARIZONA,AZ,US,STATE,25,CASES
1938,49,ARIZONA,AZ,US,STATE,51,CASES
1938,50,ARIZONA,AZ,US,STATE,63,CASES
1938,51,ARIZONA,AZ,US,STATE,11,CASES
1938,52,ARIZONA,AZ,US,STATE,4,CASES
1939,1,ARIZONA,AZ,US,STATE,221,CASES
1939,2,ARIZONA,AZ,US,STATE,74,CASES
1939,3,ARIZONA,AZ,US,STATE,37,CASES
1939,4,ARIZONA,AZ,US,STATE,98,CASES
1939,5,ARIZONA,AZ,US,STATE,17,CASES
1939,6,ARIZONA,AZ,US,STATE,5,CASES
