year,week,loc,state,country,loc_type,number,event
1927,52,ARIZONA,AZ,US,STATE,1,CASES
1928,6,ARIZONA,AZ,US,STATE,1,CASES
1928,8,ARIZONA,AZ,US,STATE,4,CASES
1928,9,ARIZONA,AZ,US,STATE,2,CASES
1928,10,ARIZONA,AZ,US,STATE,1,CASES
1928,14,ARIZONA,AZ,US,STATE,129,CASES
1928,17,ARIZONA,AZ,US,STATE,1,CASES
1928,19,ARIZONA,AZ,US,STATE,9,CASES
1928,23,ARIZONA,AZ,US,STATE,28,CASES
1928,27,ARIZONA,AZ,US,STATE,2,CASES
1928,32,ARIZONA,AZ,US,STATE,1,CASES
1928,40,ARIZONA,AZ,US,STATE,3,CASES
1928,44,ARIZONA,AZ,US,STATE,1,CASES
1928,47,ARIZONA,AZ,US,STATE,4,CASES
1928,48,ARIZONA,AZ,US,STATE,18,CASES
1928,49,ARIZONA,AZ,US,STATE,100,CASES
1928,50,ARIZONA,AZ,US,STATE,2615,CASES
1928,51,ARIZONA,AZ,US,STATE,933,CASES
1928,52,ARIZONA,AZ,US,STATE,495,CASES
1929,1,ARIZONA,AZ,US,STATE,408,CASES
1929,2,ARIZONA,AZ,US,STATE,10,CASES
1929,3,ARIZONA,AZ,US,STATE,11,CASES
1929,4,ARIZONA,AZ,US,STATE,13,CASES
1929,5,ARIZONA,AZ,US,STATE,8,CASES
1929,6,ARIZONA,AZ,US,STATE,24,CASES
1929,8,ARIZONA,AZ,US,STATE,3,CASES
1929,9,ARIZONA,AZ,US,STATE,1,CASES
1929,11,ARIZONA,AZ,US,STATE,7,CASES
1929,12,ARIZONA,AZ,US,STATE,1,CASES
1929,14,ARIZONA,AZ,US,STATE,1,CASES
1929,15,ARIZONA,AZ,US,STATE,27,CASES
1929,16,ARIZONA,AZ,US,STATE,1,CASES
1929,23,ARIZONA,AZ,US,STATE,4,CASES
1929,43,ARIZONA,AZ,US,STATE,3,CASES
1929,44,ARIZONA,AZ,US,STATE,6,CASES
1929,45,ARIZONA,AZ,US,STATE,16,CASES
1929,46,ARIZONA,AZ,US,STATE,8,CASES
1929,47,ARIZONA,AZ,US,STATE,2,CASES
1929,48,ARIZONA,AZ,US,STATE,5,CASES
1929,49,ARIZONA,AZ,US,STATE,24,CASES
1929,50,ARIZONA,AZ,US,STATE,10,CASES
1929,51,ARIZONA,AZ,US,STATE,29,CASES
1929,52,ARIZONA,AZ,US,STATE,6,CASES
1930,1,ARIZONA,AZ,US,STATE,10,CASES
1930,2,ARIZONA,AZ,US,STATE,30,CASES
1930,3,ARIZONA,AZ,US,STATE,14,CASES
1930,4,ARIZONA,AZ,US,STATE,52,CASES
1930,5,ARIZONA,AZ,US,STATE,24,CASES
1930,6,ARIZONA,AZ,US,STATE,17,CASES
1930,7,ARIZONA,AZ,US,STATE,12,CASES
1930,8,ARIZONA,AZ,US,STATE,14,CASES
1930,9,ARIZONA,AZ,US,STATE,5,CASES
1930,10,ARIZONA,AZ,US,STATE,48,CASES
1930,11,ARIZONA,AZ,US,STATE,8,CASES
1930,12,ARIZONA,AZ,US,STATE,8,CASES
