year,week,loc,state,country,loc_type,number,event
1927,47,ARIZONA,AZ,US,STATE,1,CASES
1927,48,ARIZONA,AZ,US,STATE,2,CASES
1927,49,ARIZONA,AZ,US,STATE,9,CASES
1927,51,ARIZONA,AZ,US,STATE,2,CASES
1927,52,ARIZONA,AZ,US,STATE,18,CASES
1928,1,ARIZONA,AZ,US,STATE,8,CASES
1928,2,ARIZONA,AZ,US,STATE,27,CASES
1928,3,ARIZONA,AZ,US,STATE,19,CASES
1928,4,ARIZONA,AZ,US,STATE,8,CASES
1928,5,ARIZONA,AZ,US,STATE,2,CASES
1928,6,ARIZONA,AZ,US,STATE,27,CASES
1928,7,ARIZONA,AZ,US,STATE,4,CASES
1928,8,ARIZONA,AZ,US,STATE,7,CASES
1928,9,ARIZONA,AZ,US,STATE,4,CASES
1928,10,ARIZONA,AZ,US,STATE,17,CASES
1928,11,ARIZONA,AZ,US,STATE,31,CASES
1928,12,ARIZONA,AZ,US,STATE,27,CASES
1928,13,ARIZONA,AZ,US,STATE,33,CASES
1928,14,ARIZONA,AZ,US,STATE,33,CASES
1928,15,ARIZONA,AZ,US,STATE,34,CASES
1928,16,ARIZONA,AZ,US,STATE,56,CASES
1928,17,ARIZONA,AZ,US,STATE,8,CASES
1928,18,ARIZONA,AZ,US,STATE,9,CASES
1928,19,ARIZONA,AZ,US,STATE,119,CASES
1928,20,ARIZONA,AZ,US,STATE,5,CASES
1928,21,ARIZONA,AZ,US,STATE,9,CASES
1928,22,ARIZONA,AZ,US,STATE,9,CASES
1928,23,ARIZONA,AZ,US,STATE,14,CASES
1928,24,ARIZONA,AZ,US,STATE,205,CASES
1928,26,ARIZONA,AZ,US,STATE,6,CASES
1928,27,ARIZONA,AZ,US,STATE,1,CASES
1928,28,ARIZONA,AZ,US,STATE,44,CASES
1928,29,ARIZONA,AZ,US,STATE,4,CASES
1928,30,ARIZONA,AZ,US,STATE,5,CASES
1928,31,ARIZONA,AZ,US,STATE,8,CASES
1928,33,ARIZONA,AZ,US,STATE,3,CASES
1928,34,ARIZONA,AZ,US,STATE,4,CASES
1928,36,ARIZONA,AZ,US,STATE,2,CASES
1928,37,ARIZONA,AZ,US,STATE,11,CASES
1928,38,ARIZONA,AZ,US,STATE,3,CASES
1928,40,ARIZONA,AZ,US,STATE,0,CASES
1928,41,ARIZONA,AZ,US,STATE,7,CASES
1928,48,ARIZONA,AZ,US,STATE,1,CASES
1928,49,ARIZONA,AZ,US,STATE,1,CASES
1928,50,ARIZONA,AZ,US,STATE,28,CASES
1928,51,ARIZONA,AZ,US,STATE,3,CASES
