year,week,loc,state,country,loc_type,number,event
1927,47,ARIZONA,AZ,US,STATE,0,CASES
1927,48,ARIZONA,AZ,US,STATE,2,CASES
1927,49,ARIZONA,AZ,US,STATE,6,CASES
1927,51,ARIZONA,AZ,US,STATE,3,CASES
1927,52,ARIZONA,AZ,US,STATE,11,CASES
1928,1,ARIZONA,AZ,US,STATE,8,CASES
1928,2,ARIZONA,AZ,US,STATE,8,CASES
1928,3,ARIZONA,AZ,US,STATE,4,CASES
1928,4,ARIZONA,AZ,US,STATE,2,CASES
1928,5,ARIZONA,AZ,US,STATE,2,CASES
1928,6,ARIZONA,AZ,US,STATE,13,CASES
1928,7,ARIZONA,AZ,US,STATE,4,CASES
1928,8,ARIZONA,AZ,US,STATE,5,CASES
1928,9,ARIZONA,AZ,US,STATE,4,CASES
1928,10,ARIZONA,AZ,US,STATE,11,CASES
1928,11,ARIZONA,AZ,US,STATE,5,CASES
1928,12,ARIZONA,AZ,US,STATE,5,CASES
1928,13,ARIZONA,AZ,US,STATE,4,CASES
1928,14,ARIZONA,AZ,US,STATE,5,CASES
1928,15,ARIZONA,AZ,US,STATE,5,CASES
1928,16,ARIZONA,AZ,US,STATE,9,CASES
1928,17,ARIZONA,AZ,US,STATE,2,CASES
1928,18,ARIZONA,AZ,US,STATE,4,CASES
1928,19,ARIZONA,AZ,US,STATE,4,CASES
1928,20,ARIZONA,AZ,US,STATE,4,CASES
1928,21,ARIZONA,AZ,US,STATE,0,CASES
1928,22,ARIZONA,AZ,US,STATE,0,CASES
1928,23,ARIZONA,AZ,US,STATE,8,CASES
1928,24,ARIZONA,AZ,US,STATE,3,CASES
1928,25,ARIZONA,AZ,US,STATE,0,CASES
1928,26,ARIZONA,AZ,US,STATE,4,CASES
1928,27,ARIZONA,AZ,US,STATE,1,CASES
1928,28,ARIZONA,AZ,US,STATE,2,CASES
1928,29,ARIZONA,AZ,US,STATE,0,CASES
1928,30,ARIZONA,AZ,US,STATE,1,CASES
1928,31,ARIZONA,AZ,US,STATE,0,CASES
1928,32,ARIZONA,AZ,US,STATE,0,CASES
1928,33,ARIZONA,AZ,US,STATE,0,CASES
1928,34,ARIZONA,AZ,US,STATE,0,CASES
1928,35,ARIZONA,AZ,US,STATE,0,CASES
1928,36,ARIZONA,AZ,US,STATE,1,CASES
1928,37,ARIZONA,AZ,US,STATE,0,CASES
1928,38,ARIZONA,AZ,US,STATE,0,CASES
1928,39,ARIZONA,AZ,US,STATE,2,CASES
1928,41,ARIZONA,AZ,US,STATE,1,CASES
1928,42,ARIZONA,AZ,US,STATE,0,CASES
1928,43,ARIZONA,AZ,US,STATE,1,CASES
1928,44,ARIZONA,AZ,US,STATE,4,CASES
1928,45,ARIZONA,AZ,US,STATE,3,CASES
1928,46,ARIZONA,AZ,US,STATE,1,CASES
1928,47,ARIZONA,AZ,US,STATE,0,CASES
1928,48,ARIZONA,AZ,US,STATE,7,CASES
1928,49,ARIZONA,AZ,US,STATE,5,CASES
1928,50,ARIZONA,AZ,US,STATE,4,CASES
1928,51,ARIZONA,AZ,US,STATE,6,CASES
1928,52,ARIZONA,AZ,US,STATE,0,CASES
1929,1,ARIZONA,AZ,US,STATE,7,CASES
1929,2,ARIZONA,AZ,US,STATE,2,CASES
1929,3,ARIZONA,AZ,US,STATE,4,CASES
1929,4,ARIZONA,AZ,US,STATE,9,CASES
1929,5,ARIZONA,AZ,US,STATE,11,CASES
1929,6,ARIZONA,AZ,US,STATE,3,CASES
1929,7,ARIZONA,AZ,US,STATE,11,CASES
1929,8,ARIZONA,AZ,US,STATE,3,CASES
1929,9,ARIZONA,AZ,US,STATE,14,CASES
1929,10,ARIZONA,AZ,US,STATE,8,CASES
1929,13,ARIZONA,AZ,US,STATE,8,CASES
1929,14,ARIZONA,AZ,US,STATE,8,CASES
1929,15,ARIZONA,AZ,US,STATE,11,CASES
1929,16,ARIZONA,AZ,US,STATE,8,CASES
1929,17,ARIZONA,AZ,US,STATE,5,CASES
1929,18,ARIZONA,AZ,US,STATE,6,CASES
1929,19,ARIZONA,AZ,US,STATE,13,CASES
1929,20,ARIZONA,AZ,US,STATE,0,CASES
1929,21,ARIZONA,AZ,US,STATE,5,CASES
1929,22,ARIZONA,AZ,US,STATE,0,CASES
1929,23,ARIZONA,AZ,US,STATE,15,CASES
1929,24,ARIZONA,AZ,US,STATE,0,CASES
1929,25,ARIZONA,AZ,US,STATE,0,CASES
1929,26,ARIZONA,AZ,US,STATE,1,CASES
1929,27,ARIZONA,AZ,US,STATE,4,CASES
1929,28,ARIZONA,AZ,US,STATE,2,CASES
1929,31,ARIZONA,AZ,US,STATE,0,CASES
1929,32,ARIZONA,AZ,US,STATE,1,CASES
1929,33,ARIZONA,AZ,US,STATE,2,CASES
1929,34,ARIZONA,AZ,US,STATE,1,CASES
1929,36,ARIZONA,AZ,US,STATE,0,CASES
1929,37,ARIZONA,AZ,US,STATE,6,CASES
1929,39,ARIZONA,AZ,US,STATE,2,CASES
1929,40,ARIZONA,AZ,US,STATE,2,CASES
1929,41,ARIZONA,AZ,US,STATE,2,CASES
1929,42,ARIZONA,AZ,US,STATE,1,CASES
1929,43,ARIZONA,AZ,US,STATE,6,CASES
1929,44,ARIZONA,AZ,US,STATE,17,CASES
1929,45,ARIZONA,AZ,US,STATE,11,CASES
1929,46,ARIZONA,AZ,US,STATE,13,CASES
1929,47,ARIZONA,AZ,US,STATE,5,CASES
1929,48,ARIZONA,AZ,US,STATE,15,CASES
1929,49,ARIZONA,AZ,US,STATE,8,CASES
1929,50,ARIZONA,AZ,US,STATE,1,CASES
1929,51,ARIZONA,AZ,US,STATE,12,CASES
1929,52,ARIZONA,AZ,US,STATE,9,CASES
1930,1,ARIZONA,AZ,US,STATE,14,CASES
1930,2,ARIZONA,AZ,US,STATE,13,CASES
1930,3,ARIZONA,AZ,US,STATE,11,CASES
1930,4,ARIZONA,AZ,US,STATE,16,CASES
1930,5,ARIZONA,AZ,US,STATE,17,CASES
1930,6,ARIZONA,AZ,US,STATE,8,CASES
1930,7,ARIZONA,AZ,US,STATE,10,CASES
1930,8,ARIZONA,AZ,US,STATE,9,CASES
