year,week,loc,state,country,loc_type,number,event
1975,11,CALIFORNIA,CA,US,STATE,15,CASES
1976,16,CALIFORNIA,CA,US,STATE,1,CASES
1981,16,CALIFORNIA,CA,US,STATE,49,CASES
1981,18,CALIFORNIA,CA,US,STATE,92,CASES
1981,19,CALIFORNIA,CA,US,STATE,20,CASES
1981,21,CALIFORNIA,CA,US,STATE,49,CASES
1981,22,CALIFORNIA,CA,US,STATE,19,CASES
1981,23,CALIFORNIA,CA,US,STATE,14,CASES
1981,24,CALIFORNIA,CA,US,STATE,26,CASES
1981,26,CALIFORNIA,CA,US,STATE,21,CASES
1981,27,CALIFORNIA,CA,US,STATE,7,CASES
1981,28,CALIFORNIA,CA,US,STATE,6,CASES
1981,29,CALIFORNIA,CA,US,STATE,4,CASES
1981,30,CALIFORNIA,CA,US,STATE,7,CASES
1981,31,CALIFORNIA,CA,US,STATE,1,CASES
1981,32,CALIFORNIA,CA,US,STATE,5,CASES
1981,34,CALIFORNIA,CA,US,STATE,2,CASES
1981,36,CALIFORNIA,CA,US,STATE,3,CASES
1981,37,CALIFORNIA,CA,US,STATE,1,CASES
1981,39,CALIFORNIA,CA,US,STATE,3,CASES
1981,41,CALIFORNIA,CA,US,STATE,4,CASES
1981,42,CALIFORNIA,CA,US,STATE,4,CASES
1981,43,CALIFORNIA,CA,US,STATE,2,CASES
1981,44,CALIFORNIA,CA,US,STATE,5,CASES
1981,46,CALIFORNIA,CA,US,STATE,22,CASES
1981,47,CALIFORNIA,CA,US,STATE,5,CASES
1981,48,CALIFORNIA,CA,US,STATE,34,CASES
1981,49,CALIFORNIA,CA,US,STATE,11,CASES
1981,50,CALIFORNIA,CA,US,STATE,17,CASES
1981,52,CALIFORNIA,CA,US,STATE,3,CASES
2010,14,CALIFORNIA,CA,US,STATE,4,CASES
2011,7,CALIFORNIA,CA,US,STATE,13,CASES
2011,13,CALIFORNIA,CA,US,STATE,1,CASES
2011,16,CALIFORNIA,CA,US,STATE,3,CASES
2011,52,CALIFORNIA,CA,US,STATE,1,CASES
2012,6,CALIFORNIA,CA,US,STATE,2,CASES
2012,9,CALIFORNIA,CA,US,STATE,1,CASES
2012,22,CALIFORNIA,CA,US,STATE,1,CASES
2013,10,CALIFORNIA,CA,US,STATE,1,CASES
2013,17,CALIFORNIA,CA,US,STATE,1,CASES
