year,week,loc,state,country,loc_type,number,event
1937,43,CALIFORNIA,CA,US,STATE,216,CASES
1937,44,CALIFORNIA,CA,US,STATE,208,CASES
1937,45,CALIFORNIA,CA,US,STATE,221,CASES
1937,46,CALIFORNIA,CA,US,STATE,245,CASES
1937,47,CALIFORNIA,CA,US,STATE,279,CASES
1937,48,CALIFORNIA,CA,US,STATE,279,CASES
1937,49,CALIFORNIA,CA,US,STATE,387,CASES
1937,50,CALIFORNIA,CA,US,STATE,308,CASES
1937,51,CALIFORNIA,CA,US,STATE,220,CASES
1937,52,CALIFORNIA,CA,US,STATE,179,CASES
1938,1,CALIFORNIA,CA,US,STATE,390,CASES
1938,2,CALIFORNIA,CA,US,STATE,456,CASES
1938,3,CALIFORNIA,CA,US,STATE,423,CASES
1938,4,CALIFORNIA,CA,US,STATE,405,CASES
1938,5,CALIFORNIA,CA,US,STATE,261,CASES
1938,6,CALIFORNIA,CA,US,STATE,271,CASES
1938,7,CALIFORNIA,CA,US,STATE,293,CASES
1938,8,CALIFORNIA,CA,US,STATE,363,CASES
1938,9,CALIFORNIA,CA,US,STATE,403,CASES
1938,10,CALIFORNIA,CA,US,STATE,529,CASES
1938,11,CALIFORNIA,CA,US,STATE,523,CASES
1938,12,CALIFORNIA,CA,US,STATE,485,CASES
1938,13,CALIFORNIA,CA,US,STATE,477,CASES
1938,14,CALIFORNIA,CA,US,STATE,515,CASES
1938,15,CALIFORNIA,CA,US,STATE,446,CASES
1938,16,CALIFORNIA,CA,US,STATE,619,CASES
1938,17,CALIFORNIA,CA,US,STATE,643,CASES
1938,18,CALIFORNIA,CA,US,STATE,536,CASES
1938,19,CALIFORNIA,CA,US,STATE,366,CASES
1938,20,CALIFORNIA,CA,US,STATE,608,CASES
1938,21,CALIFORNIA,CA,US,STATE,356,CASES
1938,22,CALIFORNIA,CA,US,STATE,421,CASES
1938,23,CALIFORNIA,CA,US,STATE,423,CASES
1938,24,CALIFORNIA,CA,US,STATE,349,CASES
1938,25,CALIFORNIA,CA,US,STATE,207,CASES
1938,26,CALIFORNIA,CA,US,STATE,175,CASES
1938,27,CALIFORNIA,CA,US,STATE,182,CASES
1938,28,CALIFORNIA,CA,US,STATE,211,CASES
1938,29,CALIFORNIA,CA,US,STATE,203,CASES
1938,30,CALIFORNIA,CA,US,STATE,193,CASES
1938,31,CALIFORNIA,CA,US,STATE,158,CASES
1938,32,CALIFORNIA,CA,US,STATE,141,CASES
1938,33,CALIFORNIA,CA,US,STATE,157,CASES
1938,34,CALIFORNIA,CA,US,STATE,98,CASES
1938,35,CALIFORNIA,CA,US,STATE,125,CASES
1938,36,CALIFORNIA,CA,US,STATE,98,CASES
1938,37,CALIFORNIA,CA,US,STATE,137,CASES
1938,38,CALIFORNIA,CA,US,STATE,175,CASES
1938,39,CALIFORNIA,CA,US,STATE,105,CASES
1938,40,CALIFORNIA,CA,US,STATE,100,CASES
1938,41,CALIFORNIA,CA,US,STATE,122,CASES
1938,42,CALIFORNIA,CA,US,STATE,129,CASES
1938,43,CALIFORNIA,CA,US,STATE,139,CASES
1938,44,CALIFORNIA,CA,US,STATE,117,CASES
1938,45,CALIFORNIA,CA,US,STATE,82,CASES
1938,46,CALIFORNIA,CA,US,STATE,92,CASES
1938,47,CALIFORNIA,CA,US,STATE,104,CASES
1938,48,CALIFORNIA,CA,US,STATE,128,CASES
1938,49,CALIFORNIA,CA,US,STATE,84,CASES
1938,50,CALIFORNIA,CA,US,STATE,88,CASES
1938,51,CALIFORNIA,CA,US,STATE,90,CASES
1938,52,CALIFORNIA,CA,US,STATE,63,CASES
