year,week,loc,state,country,loc_type,number,event
1968,5,COLORADO,CO,US,STATE,117,CASES
1968,6,COLORADO,CO,US,STATE,362,CASES
1968,7,COLORADO,CO,US,STATE,41,CASES
1968,8,COLORADO,CO,US,STATE,169,CASES
1968,9,COLORADO,CO,US,STATE,111,CASES
1968,10,COLORADO,CO,US,STATE,136,CASES
1968,11,COLORADO,CO,US,STATE,144,CASES
1968,12,COLORADO,CO,US,STATE,102,CASES
1968,13,COLORADO,CO,US,STATE,114,CASES
1968,14,COLORADO,CO,US,STATE,115,CASES
1968,15,COLORADO,CO,US,STATE,96,CASES
1968,16,COLORADO,CO,US,STATE,81,CASES
1968,17,COLORADO,CO,US,STATE,110,CASES
1968,18,COLORADO,CO,US,STATE,103,CASES
1968,19,COLORADO,CO,US,STATE,75,CASES
1968,20,COLORADO,CO,US,STATE,54,CASES
1968,21,COLORADO,CO,US,STATE,68,CASES
1968,22,COLORADO,CO,US,STATE,94,CASES
1968,23,COLORADO,CO,US,STATE,28,CASES
1968,24,COLORADO,CO,US,STATE,41,CASES
1968,25,COLORADO,CO,US,STATE,16,CASES
1968,26,COLORADO,CO,US,STATE,17,CASES
1968,27,COLORADO,CO,US,STATE,12,CASES
1968,28,COLORADO,CO,US,STATE,36,CASES
1968,29,COLORADO,CO,US,STATE,23,CASES
1968,30,COLORADO,CO,US,STATE,17,CASES
1968,31,COLORADO,CO,US,STATE,38,CASES
1968,32,COLORADO,CO,US,STATE,10,CASES
1968,33,COLORADO,CO,US,STATE,16,CASES
1968,34,COLORADO,CO,US,STATE,17,CASES
1968,35,COLORADO,CO,US,STATE,11,CASES
1968,36,COLORADO,CO,US,STATE,6,CASES
1968,37,COLORADO,CO,US,STATE,31,CASES
1968,38,COLORADO,CO,US,STATE,11,CASES
1968,39,COLORADO,CO,US,STATE,17,CASES
1968,40,COLORADO,CO,US,STATE,32,CASES
1968,41,COLORADO,CO,US,STATE,28,CASES
1968,42,COLORADO,CO,US,STATE,7,CASES
1968,43,COLORADO,CO,US,STATE,15,CASES
1968,44,COLORADO,CO,US,STATE,39,CASES
1968,45,COLORADO,CO,US,STATE,33,CASES
1968,46,COLORADO,CO,US,STATE,31,CASES
1968,47,COLORADO,CO,US,STATE,36,CASES
