year,week,loc,state,country,loc_type,number,event
1968,2,CONNECTICUT,CT,US,STATE,144,CASES
1968,3,CONNECTICUT,CT,US,STATE,124,CASES
1968,4,CONNECTICUT,CT,US,STATE,93,CASES
1968,5,CONNECTICUT,CT,US,STATE,145,CASES
1968,6,CONNECTICUT,CT,US,STATE,68,CASES
1968,7,CONNECTICUT,CT,US,STATE,209,CASES
1968,8,CONNECTICUT,CT,US,STATE,92,CASES
1968,9,CONNECTICUT,CT,US,STATE,79,CASES
1968,10,CONNECTICUT,CT,US,STATE,120,CASES
1968,11,CONNECTICUT,CT,US,STATE,95,CASES
1968,12,CONNECTICUT,CT,US,STATE,230,CASES
1968,13,CONNECTICUT,CT,US,STATE,107,CASES
1968,14,CONNECTICUT,CT,US,STATE,132,CASES
1968,15,CONNECTICUT,CT,US,STATE,218,CASES
1968,16,CONNECTICUT,CT,US,STATE,106,CASES
1968,17,CONNECTICUT,CT,US,STATE,94,CASES
1968,18,CONNECTICUT,CT,US,STATE,80,CASES
1968,19,CONNECTICUT,CT,US,STATE,191,CASES
1968,20,CONNECTICUT,CT,US,STATE,106,CASES
1968,21,CONNECTICUT,CT,US,STATE,95,CASES
1968,22,CONNECTICUT,CT,US,STATE,79,CASES
1968,23,CONNECTICUT,CT,US,STATE,61,CASES
1968,24,CONNECTICUT,CT,US,STATE,105,CASES
1968,25,CONNECTICUT,CT,US,STATE,71,CASES
1968,26,CONNECTICUT,CT,US,STATE,72,CASES
1968,27,CONNECTICUT,CT,US,STATE,25,CASES
1968,28,CONNECTICUT,CT,US,STATE,29,CASES
1968,29,CONNECTICUT,CT,US,STATE,12,CASES
1968,30,CONNECTICUT,CT,US,STATE,16,CASES
1968,31,CONNECTICUT,CT,US,STATE,26,CASES
1968,32,CONNECTICUT,CT,US,STATE,17,CASES
1968,33,CONNECTICUT,CT,US,STATE,21,CASES
1968,34,CONNECTICUT,CT,US,STATE,12,CASES
1968,35,CONNECTICUT,CT,US,STATE,20,CASES
1968,36,CONNECTICUT,CT,US,STATE,17,CASES
1968,37,CONNECTICUT,CT,US,STATE,12,CASES
1968,38,CONNECTICUT,CT,US,STATE,16,CASES
1968,39,CONNECTICUT,CT,US,STATE,10,CASES
1968,40,CONNECTICUT,CT,US,STATE,25,CASES
1968,41,CONNECTICUT,CT,US,STATE,13,CASES
1968,43,CONNECTICUT,CT,US,STATE,38,CASES
1968,44,CONNECTICUT,CT,US,STATE,34,CASES
1968,45,CONNECTICUT,CT,US,STATE,77,CASES
1968,46,CONNECTICUT,CT,US,STATE,37,CASES
1968,47,CONNECTICUT,CT,US,STATE,61,CASES
1968,48,CONNECTICUT,CT,US,STATE,65,CASES
1968,49,CONNECTICUT,CT,US,STATE,57,CASES
1968,50,CONNECTICUT,CT,US,STATE,87,CASES
1968,51,CONNECTICUT,CT,US,STATE,135,CASES
1968,52,CONNECTICUT,CT,US,STATE,57,CASES
1969,1,CONNECTICUT,CT,US,STATE,57,CASES
1969,2,CONNECTICUT,CT,US,STATE,69,CASES
1969,3,CONNECTICUT,CT,US,STATE,86,CASES
1969,4,CONNECTICUT,CT,US,STATE,120,CASES
1969,5,CONNECTICUT,CT,US,STATE,97,CASES
1969,6,CONNECTICUT,CT,US,STATE,105,CASES
1969,7,CONNECTICUT,CT,US,STATE,66,CASES
1969,8,CONNECTICUT,CT,US,STATE,129,CASES
1969,9,CONNECTICUT,CT,US,STATE,149,CASES
1969,10,CONNECTICUT,CT,US,STATE,81,CASES
1969,12,CONNECTICUT,CT,US,STATE,86,CASES
1969,13,CONNECTICUT,CT,US,STATE,94,CASES
1969,14,CONNECTICUT,CT,US,STATE,103,CASES
1969,15,CONNECTICUT,CT,US,STATE,143,CASES
1969,16,CONNECTICUT,CT,US,STATE,146,CASES
1969,17,CONNECTICUT,CT,US,STATE,104,CASES
1969,18,CONNECTICUT,CT,US,STATE,68,CASES
1969,19,CONNECTICUT,CT,US,STATE,172,CASES
1969,20,CONNECTICUT,CT,US,STATE,110,CASES
1969,21,CONNECTICUT,CT,US,STATE,78,CASES
1969,22,CONNECTICUT,CT,US,STATE,112,CASES
1969,23,CONNECTICUT,CT,US,STATE,77,CASES
1969,24,CONNECTICUT,CT,US,STATE,131,CASES
1969,25,CONNECTICUT,CT,US,STATE,90,CASES
1969,26,CONNECTICUT,CT,US,STATE,114,CASES
1969,27,CONNECTICUT,CT,US,STATE,81,CASES
1969,28,CONNECTICUT,CT,US,STATE,44,CASES
1969,29,CONNECTICUT,CT,US,STATE,66,CASES
1969,30,CONNECTICUT,CT,US,STATE,37,CASES
1969,31,CONNECTICUT,CT,US,STATE,44,CASES
1969,32,CONNECTICUT,CT,US,STATE,26,CASES
1969,33,CONNECTICUT,CT,US,STATE,38,CASES
1969,34,CONNECTICUT,CT,US,STATE,21,CASES
1969,35,CONNECTICUT,CT,US,STATE,22,CASES
1969,36,CONNECTICUT,CT,US,STATE,38,CASES
1969,37,CONNECTICUT,CT,US,STATE,19,CASES
1969,38,CONNECTICUT,CT,US,STATE,38,CASES
1969,39,CONNECTICUT,CT,US,STATE,36,CASES
1969,40,CONNECTICUT,CT,US,STATE,27,CASES
1969,41,CONNECTICUT,CT,US,STATE,40,CASES
1969,42,CONNECTICUT,CT,US,STATE,52,CASES
1969,43,CONNECTICUT,CT,US,STATE,63,CASES
