year,week,loc,state,country,loc_type,number,event
1966,1,CONNECTICUT,CT,US,STATE,11,CASES
1966,2,CONNECTICUT,CT,US,STATE,30,CASES
1966,3,CONNECTICUT,CT,US,STATE,39,CASES
1966,4,CONNECTICUT,CT,US,STATE,50,CASES
1966,5,CONNECTICUT,CT,US,STATE,72,CASES
1966,6,CONNECTICUT,CT,US,STATE,44,CASES
1966,7,CONNECTICUT,CT,US,STATE,44,CASES
1966,8,CONNECTICUT,CT,US,STATE,40,CASES
1966,9,CONNECTICUT,CT,US,STATE,99,CASES
1966,10,CONNECTICUT,CT,US,STATE,84,CASES
1966,11,CONNECTICUT,CT,US,STATE,110,CASES
1966,12,CONNECTICUT,CT,US,STATE,87,CASES
1966,13,CONNECTICUT,CT,US,STATE,107,CASES
1966,14,CONNECTICUT,CT,US,STATE,53,CASES
1966,15,CONNECTICUT,CT,US,STATE,102,CASES
1966,16,CONNECTICUT,CT,US,STATE,115,CASES
1966,17,CONNECTICUT,CT,US,STATE,61,CASES
1966,18,CONNECTICUT,CT,US,STATE,43,CASES
1966,19,CONNECTICUT,CT,US,STATE,135,CASES
1966,20,CONNECTICUT,CT,US,STATE,85,CASES
1966,21,CONNECTICUT,CT,US,STATE,99,CASES
1966,22,CONNECTICUT,CT,US,STATE,85,CASES
1966,23,CONNECTICUT,CT,US,STATE,59,CASES
1966,24,CONNECTICUT,CT,US,STATE,67,CASES
1966,25,CONNECTICUT,CT,US,STATE,66,CASES
1966,26,CONNECTICUT,CT,US,STATE,18,CASES
1966,27,CONNECTICUT,CT,US,STATE,39,CASES
1966,28,CONNECTICUT,CT,US,STATE,25,CASES
1966,29,CONNECTICUT,CT,US,STATE,25,CASES
1966,30,CONNECTICUT,CT,US,STATE,13,CASES
1966,31,CONNECTICUT,CT,US,STATE,8,CASES
1966,32,CONNECTICUT,CT,US,STATE,16,CASES
1966,33,CONNECTICUT,CT,US,STATE,15,CASES
1966,34,CONNECTICUT,CT,US,STATE,14,CASES
1966,35,CONNECTICUT,CT,US,STATE,7,CASES
1966,36,CONNECTICUT,CT,US,STATE,4,CASES
1966,37,CONNECTICUT,CT,US,STATE,7,CASES
1966,38,CONNECTICUT,CT,US,STATE,13,CASES
1966,39,CONNECTICUT,CT,US,STATE,18,CASES
1966,40,CONNECTICUT,CT,US,STATE,12,CASES
1966,41,CONNECTICUT,CT,US,STATE,13,CASES
1966,42,CONNECTICUT,CT,US,STATE,12,CASES
1966,43,CONNECTICUT,CT,US,STATE,10,CASES
1966,44,CONNECTICUT,CT,US,STATE,13,CASES
1966,45,CONNECTICUT,CT,US,STATE,23,CASES
1966,46,CONNECTICUT,CT,US,STATE,14,CASES
1966,47,CONNECTICUT,CT,US,STATE,27,CASES
1966,48,CONNECTICUT,CT,US,STATE,24,CASES
1966,50,CONNECTICUT,CT,US,STATE,21,CASES
1966,51,CONNECTICUT,CT,US,STATE,17,CASES
1967,1,CONNECTICUT,CT,US,STATE,23,CASES
1967,2,CONNECTICUT,CT,US,STATE,32,CASES
1967,3,CONNECTICUT,CT,US,STATE,32,CASES
1967,4,CONNECTICUT,CT,US,STATE,25,CASES
1967,5,CONNECTICUT,CT,US,STATE,43,CASES
1967,6,CONNECTICUT,CT,US,STATE,54,CASES
1967,7,CONNECTICUT,CT,US,STATE,33,CASES
1967,8,CONNECTICUT,CT,US,STATE,53,CASES
1967,9,CONNECTICUT,CT,US,STATE,46,CASES
1967,10,CONNECTICUT,CT,US,STATE,45,CASES
1967,11,CONNECTICUT,CT,US,STATE,43,CASES
1967,12,CONNECTICUT,CT,US,STATE,46,CASES
1967,13,CONNECTICUT,CT,US,STATE,56,CASES
1967,14,CONNECTICUT,CT,US,STATE,51,CASES
1967,15,CONNECTICUT,CT,US,STATE,60,CASES
1967,16,CONNECTICUT,CT,US,STATE,67,CASES
1967,17,CONNECTICUT,CT,US,STATE,64,CASES
1967,19,CONNECTICUT,CT,US,STATE,56,CASES
1967,20,CONNECTICUT,CT,US,STATE,68,CASES
1967,21,CONNECTICUT,CT,US,STATE,70,CASES
1967,22,CONNECTICUT,CT,US,STATE,106,CASES
1967,23,CONNECTICUT,CT,US,STATE,84,CASES
1967,24,CONNECTICUT,CT,US,STATE,57,CASES
1967,25,CONNECTICUT,CT,US,STATE,101,CASES
1967,26,CONNECTICUT,CT,US,STATE,66,CASES
1967,27,CONNECTICUT,CT,US,STATE,28,CASES
1967,28,CONNECTICUT,CT,US,STATE,12,CASES
1967,29,CONNECTICUT,CT,US,STATE,17,CASES
1967,30,CONNECTICUT,CT,US,STATE,19,CASES
1967,31,CONNECTICUT,CT,US,STATE,3,CASES
1967,32,CONNECTICUT,CT,US,STATE,11,CASES
1967,33,CONNECTICUT,CT,US,STATE,12,CASES
1967,34,CONNECTICUT,CT,US,STATE,11,CASES
1967,35,CONNECTICUT,CT,US,STATE,12,CASES
1967,36,CONNECTICUT,CT,US,STATE,12,CASES
1967,38,CONNECTICUT,CT,US,STATE,15,CASES
1967,39,CONNECTICUT,CT,US,STATE,11,CASES
1967,40,CONNECTICUT,CT,US,STATE,10,CASES
1967,41,CONNECTICUT,CT,US,STATE,15,CASES
1967,42,CONNECTICUT,CT,US,STATE,25,CASES
1967,43,CONNECTICUT,CT,US,STATE,20,CASES
1967,44,CONNECTICUT,CT,US,STATE,15,CASES
1967,45,CONNECTICUT,CT,US,STATE,25,CASES
1967,46,CONNECTICUT,CT,US,STATE,18,CASES
1967,47,CONNECTICUT,CT,US,STATE,16,CASES
1967,48,CONNECTICUT,CT,US,STATE,18,CASES
1967,49,CONNECTICUT,CT,US,STATE,13,CASES
1967,50,CONNECTICUT,CT,US,STATE,34,CASES
1967,51,CONNECTICUT,CT,US,STATE,17,CASES
1967,52,CONNECTICUT,CT,US,STATE,55,CASES
1968,1,CONNECTICUT,CT,US,STATE,23,CASES
1968,2,CONNECTICUT,CT,US,STATE,26,CASES
1968,3,CONNECTICUT,CT,US,STATE,28,CASES
1968,4,CONNECTICUT,CT,US,STATE,35,CASES
1968,5,CONNECTICUT,CT,US,STATE,54,CASES
1968,6,CONNECTICUT,CT,US,STATE,61,CASES
1968,7,CONNECTICUT,CT,US,STATE,83,CASES
1968,8,CONNECTICUT,CT,US,STATE,70,CASES
1968,9,CONNECTICUT,CT,US,STATE,55,CASES
1968,10,CONNECTICUT,CT,US,STATE,87,CASES
1968,11,CONNECTICUT,CT,US,STATE,130,CASES
1968,12,CONNECTICUT,CT,US,STATE,128,CASES
1968,13,CONNECTICUT,CT,US,STATE,111,CASES
1968,14,CONNECTICUT,CT,US,STATE,127,CASES
1968,15,CONNECTICUT,CT,US,STATE,136,CASES
1968,16,CONNECTICUT,CT,US,STATE,179,CASES
1968,17,CONNECTICUT,CT,US,STATE,110,CASES
1968,18,CONNECTICUT,CT,US,STATE,116,CASES
1968,19,CONNECTICUT,CT,US,STATE,113,CASES
1968,20,CONNECTICUT,CT,US,STATE,174,CASES
1968,21,CONNECTICUT,CT,US,STATE,134,CASES
1968,22,CONNECTICUT,CT,US,STATE,117,CASES
1968,23,CONNECTICUT,CT,US,STATE,149,CASES
1968,24,CONNECTICUT,CT,US,STATE,213,CASES
1968,25,CONNECTICUT,CT,US,STATE,139,CASES
1968,26,CONNECTICUT,CT,US,STATE,67,CASES
1968,27,CONNECTICUT,CT,US,STATE,38,CASES
1968,28,CONNECTICUT,CT,US,STATE,18,CASES
1968,29,CONNECTICUT,CT,US,STATE,11,CASES
1968,30,CONNECTICUT,CT,US,STATE,8,CASES
1968,31,CONNECTICUT,CT,US,STATE,12,CASES
1968,32,CONNECTICUT,CT,US,STATE,4,CASES
1968,33,CONNECTICUT,CT,US,STATE,20,CASES
1968,34,CONNECTICUT,CT,US,STATE,7,CASES
1968,35,CONNECTICUT,CT,US,STATE,22,CASES
1968,36,CONNECTICUT,CT,US,STATE,11,CASES
1968,37,CONNECTICUT,CT,US,STATE,19,CASES
1968,38,CONNECTICUT,CT,US,STATE,11,CASES
1968,39,CONNECTICUT,CT,US,STATE,19,CASES
1968,40,CONNECTICUT,CT,US,STATE,12,CASES
1968,41,CONNECTICUT,CT,US,STATE,16,CASES
1968,42,CONNECTICUT,CT,US,STATE,15,CASES
1968,43,CONNECTICUT,CT,US,STATE,9,CASES
1968,44,CONNECTICUT,CT,US,STATE,9,CASES
1968,45,CONNECTICUT,CT,US,STATE,23,CASES
1968,46,CONNECTICUT,CT,US,STATE,12,CASES
1968,47,CONNECTICUT,CT,US,STATE,10,CASES
1968,48,CONNECTICUT,CT,US,STATE,9,CASES
1968,49,CONNECTICUT,CT,US,STATE,7,CASES
1968,50,CONNECTICUT,CT,US,STATE,23,CASES
1968,51,CONNECTICUT,CT,US,STATE,22,CASES
1968,52,CONNECTICUT,CT,US,STATE,7,CASES
1969,2,CONNECTICUT,CT,US,STATE,8,CASES
1969,3,CONNECTICUT,CT,US,STATE,18,CASES
1969,4,CONNECTICUT,CT,US,STATE,30,CASES
1969,5,CONNECTICUT,CT,US,STATE,16,CASES
1969,6,CONNECTICUT,CT,US,STATE,21,CASES
1969,7,CONNECTICUT,CT,US,STATE,14,CASES
1969,8,CONNECTICUT,CT,US,STATE,39,CASES
1969,9,CONNECTICUT,CT,US,STATE,23,CASES
1969,10,CONNECTICUT,CT,US,STATE,79,CASES
1969,12,CONNECTICUT,CT,US,STATE,62,CASES
1969,13,CONNECTICUT,CT,US,STATE,84,CASES
1969,14,CONNECTICUT,CT,US,STATE,35,CASES
1969,15,CONNECTICUT,CT,US,STATE,58,CASES
1969,16,CONNECTICUT,CT,US,STATE,63,CASES
1969,17,CONNECTICUT,CT,US,STATE,123,CASES
1969,18,CONNECTICUT,CT,US,STATE,69,CASES
1969,19,CONNECTICUT,CT,US,STATE,58,CASES
1969,20,CONNECTICUT,CT,US,STATE,90,CASES
1969,21,CONNECTICUT,CT,US,STATE,102,CASES
1969,22,CONNECTICUT,CT,US,STATE,79,CASES
1969,23,CONNECTICUT,CT,US,STATE,50,CASES
1969,24,CONNECTICUT,CT,US,STATE,98,CASES
1969,25,CONNECTICUT,CT,US,STATE,84,CASES
1969,26,CONNECTICUT,CT,US,STATE,56,CASES
1969,27,CONNECTICUT,CT,US,STATE,50,CASES
1969,28,CONNECTICUT,CT,US,STATE,28,CASES
1969,29,CONNECTICUT,CT,US,STATE,21,CASES
1969,30,CONNECTICUT,CT,US,STATE,9,CASES
1969,31,CONNECTICUT,CT,US,STATE,16,CASES
1969,32,CONNECTICUT,CT,US,STATE,12,CASES
1969,33,CONNECTICUT,CT,US,STATE,13,CASES
1969,34,CONNECTICUT,CT,US,STATE,9,CASES
1969,35,CONNECTICUT,CT,US,STATE,7,CASES
1969,36,CONNECTICUT,CT,US,STATE,6,CASES
1969,37,CONNECTICUT,CT,US,STATE,9,CASES
1969,38,CONNECTICUT,CT,US,STATE,6,CASES
1969,39,CONNECTICUT,CT,US,STATE,8,CASES
1969,40,CONNECTICUT,CT,US,STATE,15,CASES
1969,41,CONNECTICUT,CT,US,STATE,11,CASES
1969,42,CONNECTICUT,CT,US,STATE,9,CASES
1969,43,CONNECTICUT,CT,US,STATE,10,CASES
1969,44,CONNECTICUT,CT,US,STATE,12,CASES
1969,45,CONNECTICUT,CT,US,STATE,4,CASES
1969,46,CONNECTICUT,CT,US,STATE,1,CASES
1969,47,CONNECTICUT,CT,US,STATE,7,CASES
1969,48,CONNECTICUT,CT,US,STATE,9,CASES
1969,49,CONNECTICUT,CT,US,STATE,8,CASES
1969,50,CONNECTICUT,CT,US,STATE,6,CASES
1969,51,CONNECTICUT,CT,US,STATE,11,CASES
1969,52,CONNECTICUT,CT,US,STATE,42,CASES
1970,1,CONNECTICUT,CT,US,STATE,10,CASES
1970,2,CONNECTICUT,CT,US,STATE,11,CASES
1970,3,CONNECTICUT,CT,US,STATE,21,CASES
1970,4,CONNECTICUT,CT,US,STATE,12,CASES
1970,5,CONNECTICUT,CT,US,STATE,11,CASES
1970,6,CONNECTICUT,CT,US,STATE,18,CASES
1970,7,CONNECTICUT,CT,US,STATE,44,CASES
1970,8,CONNECTICUT,CT,US,STATE,25,CASES
1970,9,CONNECTICUT,CT,US,STATE,9,CASES
1970,10,CONNECTICUT,CT,US,STATE,20,CASES
1970,11,CONNECTICUT,CT,US,STATE,16,CASES
1970,12,CONNECTICUT,CT,US,STATE,8,CASES
1970,13,CONNECTICUT,CT,US,STATE,28,CASES
1970,14,CONNECTICUT,CT,US,STATE,15,CASES
1970,15,CONNECTICUT,CT,US,STATE,23,CASES
1970,16,CONNECTICUT,CT,US,STATE,18,CASES
1970,17,CONNECTICUT,CT,US,STATE,64,CASES
1970,18,CONNECTICUT,CT,US,STATE,12,CASES
1970,19,CONNECTICUT,CT,US,STATE,44,CASES
1970,20,CONNECTICUT,CT,US,STATE,21,CASES
1970,21,CONNECTICUT,CT,US,STATE,6,CASES
1970,22,CONNECTICUT,CT,US,STATE,14,CASES
1970,23,CONNECTICUT,CT,US,STATE,17,CASES
1970,24,CONNECTICUT,CT,US,STATE,15,CASES
1970,25,CONNECTICUT,CT,US,STATE,7,CASES
1970,26,CONNECTICUT,CT,US,STATE,41,CASES
1970,27,CONNECTICUT,CT,US,STATE,3,CASES
1970,28,CONNECTICUT,CT,US,STATE,3,CASES
1970,29,CONNECTICUT,CT,US,STATE,3,CASES
1970,30,CONNECTICUT,CT,US,STATE,1,CASES
1970,31,CONNECTICUT,CT,US,STATE,5,CASES
1970,32,CONNECTICUT,CT,US,STATE,1,CASES
1970,34,CONNECTICUT,CT,US,STATE,1,CASES
1970,35,CONNECTICUT,CT,US,STATE,2,CASES
1970,36,CONNECTICUT,CT,US,STATE,2,CASES
1970,37,CONNECTICUT,CT,US,STATE,8,CASES
1970,38,CONNECTICUT,CT,US,STATE,5,CASES
1970,39,CONNECTICUT,CT,US,STATE,3,CASES
1970,40,CONNECTICUT,CT,US,STATE,4,CASES
1970,41,CONNECTICUT,CT,US,STATE,3,CASES
1970,42,CONNECTICUT,CT,US,STATE,6,CASES
1970,43,CONNECTICUT,CT,US,STATE,6,CASES
1970,45,CONNECTICUT,CT,US,STATE,7,CASES
1970,46,CONNECTICUT,CT,US,STATE,4,CASES
1970,47,CONNECTICUT,CT,US,STATE,2,CASES
1970,48,CONNECTICUT,CT,US,STATE,6,CASES
1970,49,CONNECTICUT,CT,US,STATE,6,CASES
1970,50,CONNECTICUT,CT,US,STATE,6,CASES
1970,52,CONNECTICUT,CT,US,STATE,4,CASES
1971,1,CONNECTICUT,CT,US,STATE,5,CASES
1971,2,CONNECTICUT,CT,US,STATE,2,CASES
1971,3,CONNECTICUT,CT,US,STATE,8,CASES
1971,4,CONNECTICUT,CT,US,STATE,5,CASES
1971,5,CONNECTICUT,CT,US,STATE,5,CASES
1971,6,CONNECTICUT,CT,US,STATE,1,CASES
1971,7,CONNECTICUT,CT,US,STATE,4,CASES
1971,8,CONNECTICUT,CT,US,STATE,14,CASES
1971,9,CONNECTICUT,CT,US,STATE,6,CASES
1971,10,CONNECTICUT,CT,US,STATE,10,CASES
1971,11,CONNECTICUT,CT,US,STATE,9,CASES
1971,12,CONNECTICUT,CT,US,STATE,7,CASES
1971,13,CONNECTICUT,CT,US,STATE,28,CASES
1971,14,CONNECTICUT,CT,US,STATE,14,CASES
1971,15,CONNECTICUT,CT,US,STATE,15,CASES
1971,16,CONNECTICUT,CT,US,STATE,22,CASES
1971,17,CONNECTICUT,CT,US,STATE,27,CASES
1971,18,CONNECTICUT,CT,US,STATE,18,CASES
1971,19,CONNECTICUT,CT,US,STATE,37,CASES
1971,20,CONNECTICUT,CT,US,STATE,35,CASES
