year,week,loc,state,country,loc_type,number,event
1972,1,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1972,3,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1972,4,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1972,5,DISTRICT OF COLUMBIA,DC,US,STATE,15,CASES
1972,6,DISTRICT OF COLUMBIA,DC,US,STATE,27,CASES
1972,7,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1972,8,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1972,9,DISTRICT OF COLUMBIA,DC,US,STATE,17,CASES
1972,10,DISTRICT OF COLUMBIA,DC,US,STATE,22,CASES
1972,11,DISTRICT OF COLUMBIA,DC,US,STATE,18,CASES
1972,12,DISTRICT OF COLUMBIA,DC,US,STATE,22,CASES
1972,13,DISTRICT OF COLUMBIA,DC,US,STATE,18,CASES
1972,14,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1972,15,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1972,16,DISTRICT OF COLUMBIA,DC,US,STATE,31,CASES
1972,17,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1972,18,DISTRICT OF COLUMBIA,DC,US,STATE,26,CASES
1972,19,DISTRICT OF COLUMBIA,DC,US,STATE,26,CASES
1972,20,DISTRICT OF COLUMBIA,DC,US,STATE,23,CASES
1972,21,DISTRICT OF COLUMBIA,DC,US,STATE,20,CASES
1972,23,DISTRICT OF COLUMBIA,DC,US,STATE,31,CASES
1972,24,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1972,25,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1972,26,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1972,27,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1972,28,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1972,29,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1972,30,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1972,31,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1972,32,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1972,36,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1972,43,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1973,3,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1973,5,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1973,6,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1973,7,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1973,9,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1973,10,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1973,11,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1973,12,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1973,13,DISTRICT OF COLUMBIA,DC,US,STATE,5,CASES
1973,14,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1973,15,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1973,16,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
