year,week,loc,state,country,loc_type,number,event
1975,17,FLORIDA,FL,US,STATE,241,CASES
1975,18,FLORIDA,FL,US,STATE,128,CASES
1975,19,FLORIDA,FL,US,STATE,131,CASES
1975,20,FLORIDA,FL,US,STATE,152,CASES
1975,21,FLORIDA,FL,US,STATE,107,CASES
1975,22,FLORIDA,FL,US,STATE,87,CASES
1975,23,FLORIDA,FL,US,STATE,102,CASES
1975,24,FLORIDA,FL,US,STATE,94,CASES
1975,25,FLORIDA,FL,US,STATE,38,CASES
1975,26,FLORIDA,FL,US,STATE,17,CASES
1975,28,FLORIDA,FL,US,STATE,11,CASES
1975,31,FLORIDA,FL,US,STATE,3,CASES
1975,32,FLORIDA,FL,US,STATE,9,CASES
1975,33,FLORIDA,FL,US,STATE,5,CASES
1975,34,FLORIDA,FL,US,STATE,2,CASES
1975,36,FLORIDA,FL,US,STATE,1,CASES
1975,37,FLORIDA,FL,US,STATE,8,CASES
1975,38,FLORIDA,FL,US,STATE,5,CASES
1975,39,FLORIDA,FL,US,STATE,1,CASES
1975,40,FLORIDA,FL,US,STATE,12,CASES
1975,41,FLORIDA,FL,US,STATE,20,CASES
1975,42,FLORIDA,FL,US,STATE,23,CASES
1975,43,FLORIDA,FL,US,STATE,12,CASES
1975,44,FLORIDA,FL,US,STATE,11,CASES
1975,46,FLORIDA,FL,US,STATE,12,CASES
1975,47,FLORIDA,FL,US,STATE,8,CASES
1975,48,FLORIDA,FL,US,STATE,34,CASES
1975,49,FLORIDA,FL,US,STATE,75,CASES
1975,50,FLORIDA,FL,US,STATE,56,CASES
1975,51,FLORIDA,FL,US,STATE,68,CASES
1975,52,FLORIDA,FL,US,STATE,53,CASES
1976,1,FLORIDA,FL,US,STATE,94,CASES
1976,2,FLORIDA,FL,US,STATE,244,CASES
1976,3,FLORIDA,FL,US,STATE,105,CASES
1976,4,FLORIDA,FL,US,STATE,154,CASES
1976,5,FLORIDA,FL,US,STATE,164,CASES
1976,6,FLORIDA,FL,US,STATE,160,CASES
1976,7,FLORIDA,FL,US,STATE,282,CASES
1976,8,FLORIDA,FL,US,STATE,225,CASES
1976,9,FLORIDA,FL,US,STATE,132,CASES
1976,10,FLORIDA,FL,US,STATE,207,CASES
1976,11,FLORIDA,FL,US,STATE,218,CASES
1976,12,FLORIDA,FL,US,STATE,138,CASES
1976,13,FLORIDA,FL,US,STATE,231,CASES
1976,14,FLORIDA,FL,US,STATE,222,CASES
1976,15,FLORIDA,FL,US,STATE,63,CASES
