year,week,loc,state,country,loc_type,number,event
1927,47,GEORGIA,GA,US,STATE,27,CASES
1927,48,GEORGIA,GA,US,STATE,17,CASES
1927,49,GEORGIA,GA,US,STATE,28,CASES
1927,51,GEORGIA,GA,US,STATE,63,CASES
1927,52,GEORGIA,GA,US,STATE,69,CASES
1928,1,GEORGIA,GA,US,STATE,34,CASES
1928,2,GEORGIA,GA,US,STATE,173,CASES
1928,4,GEORGIA,GA,US,STATE,251,CASES
1928,5,GEORGIA,GA,US,STATE,314,CASES
1928,6,GEORGIA,GA,US,STATE,196,CASES
1928,7,GEORGIA,GA,US,STATE,214,CASES
1928,8,GEORGIA,GA,US,STATE,325,CASES
1928,9,GEORGIA,GA,US,STATE,321,CASES
1928,10,GEORGIA,GA,US,STATE,236,CASES
1928,11,GEORGIA,GA,US,STATE,187,CASES
1928,12,GEORGIA,GA,US,STATE,105,CASES
1928,13,GEORGIA,GA,US,STATE,259,CASES
1928,14,GEORGIA,GA,US,STATE,143,CASES
1928,15,GEORGIA,GA,US,STATE,134,CASES
1928,16,GEORGIA,GA,US,STATE,114,CASES
1928,17,GEORGIA,GA,US,STATE,150,CASES
1928,18,GEORGIA,GA,US,STATE,367,CASES
1928,19,GEORGIA,GA,US,STATE,160,CASES
1928,20,GEORGIA,GA,US,STATE,103,CASES
1928,21,GEORGIA,GA,US,STATE,128,CASES
1928,22,GEORGIA,GA,US,STATE,104,CASES
1928,23,GEORGIA,GA,US,STATE,75,CASES
1928,24,GEORGIA,GA,US,STATE,50,CASES
1928,27,GEORGIA,GA,US,STATE,47,CASES
1928,28,GEORGIA,GA,US,STATE,29,CASES
1928,29,GEORGIA,GA,US,STATE,16,CASES
1928,30,GEORGIA,GA,US,STATE,4,CASES
1928,31,GEORGIA,GA,US,STATE,9,CASES
1928,32,GEORGIA,GA,US,STATE,3,CASES
1928,33,GEORGIA,GA,US,STATE,4,CASES
1928,34,GEORGIA,GA,US,STATE,5,CASES
1928,35,GEORGIA,GA,US,STATE,4,CASES
1928,37,GEORGIA,GA,US,STATE,2,CASES
1928,38,GEORGIA,GA,US,STATE,2,CASES
1928,41,GEORGIA,GA,US,STATE,3,CASES
1928,42,GEORGIA,GA,US,STATE,7,CASES
1928,43,GEORGIA,GA,US,STATE,8,CASES
1928,44,GEORGIA,GA,US,STATE,26,CASES
1928,45,GEORGIA,GA,US,STATE,12,CASES
1928,46,GEORGIA,GA,US,STATE,46,CASES
1928,47,GEORGIA,GA,US,STATE,33,CASES
1928,48,GEORGIA,GA,US,STATE,26,CASES
1928,49,GEORGIA,GA,US,STATE,1,CASES
1928,50,GEORGIA,GA,US,STATE,88,CASES
1928,51,GEORGIA,GA,US,STATE,84,CASES
1928,52,GEORGIA,GA,US,STATE,33,CASES
1929,1,GEORGIA,GA,US,STATE,23,CASES
1929,2,GEORGIA,GA,US,STATE,59,CASES
1929,3,GEORGIA,GA,US,STATE,97,CASES
1929,4,GEORGIA,GA,US,STATE,40,CASES
1929,5,GEORGIA,GA,US,STATE,29,CASES
1929,6,GEORGIA,GA,US,STATE,56,CASES
1929,7,GEORGIA,GA,US,STATE,53,CASES
1929,8,GEORGIA,GA,US,STATE,89,CASES
1929,9,GEORGIA,GA,US,STATE,59,CASES
1929,10,GEORGIA,GA,US,STATE,41,CASES
1929,11,GEORGIA,GA,US,STATE,25,CASES
1929,12,GEORGIA,GA,US,STATE,25,CASES
1929,13,GEORGIA,GA,US,STATE,41,CASES
1929,14,GEORGIA,GA,US,STATE,16,CASES
1929,15,GEORGIA,GA,US,STATE,39,CASES
1929,16,GEORGIA,GA,US,STATE,22,CASES
1929,17,GEORGIA,GA,US,STATE,21,CASES
1929,18,GEORGIA,GA,US,STATE,38,CASES
1929,19,GEORGIA,GA,US,STATE,27,CASES
1929,20,GEORGIA,GA,US,STATE,40,CASES
1929,21,GEORGIA,GA,US,STATE,11,CASES
1929,22,GEORGIA,GA,US,STATE,46,CASES
1929,23,GEORGIA,GA,US,STATE,30,CASES
1929,24,GEORGIA,GA,US,STATE,17,CASES
1929,25,GEORGIA,GA,US,STATE,27,CASES
1929,26,GEORGIA,GA,US,STATE,21,CASES
1929,29,GEORGIA,GA,US,STATE,4,CASES
1929,30,GEORGIA,GA,US,STATE,1,CASES
1929,31,GEORGIA,GA,US,STATE,17,CASES
1929,32,GEORGIA,GA,US,STATE,3,CASES
1929,33,GEORGIA,GA,US,STATE,5,CASES
1929,34,GEORGIA,GA,US,STATE,1,CASES
1929,35,GEORGIA,GA,US,STATE,5,CASES
1929,37,GEORGIA,GA,US,STATE,4,CASES
1929,38,GEORGIA,GA,US,STATE,4,CASES
1929,39,GEORGIA,GA,US,STATE,8,CASES
1929,40,GEORGIA,GA,US,STATE,3,CASES
1929,41,GEORGIA,GA,US,STATE,2,CASES
1929,42,GEORGIA,GA,US,STATE,2,CASES
1929,43,GEORGIA,GA,US,STATE,3,CASES
1929,44,GEORGIA,GA,US,STATE,2,CASES
1929,45,GEORGIA,GA,US,STATE,4,CASES
1929,46,GEORGIA,GA,US,STATE,14,CASES
1929,48,GEORGIA,GA,US,STATE,16,CASES
1929,49,GEORGIA,GA,US,STATE,12,CASES
1929,50,GEORGIA,GA,US,STATE,40,CASES
1929,51,GEORGIA,GA,US,STATE,14,CASES
1929,52,GEORGIA,GA,US,STATE,24,CASES
1930,1,GEORGIA,GA,US,STATE,39,CASES
1930,2,GEORGIA,GA,US,STATE,93,CASES
1930,3,GEORGIA,GA,US,STATE,30,CASES
1930,4,GEORGIA,GA,US,STATE,116,CASES
1930,5,GEORGIA,GA,US,STATE,95,CASES
1930,7,GEORGIA,GA,US,STATE,335,CASES
1930,8,GEORGIA,GA,US,STATE,146,CASES
1930,9,GEORGIA,GA,US,STATE,114,CASES
1930,10,GEORGIA,GA,US,STATE,285,CASES
1930,11,GEORGIA,GA,US,STATE,202,CASES
1930,12,GEORGIA,GA,US,STATE,221,CASES
1930,13,GEORGIA,GA,US,STATE,196,CASES
1930,14,GEORGIA,GA,US,STATE,215,CASES
1930,15,GEORGIA,GA,US,STATE,192,CASES
1930,16,GEORGIA,GA,US,STATE,226,CASES
1930,17,GEORGIA,GA,US,STATE,272,CASES
1930,18,GEORGIA,GA,US,STATE,260,CASES
1930,19,GEORGIA,GA,US,STATE,143,CASES
1930,20,GEORGIA,GA,US,STATE,190,CASES
1930,21,GEORGIA,GA,US,STATE,131,CASES
1930,22,GEORGIA,GA,US,STATE,140,CASES
