year,week,loc,state,country,loc_type,number,event
1950,24,HAWAII,HI,US,STATE,4,CASES
1950,25,HAWAII,HI,US,STATE,1,CASES
1950,26,HAWAII,HI,US,STATE,1,CASES
1950,27,HAWAII,HI,US,STATE,2,CASES
1950,30,HAWAII,HI,US,STATE,3,CASES
1950,31,HAWAII,HI,US,STATE,1,CASES
1950,33,HAWAII,HI,US,STATE,1,CASES
1950,34,HAWAII,HI,US,STATE,1,CASES
1950,35,HAWAII,HI,US,STATE,2,CASES
1950,37,HAWAII,HI,US,STATE,1,CASES
1950,41,HAWAII,HI,US,STATE,1,CASES
1950,42,HAWAII,HI,US,STATE,2,CASES
1950,52,HAWAII,HI,US,STATE,8,CASES
1951,3,HAWAII,HI,US,STATE,1,CASES
1951,10,HAWAII,HI,US,STATE,1,CASES
1951,17,HAWAII,HI,US,STATE,1,CASES
1951,21,HAWAII,HI,US,STATE,2,CASES
1951,28,HAWAII,HI,US,STATE,1,CASES
1951,40,HAWAII,HI,US,STATE,1,CASES
1951,42,HAWAII,HI,US,STATE,2,CASES
1954,1,HAWAII,HI,US,STATE,1,CASES
1954,4,HAWAII,HI,US,STATE,1,CASES
1954,5,HAWAII,HI,US,STATE,1,CASES
1954,6,HAWAII,HI,US,STATE,1,CASES
1954,7,HAWAII,HI,US,STATE,3,CASES
1954,10,HAWAII,HI,US,STATE,1,CASES
1954,13,HAWAII,HI,US,STATE,2,CASES
1954,15,HAWAII,HI,US,STATE,2,CASES
1954,16,HAWAII,HI,US,STATE,2,CASES
1954,18,HAWAII,HI,US,STATE,4,CASES
1954,19,HAWAII,HI,US,STATE,1,CASES
1954,20,HAWAII,HI,US,STATE,3,CASES
1954,21,HAWAII,HI,US,STATE,3,CASES
1954,23,HAWAII,HI,US,STATE,1,CASES
1954,25,HAWAII,HI,US,STATE,1,CASES
1954,26,HAWAII,HI,US,STATE,8,CASES
1954,27,HAWAII,HI,US,STATE,2,CASES
1954,28,HAWAII,HI,US,STATE,3,CASES
1954,29,HAWAII,HI,US,STATE,1,CASES
1954,30,HAWAII,HI,US,STATE,1,CASES
1954,31,HAWAII,HI,US,STATE,6,CASES
1954,32,HAWAII,HI,US,STATE,2,CASES
1954,34,HAWAII,HI,US,STATE,3,CASES
1954,35,HAWAII,HI,US,STATE,12,CASES
1954,36,HAWAII,HI,US,STATE,4,CASES
1954,37,HAWAII,HI,US,STATE,11,CASES
1954,39,HAWAII,HI,US,STATE,9,CASES
1954,40,HAWAII,HI,US,STATE,1,CASES
1954,42,HAWAII,HI,US,STATE,6,CASES
1954,43,HAWAII,HI,US,STATE,9,CASES
1954,44,HAWAII,HI,US,STATE,1,CASES
1954,45,HAWAII,HI,US,STATE,6,CASES
1954,50,HAWAII,HI,US,STATE,2,CASES
1955,1,HAWAII,HI,US,STATE,3,CASES
1955,3,HAWAII,HI,US,STATE,5,CASES
1955,6,HAWAII,HI,US,STATE,2,CASES
1955,9,HAWAII,HI,US,STATE,1,CASES
1955,10,HAWAII,HI,US,STATE,4,CASES
1955,15,HAWAII,HI,US,STATE,1,CASES
