year,week,loc,state,country,loc_type,number,event
1950,22,HAWAII,HI,US,STATE,1,CASES
1950,23,HAWAII,HI,US,STATE,1,CASES
1950,24,HAWAII,HI,US,STATE,1,CASES
1950,27,HAWAII,HI,US,STATE,1,CASES
1950,32,HAWAII,HI,US,STATE,24,CASES
1950,33,HAWAII,HI,US,STATE,5,CASES
1950,34,HAWAII,HI,US,STATE,15,CASES
1950,35,HAWAII,HI,US,STATE,38,CASES
1950,36,HAWAII,HI,US,STATE,41,CASES
1950,37,HAWAII,HI,US,STATE,6,CASES
1950,38,HAWAII,HI,US,STATE,28,CASES
1950,39,HAWAII,HI,US,STATE,6,CASES
1950,40,HAWAII,HI,US,STATE,10,CASES
1950,41,HAWAII,HI,US,STATE,162,CASES
1950,42,HAWAII,HI,US,STATE,3,CASES
1950,43,HAWAII,HI,US,STATE,88,CASES
1950,44,HAWAII,HI,US,STATE,88,CASES
1950,45,HAWAII,HI,US,STATE,32,CASES
1950,46,HAWAII,HI,US,STATE,544,CASES
1950,47,HAWAII,HI,US,STATE,128,CASES
1950,48,HAWAII,HI,US,STATE,30,CASES
1950,49,HAWAII,HI,US,STATE,96,CASES
1950,51,HAWAII,HI,US,STATE,95,CASES
1950,52,HAWAII,HI,US,STATE,11,CASES
1951,1,HAWAII,HI,US,STATE,2,CASES
1951,2,HAWAII,HI,US,STATE,8,CASES
1951,4,HAWAII,HI,US,STATE,1,CASES
1951,5,HAWAII,HI,US,STATE,7,CASES
1951,6,HAWAII,HI,US,STATE,1,CASES
1951,7,HAWAII,HI,US,STATE,1,CASES
1951,8,HAWAII,HI,US,STATE,12,CASES
1951,9,HAWAII,HI,US,STATE,7,CASES
1951,10,HAWAII,HI,US,STATE,11,CASES
1951,11,HAWAII,HI,US,STATE,3,CASES
1951,13,HAWAII,HI,US,STATE,18,CASES
1951,14,HAWAII,HI,US,STATE,5,CASES
1951,15,HAWAII,HI,US,STATE,3,CASES
1951,17,HAWAII,HI,US,STATE,8,CASES
1951,18,HAWAII,HI,US,STATE,3,CASES
1951,19,HAWAII,HI,US,STATE,4,CASES
1951,20,HAWAII,HI,US,STATE,4,CASES
1951,21,HAWAII,HI,US,STATE,7,CASES
1951,25,HAWAII,HI,US,STATE,6,CASES
1951,28,HAWAII,HI,US,STATE,7,CASES
1951,36,HAWAII,HI,US,STATE,7,CASES
1951,41,HAWAII,HI,US,STATE,66,CASES
1951,42,HAWAII,HI,US,STATE,42,CASES
1951,43,HAWAII,HI,US,STATE,57,CASES
1951,44,HAWAII,HI,US,STATE,29,CASES
1951,45,HAWAII,HI,US,STATE,135,CASES
1951,46,HAWAII,HI,US,STATE,66,CASES
1951,47,HAWAII,HI,US,STATE,2,CASES
1951,48,HAWAII,HI,US,STATE,172,CASES
1951,49,HAWAII,HI,US,STATE,32,CASES
