year,week,loc,state,country,loc_type,number,event
1950,22,HAWAII,HI,US,STATE,2,CASES
1950,23,HAWAII,HI,US,STATE,4,CASES
1950,24,HAWAII,HI,US,STATE,1,CASES
1950,25,HAWAII,HI,US,STATE,5,CASES
1950,26,HAWAII,HI,US,STATE,1,CASES
1950,27,HAWAII,HI,US,STATE,5,CASES
1950,28,HAWAII,HI,US,STATE,1,CASES
1950,29,HAWAII,HI,US,STATE,5,CASES
1950,31,HAWAII,HI,US,STATE,2,CASES
1950,32,HAWAII,HI,US,STATE,4,CASES
1950,33,HAWAII,HI,US,STATE,2,CASES
1950,34,HAWAII,HI,US,STATE,2,CASES
1950,35,HAWAII,HI,US,STATE,2,CASES
1950,36,HAWAII,HI,US,STATE,1,CASES
1950,37,HAWAII,HI,US,STATE,2,CASES
1950,39,HAWAII,HI,US,STATE,3,CASES
1950,41,HAWAII,HI,US,STATE,2,CASES
1950,42,HAWAII,HI,US,STATE,7,CASES
1950,43,HAWAII,HI,US,STATE,7,CASES
1950,44,HAWAII,HI,US,STATE,1,CASES
1950,45,HAWAII,HI,US,STATE,3,CASES
1950,46,HAWAII,HI,US,STATE,1,CASES
1950,49,HAWAII,HI,US,STATE,3,CASES
1951,1,HAWAII,HI,US,STATE,2,CASES
1951,4,HAWAII,HI,US,STATE,2,CASES
1951,7,HAWAII,HI,US,STATE,2,CASES
1951,9,HAWAII,HI,US,STATE,7,CASES
1951,10,HAWAII,HI,US,STATE,1,CASES
1951,11,HAWAII,HI,US,STATE,5,CASES
1951,12,HAWAII,HI,US,STATE,3,CASES
1951,13,HAWAII,HI,US,STATE,3,CASES
1951,14,HAWAII,HI,US,STATE,8,CASES
1951,15,HAWAII,HI,US,STATE,8,CASES
1951,16,HAWAII,HI,US,STATE,2,CASES
1951,17,HAWAII,HI,US,STATE,4,CASES
1951,18,HAWAII,HI,US,STATE,3,CASES
1951,19,HAWAII,HI,US,STATE,12,CASES
1951,20,HAWAII,HI,US,STATE,15,CASES
1951,21,HAWAII,HI,US,STATE,21,CASES
1951,22,HAWAII,HI,US,STATE,20,CASES
1951,23,HAWAII,HI,US,STATE,31,CASES
1951,24,HAWAII,HI,US,STATE,11,CASES
1951,25,HAWAII,HI,US,STATE,47,CASES
1951,26,HAWAII,HI,US,STATE,20,CASES
1951,27,HAWAII,HI,US,STATE,30,CASES
1951,28,HAWAII,HI,US,STATE,52,CASES
1951,29,HAWAII,HI,US,STATE,64,CASES
1951,30,HAWAII,HI,US,STATE,40,CASES
1951,31,HAWAII,HI,US,STATE,39,CASES
1951,32,HAWAII,HI,US,STATE,55,CASES
1951,33,HAWAII,HI,US,STATE,47,CASES
1951,34,HAWAII,HI,US,STATE,24,CASES
1951,35,HAWAII,HI,US,STATE,33,CASES
1951,36,HAWAII,HI,US,STATE,29,CASES
1951,37,HAWAII,HI,US,STATE,28,CASES
1951,38,HAWAII,HI,US,STATE,33,CASES
1951,39,HAWAII,HI,US,STATE,44,CASES
1951,40,HAWAII,HI,US,STATE,103,CASES
1951,41,HAWAII,HI,US,STATE,121,CASES
1951,42,HAWAII,HI,US,STATE,302,CASES
1951,43,HAWAII,HI,US,STATE,195,CASES
1951,44,HAWAII,HI,US,STATE,433,CASES
1951,45,HAWAII,HI,US,STATE,611,CASES
1951,46,HAWAII,HI,US,STATE,472,CASES
1951,47,HAWAII,HI,US,STATE,545,CASES
1951,48,HAWAII,HI,US,STATE,599,CASES
1951,49,HAWAII,HI,US,STATE,784,CASES
1954,1,HAWAII,HI,US,STATE,2,CASES
1954,2,HAWAII,HI,US,STATE,2,CASES
1954,3,HAWAII,HI,US,STATE,1,CASES
1954,4,HAWAII,HI,US,STATE,5,CASES
1954,5,HAWAII,HI,US,STATE,2,CASES
1954,6,HAWAII,HI,US,STATE,4,CASES
1954,7,HAWAII,HI,US,STATE,2,CASES
1954,8,HAWAII,HI,US,STATE,10,CASES
1954,9,HAWAII,HI,US,STATE,10,CASES
1954,10,HAWAII,HI,US,STATE,7,CASES
1954,11,HAWAII,HI,US,STATE,1,CASES
1954,12,HAWAII,HI,US,STATE,7,CASES
1954,14,HAWAII,HI,US,STATE,1,CASES
1954,15,HAWAII,HI,US,STATE,2,CASES
1954,16,HAWAII,HI,US,STATE,10,CASES
1954,17,HAWAII,HI,US,STATE,5,CASES
1954,18,HAWAII,HI,US,STATE,5,CASES
1954,19,HAWAII,HI,US,STATE,2,CASES
1954,20,HAWAII,HI,US,STATE,6,CASES
1954,21,HAWAII,HI,US,STATE,5,CASES
1954,22,HAWAII,HI,US,STATE,5,CASES
1954,23,HAWAII,HI,US,STATE,9,CASES
1954,24,HAWAII,HI,US,STATE,7,CASES
1954,25,HAWAII,HI,US,STATE,6,CASES
1954,26,HAWAII,HI,US,STATE,22,CASES
1954,27,HAWAII,HI,US,STATE,6,CASES
1954,28,HAWAII,HI,US,STATE,2,CASES
1954,29,HAWAII,HI,US,STATE,9,CASES
1954,30,HAWAII,HI,US,STATE,7,CASES
1954,31,HAWAII,HI,US,STATE,31,CASES
1954,32,HAWAII,HI,US,STATE,6,CASES
1954,33,HAWAII,HI,US,STATE,11,CASES
1954,34,HAWAII,HI,US,STATE,8,CASES
1954,35,HAWAII,HI,US,STATE,23,CASES
1954,36,HAWAII,HI,US,STATE,5,CASES
1954,37,HAWAII,HI,US,STATE,9,CASES
1954,38,HAWAII,HI,US,STATE,4,CASES
1954,39,HAWAII,HI,US,STATE,19,CASES
1954,40,HAWAII,HI,US,STATE,2,CASES
1954,41,HAWAII,HI,US,STATE,15,CASES
