year,week,loc,state,country,loc_type,number,event
1966,1,HAWAII,HI,US,STATE,1,CASES
1966,2,HAWAII,HI,US,STATE,4,CASES
1966,3,HAWAII,HI,US,STATE,5,CASES
1966,4,HAWAII,HI,US,STATE,1,CASES
1966,5,HAWAII,HI,US,STATE,2,CASES
1966,6,HAWAII,HI,US,STATE,9,CASES
1966,7,HAWAII,HI,US,STATE,2,CASES
1966,9,HAWAII,HI,US,STATE,6,CASES
1966,10,HAWAII,HI,US,STATE,2,CASES
1966,11,HAWAII,HI,US,STATE,4,CASES
1966,12,HAWAII,HI,US,STATE,5,CASES
1966,13,HAWAII,HI,US,STATE,8,CASES
1966,15,HAWAII,HI,US,STATE,3,CASES
1966,16,HAWAII,HI,US,STATE,6,CASES
1966,17,HAWAII,HI,US,STATE,7,CASES
1966,18,HAWAII,HI,US,STATE,5,CASES
1966,19,HAWAII,HI,US,STATE,2,CASES
1966,20,HAWAII,HI,US,STATE,7,CASES
1966,22,HAWAII,HI,US,STATE,2,CASES
1966,24,HAWAII,HI,US,STATE,6,CASES
1966,25,HAWAII,HI,US,STATE,7,CASES
1966,27,HAWAII,HI,US,STATE,6,CASES
1966,28,HAWAII,HI,US,STATE,2,CASES
1966,29,HAWAII,HI,US,STATE,2,CASES
1966,30,HAWAII,HI,US,STATE,3,CASES
1966,32,HAWAII,HI,US,STATE,2,CASES
1966,33,HAWAII,HI,US,STATE,1,CASES
1966,34,HAWAII,HI,US,STATE,4,CASES
1966,36,HAWAII,HI,US,STATE,2,CASES
1966,37,HAWAII,HI,US,STATE,1,CASES
1966,39,HAWAII,HI,US,STATE,2,CASES
1966,40,HAWAII,HI,US,STATE,5,CASES
1966,41,HAWAII,HI,US,STATE,1,CASES
1966,43,HAWAII,HI,US,STATE,1,CASES
1966,44,HAWAII,HI,US,STATE,1,CASES
1966,45,HAWAII,HI,US,STATE,3,CASES
1966,46,HAWAII,HI,US,STATE,1,CASES
1966,48,HAWAII,HI,US,STATE,1,CASES
1966,50,HAWAII,HI,US,STATE,1,CASES
1966,52,HAWAII,HI,US,STATE,3,CASES
1967,1,HAWAII,HI,US,STATE,2,CASES
1967,2,HAWAII,HI,US,STATE,3,CASES
1967,3,HAWAII,HI,US,STATE,210,CASES
1967,4,HAWAII,HI,US,STATE,3,CASES
1967,5,HAWAII,HI,US,STATE,5,CASES
1967,6,HAWAII,HI,US,STATE,24,CASES
1967,7,HAWAII,HI,US,STATE,4,CASES
1967,8,HAWAII,HI,US,STATE,13,CASES
1967,9,HAWAII,HI,US,STATE,10,CASES
1967,10,HAWAII,HI,US,STATE,10,CASES
1967,13,HAWAII,HI,US,STATE,7,CASES
1967,14,HAWAII,HI,US,STATE,8,CASES
1967,15,HAWAII,HI,US,STATE,80,CASES
1967,16,HAWAII,HI,US,STATE,13,CASES
1967,17,HAWAII,HI,US,STATE,10,CASES
1967,19,HAWAII,HI,US,STATE,31,CASES
1967,20,HAWAII,HI,US,STATE,14,CASES
1967,21,HAWAII,HI,US,STATE,13,CASES
1967,22,HAWAII,HI,US,STATE,12,CASES
1967,23,HAWAII,HI,US,STATE,2,CASES
1967,24,HAWAII,HI,US,STATE,10,CASES
1967,25,HAWAII,HI,US,STATE,9,CASES
1967,27,HAWAII,HI,US,STATE,3,CASES
1967,28,HAWAII,HI,US,STATE,4,CASES
1967,30,HAWAII,HI,US,STATE,7,CASES
1967,32,HAWAII,HI,US,STATE,9,CASES
1967,33,HAWAII,HI,US,STATE,1,CASES
1967,34,HAWAII,HI,US,STATE,1,CASES
1967,35,HAWAII,HI,US,STATE,1,CASES
1967,36,HAWAII,HI,US,STATE,2,CASES
1967,38,HAWAII,HI,US,STATE,2,CASES
1967,39,HAWAII,HI,US,STATE,7,CASES
1967,40,HAWAII,HI,US,STATE,8,CASES
1967,41,HAWAII,HI,US,STATE,1,CASES
1967,42,HAWAII,HI,US,STATE,1,CASES
1967,44,HAWAII,HI,US,STATE,6,CASES
1967,45,HAWAII,HI,US,STATE,1,CASES
1967,46,HAWAII,HI,US,STATE,7,CASES
1967,48,HAWAII,HI,US,STATE,2,CASES
1967,49,HAWAII,HI,US,STATE,2,CASES
1968,1,HAWAII,HI,US,STATE,2,CASES
1968,2,HAWAII,HI,US,STATE,3,CASES
1968,4,HAWAII,HI,US,STATE,3,CASES
1968,5,HAWAII,HI,US,STATE,3,CASES
1968,6,HAWAII,HI,US,STATE,26,CASES
1968,7,HAWAII,HI,US,STATE,4,CASES
1968,8,HAWAII,HI,US,STATE,2,CASES
1968,9,HAWAII,HI,US,STATE,10,CASES
1968,10,HAWAII,HI,US,STATE,8,CASES
1968,11,HAWAII,HI,US,STATE,6,CASES
1968,12,HAWAII,HI,US,STATE,18,CASES
1968,13,HAWAII,HI,US,STATE,8,CASES
1968,14,HAWAII,HI,US,STATE,26,CASES
