year,week,loc,state,country,loc_type,number,event
1972,1,IOWA,IA,US,STATE,176,CASES
1972,3,IOWA,IA,US,STATE,250,CASES
1972,4,IOWA,IA,US,STATE,326,CASES
1972,5,IOWA,IA,US,STATE,458,CASES
1972,6,IOWA,IA,US,STATE,277,CASES
1972,7,IOWA,IA,US,STATE,174,CASES
1972,8,IOWA,IA,US,STATE,392,CASES
1972,9,IOWA,IA,US,STATE,285,CASES
1972,10,IOWA,IA,US,STATE,253,CASES
1972,11,IOWA,IA,US,STATE,303,CASES
1972,12,IOWA,IA,US,STATE,332,CASES
1972,13,IOWA,IA,US,STATE,278,CASES
1972,14,IOWA,IA,US,STATE,247,CASES
1972,15,IOWA,IA,US,STATE,275,CASES
1972,16,IOWA,IA,US,STATE,495,CASES
1972,17,IOWA,IA,US,STATE,223,CASES
1972,18,IOWA,IA,US,STATE,312,CASES
1972,19,IOWA,IA,US,STATE,140,CASES
1972,20,IOWA,IA,US,STATE,241,CASES
1972,21,IOWA,IA,US,STATE,195,CASES
1972,23,IOWA,IA,US,STATE,111,CASES
1972,24,IOWA,IA,US,STATE,32,CASES
1972,25,IOWA,IA,US,STATE,29,CASES
1972,26,IOWA,IA,US,STATE,2,CASES
1972,27,IOWA,IA,US,STATE,11,CASES
1972,28,IOWA,IA,US,STATE,7,CASES
1972,29,IOWA,IA,US,STATE,9,CASES
1972,30,IOWA,IA,US,STATE,7,CASES
1972,31,IOWA,IA,US,STATE,6,CASES
1972,32,IOWA,IA,US,STATE,3,CASES
1972,33,IOWA,IA,US,STATE,5,CASES
1972,36,IOWA,IA,US,STATE,18,CASES
1972,37,IOWA,IA,US,STATE,14,CASES
1972,38,IOWA,IA,US,STATE,29,CASES
1972,39,IOWA,IA,US,STATE,19,CASES
1972,40,IOWA,IA,US,STATE,40,CASES
1972,41,IOWA,IA,US,STATE,42,CASES
1972,42,IOWA,IA,US,STATE,39,CASES
1972,43,IOWA,IA,US,STATE,114,CASES
1972,44,IOWA,IA,US,STATE,117,CASES
1972,45,IOWA,IA,US,STATE,145,CASES
1972,46,IOWA,IA,US,STATE,296,CASES
1972,47,IOWA,IA,US,STATE,286,CASES
1972,48,IOWA,IA,US,STATE,251,CASES
1972,49,IOWA,IA,US,STATE,540,CASES
1972,50,IOWA,IA,US,STATE,306,CASES
1972,51,IOWA,IA,US,STATE,291,CASES
1973,1,IOWA,IA,US,STATE,159,CASES
1973,3,IOWA,IA,US,STATE,686,CASES
1973,4,IOWA,IA,US,STATE,457,CASES
1973,5,IOWA,IA,US,STATE,390,CASES
1973,6,IOWA,IA,US,STATE,645,CASES
1973,7,IOWA,IA,US,STATE,649,CASES
1973,8,IOWA,IA,US,STATE,485,CASES
1973,9,IOWA,IA,US,STATE,865,CASES
1973,10,IOWA,IA,US,STATE,548,CASES
1973,11,IOWA,IA,US,STATE,924,CASES
1973,12,IOWA,IA,US,STATE,537,CASES
1973,13,IOWA,IA,US,STATE,612,CASES
1973,15,IOWA,IA,US,STATE,588,CASES
1973,16,IOWA,IA,US,STATE,323,CASES
1973,17,IOWA,IA,US,STATE,227,CASES
1973,18,IOWA,IA,US,STATE,277,CASES
1973,19,IOWA,IA,US,STATE,374,CASES
1973,20,IOWA,IA,US,STATE,312,CASES
1973,21,IOWA,IA,US,STATE,272,CASES
1973,22,IOWA,IA,US,STATE,232,CASES
1973,23,IOWA,IA,US,STATE,128,CASES
1973,24,IOWA,IA,US,STATE,60,CASES
1973,25,IOWA,IA,US,STATE,35,CASES
1973,26,IOWA,IA,US,STATE,16,CASES
1973,27,IOWA,IA,US,STATE,9,CASES
1973,28,IOWA,IA,US,STATE,14,CASES
1973,29,IOWA,IA,US,STATE,14,CASES
1973,30,IOWA,IA,US,STATE,4,CASES
1973,31,IOWA,IA,US,STATE,4,CASES
1973,32,IOWA,IA,US,STATE,4,CASES
1973,33,IOWA,IA,US,STATE,2,CASES
1973,34,IOWA,IA,US,STATE,4,CASES
1973,36,IOWA,IA,US,STATE,10,CASES
1973,37,IOWA,IA,US,STATE,18,CASES
1973,38,IOWA,IA,US,STATE,12,CASES
1973,39,IOWA,IA,US,STATE,26,CASES
1973,40,IOWA,IA,US,STATE,27,CASES
1973,41,IOWA,IA,US,STATE,73,CASES
1973,42,IOWA,IA,US,STATE,90,CASES
1973,43,IOWA,IA,US,STATE,113,CASES
1973,44,IOWA,IA,US,STATE,97,CASES
1973,45,IOWA,IA,US,STATE,60,CASES
1973,46,IOWA,IA,US,STATE,111,CASES
1973,47,IOWA,IA,US,STATE,104,CASES
1973,48,IOWA,IA,US,STATE,172,CASES
1973,49,IOWA,IA,US,STATE,209,CASES
1973,50,IOWA,IA,US,STATE,184,CASES
1973,51,IOWA,IA,US,STATE,228,CASES
