year,week,loc,state,country,loc_type,number,event
1937,44,IOWA,IA,US,STATE,59,CASES
1937,45,IOWA,IA,US,STATE,34,CASES
1937,46,IOWA,IA,US,STATE,30,CASES
1937,47,IOWA,IA,US,STATE,33,CASES
1937,48,IOWA,IA,US,STATE,34,CASES
1937,49,IOWA,IA,US,STATE,31,CASES
1937,50,IOWA,IA,US,STATE,28,CASES
1937,51,IOWA,IA,US,STATE,22,CASES
1938,1,IOWA,IA,US,STATE,32,CASES
1938,2,IOWA,IA,US,STATE,32,CASES
1938,3,IOWA,IA,US,STATE,42,CASES
1938,4,IOWA,IA,US,STATE,47,CASES
1938,5,IOWA,IA,US,STATE,42,CASES
1938,6,IOWA,IA,US,STATE,17,CASES
1938,7,IOWA,IA,US,STATE,34,CASES
1938,8,IOWA,IA,US,STATE,24,CASES
1938,9,IOWA,IA,US,STATE,35,CASES
1938,10,IOWA,IA,US,STATE,25,CASES
1938,11,IOWA,IA,US,STATE,23,CASES
1938,12,IOWA,IA,US,STATE,27,CASES
1938,13,IOWA,IA,US,STATE,28,CASES
1938,14,IOWA,IA,US,STATE,20,CASES
1938,15,IOWA,IA,US,STATE,27,CASES
1938,16,IOWA,IA,US,STATE,19,CASES
1938,17,IOWA,IA,US,STATE,28,CASES
1938,18,IOWA,IA,US,STATE,31,CASES
1938,19,IOWA,IA,US,STATE,28,CASES
1938,20,IOWA,IA,US,STATE,34,CASES
1938,21,IOWA,IA,US,STATE,37,CASES
1938,22,IOWA,IA,US,STATE,34,CASES
1938,23,IOWA,IA,US,STATE,37,CASES
1938,24,IOWA,IA,US,STATE,24,CASES
1938,25,IOWA,IA,US,STATE,29,CASES
1938,26,IOWA,IA,US,STATE,39,CASES
1938,27,IOWA,IA,US,STATE,22,CASES
1938,28,IOWA,IA,US,STATE,55,CASES
1938,29,IOWA,IA,US,STATE,31,CASES
1938,30,IOWA,IA,US,STATE,37,CASES
1938,31,IOWA,IA,US,STATE,49,CASES
1938,32,IOWA,IA,US,STATE,55,CASES
1938,33,IOWA,IA,US,STATE,25,CASES
1938,34,IOWA,IA,US,STATE,98,CASES
1938,35,IOWA,IA,US,STATE,53,CASES
1938,36,IOWA,IA,US,STATE,33,CASES
1938,37,IOWA,IA,US,STATE,45,CASES
1938,38,IOWA,IA,US,STATE,18,CASES
1938,39,IOWA,IA,US,STATE,16,CASES
1938,40,IOWA,IA,US,STATE,45,CASES
1938,41,IOWA,IA,US,STATE,13,CASES
1938,42,IOWA,IA,US,STATE,25,CASES
1938,43,IOWA,IA,US,STATE,9,CASES
1938,44,IOWA,IA,US,STATE,41,CASES
1938,45,IOWA,IA,US,STATE,22,CASES
1938,46,IOWA,IA,US,STATE,59,CASES
1938,47,IOWA,IA,US,STATE,59,CASES
1938,48,IOWA,IA,US,STATE,53,CASES
1938,49,IOWA,IA,US,STATE,25,CASES
1938,50,IOWA,IA,US,STATE,20,CASES
1938,51,IOWA,IA,US,STATE,22,CASES
1938,52,IOWA,IA,US,STATE,18,CASES
1939,1,IOWA,IA,US,STATE,12,CASES
1939,2,IOWA,IA,US,STATE,24,CASES
1939,3,IOWA,IA,US,STATE,43,CASES
1939,4,IOWA,IA,US,STATE,43,CASES
1939,5,IOWA,IA,US,STATE,19,CASES
1939,6,IOWA,IA,US,STATE,25,CASES
1939,7,IOWA,IA,US,STATE,14,CASES
1939,8,IOWA,IA,US,STATE,24,CASES
1939,9,IOWA,IA,US,STATE,19,CASES
1939,10,IOWA,IA,US,STATE,18,CASES
1939,11,IOWA,IA,US,STATE,7,CASES
1939,12,IOWA,IA,US,STATE,14,CASES
1939,13,IOWA,IA,US,STATE,12,CASES
1939,14,IOWA,IA,US,STATE,10,CASES
1939,15,IOWA,IA,US,STATE,17,CASES
1939,16,IOWA,IA,US,STATE,18,CASES
1939,17,IOWA,IA,US,STATE,30,CASES
1939,18,IOWA,IA,US,STATE,10,CASES
1939,19,IOWA,IA,US,STATE,38,CASES
1939,20,IOWA,IA,US,STATE,53,CASES
1939,21,IOWA,IA,US,STATE,23,CASES
1939,22,IOWA,IA,US,STATE,25,CASES
1939,23,IOWA,IA,US,STATE,26,CASES
1939,24,IOWA,IA,US,STATE,57,CASES
1939,25,IOWA,IA,US,STATE,19,CASES
1939,26,IOWA,IA,US,STATE,50,CASES
1939,27,IOWA,IA,US,STATE,55,CASES
1939,28,IOWA,IA,US,STATE,34,CASES
1939,29,IOWA,IA,US,STATE,33,CASES
1939,30,IOWA,IA,US,STATE,20,CASES
