year,week,loc,state,country,loc_type,number,event
1927,48,IOWA,IA,US,STATE,19,CASES
1927,49,IOWA,IA,US,STATE,14,CASES
1927,51,IOWA,IA,US,STATE,22,CASES
1927,52,IOWA,IA,US,STATE,15,CASES
1928,1,IOWA,IA,US,STATE,14,CASES
1928,4,IOWA,IA,US,STATE,32,CASES
1928,5,IOWA,IA,US,STATE,30,CASES
1928,6,IOWA,IA,US,STATE,24,CASES
1928,7,IOWA,IA,US,STATE,14,CASES
1928,8,IOWA,IA,US,STATE,13,CASES
1928,9,IOWA,IA,US,STATE,10,CASES
1928,10,IOWA,IA,US,STATE,10,CASES
1928,11,IOWA,IA,US,STATE,12,CASES
1928,12,IOWA,IA,US,STATE,11,CASES
1928,13,IOWA,IA,US,STATE,16,CASES
1928,14,IOWA,IA,US,STATE,14,CASES
1928,15,IOWA,IA,US,STATE,9,CASES
1928,16,IOWA,IA,US,STATE,7,CASES
1928,17,IOWA,IA,US,STATE,5,CASES
1928,19,IOWA,IA,US,STATE,4,CASES
1928,21,IOWA,IA,US,STATE,10,CASES
1928,22,IOWA,IA,US,STATE,4,CASES
1928,23,IOWA,IA,US,STATE,11,CASES
1928,24,IOWA,IA,US,STATE,5,CASES
1928,25,IOWA,IA,US,STATE,3,CASES
1928,26,IOWA,IA,US,STATE,4,CASES
1928,27,IOWA,IA,US,STATE,5,CASES
1928,28,IOWA,IA,US,STATE,2,CASES
1928,29,IOWA,IA,US,STATE,1,CASES
1928,30,IOWA,IA,US,STATE,3,CASES
1928,31,IOWA,IA,US,STATE,9,CASES
1928,32,IOWA,IA,US,STATE,5,CASES
1928,33,IOWA,IA,US,STATE,8,CASES
1928,35,IOWA,IA,US,STATE,3,CASES
1928,36,IOWA,IA,US,STATE,3,CASES
1928,37,IOWA,IA,US,STATE,6,CASES
1928,38,IOWA,IA,US,STATE,9,CASES
1928,39,IOWA,IA,US,STATE,12,CASES
1928,40,IOWA,IA,US,STATE,15,CASES
1928,41,IOWA,IA,US,STATE,17,CASES
1928,42,IOWA,IA,US,STATE,13,CASES
1928,43,IOWA,IA,US,STATE,15,CASES
