year,week,loc,state,country,loc_type,number,event
1932,45,IDAHO,ID,US,STATE,0,CASES
1937,43,IDAHO,ID,US,STATE,3,CASES
1937,44,IDAHO,ID,US,STATE,2,CASES
1937,45,IDAHO,ID,US,STATE,11,CASES
1937,46,IDAHO,ID,US,STATE,22,CASES
1937,47,IDAHO,ID,US,STATE,16,CASES
1937,48,IDAHO,ID,US,STATE,9,CASES
1937,49,IDAHO,ID,US,STATE,13,CASES
1937,50,IDAHO,ID,US,STATE,6,CASES
1937,51,IDAHO,ID,US,STATE,13,CASES
1937,52,IDAHO,ID,US,STATE,60,CASES
1938,1,IDAHO,ID,US,STATE,32,CASES
1938,2,IDAHO,ID,US,STATE,11,CASES
1938,3,IDAHO,ID,US,STATE,40,CASES
1938,4,IDAHO,ID,US,STATE,50,CASES
1938,5,IDAHO,ID,US,STATE,19,CASES
1938,6,IDAHO,ID,US,STATE,8,CASES
1938,7,IDAHO,ID,US,STATE,14,CASES
1938,8,IDAHO,ID,US,STATE,12,CASES
1938,9,IDAHO,ID,US,STATE,9,CASES
1938,10,IDAHO,ID,US,STATE,13,CASES
1938,11,IDAHO,ID,US,STATE,28,CASES
1938,12,IDAHO,ID,US,STATE,27,CASES
1938,13,IDAHO,ID,US,STATE,14,CASES
1938,14,IDAHO,ID,US,STATE,11,CASES
1938,15,IDAHO,ID,US,STATE,18,CASES
1938,16,IDAHO,ID,US,STATE,5,CASES
1938,17,IDAHO,ID,US,STATE,10,CASES
1938,18,IDAHO,ID,US,STATE,12,CASES
1938,19,IDAHO,ID,US,STATE,10,CASES
1938,20,IDAHO,ID,US,STATE,4,CASES
1938,21,IDAHO,ID,US,STATE,7,CASES
1938,22,IDAHO,ID,US,STATE,5,CASES
1938,23,IDAHO,ID,US,STATE,4,CASES
1938,24,IDAHO,ID,US,STATE,7,CASES
1938,25,IDAHO,ID,US,STATE,74,CASES
1938,26,IDAHO,ID,US,STATE,53,CASES
1938,28,IDAHO,ID,US,STATE,21,CASES
1938,29,IDAHO,ID,US,STATE,63,CASES
1938,30,IDAHO,ID,US,STATE,85,CASES
1938,31,IDAHO,ID,US,STATE,42,CASES
1938,32,IDAHO,ID,US,STATE,21,CASES
1938,33,IDAHO,ID,US,STATE,21,CASES
1938,34,IDAHO,ID,US,STATE,74,CASES
1938,35,IDAHO,ID,US,STATE,32,CASES
1938,36,IDAHO,ID,US,STATE,42,CASES
1938,37,IDAHO,ID,US,STATE,32,CASES
1938,38,IDAHO,ID,US,STATE,3,CASES
1938,39,IDAHO,ID,US,STATE,6,CASES
1938,40,IDAHO,ID,US,STATE,32,CASES
1938,41,IDAHO,ID,US,STATE,5,CASES
1938,42,IDAHO,ID,US,STATE,11,CASES
1938,43,IDAHO,ID,US,STATE,1,CASES
1938,44,IDAHO,ID,US,STATE,11,CASES
1938,45,IDAHO,ID,US,STATE,4,CASES
1938,46,IDAHO,ID,US,STATE,21,CASES
1938,47,IDAHO,ID,US,STATE,11,CASES
1938,48,IDAHO,ID,US,STATE,0,CASES
1938,49,IDAHO,ID,US,STATE,0,CASES
1938,50,IDAHO,ID,US,STATE,0,CASES
1938,51,IDAHO,ID,US,STATE,4,CASES
1938,52,IDAHO,ID,US,STATE,2,CASES
1939,1,IDAHO,ID,US,STATE,41,CASES
1939,2,IDAHO,ID,US,STATE,20,CASES
1939,3,IDAHO,ID,US,STATE,51,CASES
1939,4,IDAHO,ID,US,STATE,20,CASES
1939,5,IDAHO,ID,US,STATE,3,CASES
1939,6,IDAHO,ID,US,STATE,1,CASES
1939,7,IDAHO,ID,US,STATE,1,CASES
1939,8,IDAHO,ID,US,STATE,2,CASES
1939,9,IDAHO,ID,US,STATE,0,CASES
1939,10,IDAHO,ID,US,STATE,2,CASES
1939,11,IDAHO,ID,US,STATE,3,CASES
1939,12,IDAHO,ID,US,STATE,1,CASES
1939,13,IDAHO,ID,US,STATE,4,CASES
1939,14,IDAHO,ID,US,STATE,2,CASES
1939,15,IDAHO,ID,US,STATE,4,CASES
1939,16,IDAHO,ID,US,STATE,122,CASES
1939,17,IDAHO,ID,US,STATE,41,CASES
1939,18,IDAHO,ID,US,STATE,0,CASES
1939,19,IDAHO,ID,US,STATE,51,CASES
1939,20,IDAHO,ID,US,STATE,71,CASES
1939,21,IDAHO,ID,US,STATE,2,CASES
1939,22,IDAHO,ID,US,STATE,7,CASES
1939,23,IDAHO,ID,US,STATE,2,CASES
1939,24,IDAHO,ID,US,STATE,51,CASES
1939,25,IDAHO,ID,US,STATE,1,CASES
1939,26,IDAHO,ID,US,STATE,6,CASES
1939,27,IDAHO,ID,US,STATE,122,CASES
1939,28,IDAHO,ID,US,STATE,0,CASES
1939,29,IDAHO,ID,US,STATE,3,CASES
1939,30,IDAHO,ID,US,STATE,0,CASES
1939,31,IDAHO,ID,US,STATE,4,CASES
1939,32,IDAHO,ID,US,STATE,31,CASES
1939,33,IDAHO,ID,US,STATE,1,CASES
1939,34,IDAHO,ID,US,STATE,3,CASES
1939,35,IDAHO,ID,US,STATE,1,CASES
1939,36,IDAHO,ID,US,STATE,41,CASES
1939,37,IDAHO,ID,US,STATE,0,CASES
1939,38,IDAHO,ID,US,STATE,20,CASES
1939,39,IDAHO,ID,US,STATE,0,CASES
1939,40,IDAHO,ID,US,STATE,20,CASES
1939,41,IDAHO,ID,US,STATE,31,CASES
1939,42,IDAHO,ID,US,STATE,0,CASES
1939,43,IDAHO,ID,US,STATE,20,CASES
1939,44,IDAHO,ID,US,STATE,1,CASES
1939,45,IDAHO,ID,US,STATE,0,CASES
