year,week,loc,state,country,loc_type,number,event
1920,1,IDAHO,ID,US,STATE,89,CASES
1920,2,IDAHO,ID,US,STATE,270,CASES
1928,44,IDAHO,ID,US,STATE,1,CASES
1928,47,IDAHO,ID,US,STATE,14,CASES
1928,48,IDAHO,ID,US,STATE,11,CASES
1928,49,IDAHO,ID,US,STATE,7,CASES
1928,50,IDAHO,ID,US,STATE,79,CASES
1928,51,IDAHO,ID,US,STATE,11,CASES
1928,52,IDAHO,ID,US,STATE,34,CASES
1929,1,IDAHO,ID,US,STATE,25,CASES
1929,2,IDAHO,ID,US,STATE,9,CASES
1929,3,IDAHO,ID,US,STATE,10,CASES
1929,7,IDAHO,ID,US,STATE,4,CASES
1929,8,IDAHO,ID,US,STATE,3,CASES
1929,9,IDAHO,ID,US,STATE,1,CASES
1929,10,IDAHO,ID,US,STATE,1,CASES
1929,11,IDAHO,ID,US,STATE,10,CASES
1929,12,IDAHO,ID,US,STATE,6,CASES
1929,13,IDAHO,ID,US,STATE,2,CASES
1929,14,IDAHO,ID,US,STATE,2,CASES
1929,15,IDAHO,ID,US,STATE,6,CASES
1929,18,IDAHO,ID,US,STATE,4,CASES
1929,20,IDAHO,ID,US,STATE,15,CASES
1929,24,IDAHO,ID,US,STATE,4,CASES
1929,27,IDAHO,ID,US,STATE,2,CASES
1929,28,IDAHO,ID,US,STATE,2,CASES
1929,29,IDAHO,ID,US,STATE,2,CASES
1930,33,IDAHO,ID,US,STATE,1,CASES
1930,53,IDAHO,ID,US,STATE,1,CASES
1931,2,IDAHO,ID,US,STATE,1,CASES
1931,4,IDAHO,ID,US,STATE,5,CASES
1931,5,IDAHO,ID,US,STATE,3,CASES
1931,6,IDAHO,ID,US,STATE,3,CASES
1931,8,IDAHO,ID,US,STATE,4,CASES
1931,11,IDAHO,ID,US,STATE,2,CASES
1931,12,IDAHO,ID,US,STATE,2,CASES
1931,13,IDAHO,ID,US,STATE,18,CASES
1931,14,IDAHO,ID,US,STATE,4,CASES
1931,15,IDAHO,ID,US,STATE,2,CASES
1931,16,IDAHO,ID,US,STATE,23,CASES
1931,17,IDAHO,ID,US,STATE,6,CASES
1932,1,IDAHO,ID,US,STATE,2,CASES
1932,7,IDAHO,ID,US,STATE,3,CASES
1932,8,IDAHO,ID,US,STATE,1,CASES
1932,9,IDAHO,ID,US,STATE,1,CASES
1932,10,IDAHO,ID,US,STATE,2,CASES
1932,11,IDAHO,ID,US,STATE,2,CASES
1932,12,IDAHO,ID,US,STATE,2,CASES
1932,13,IDAHO,ID,US,STATE,1,CASES
1932,14,IDAHO,ID,US,STATE,3,CASES
1932,15,IDAHO,ID,US,STATE,3,CASES
1932,17,IDAHO,ID,US,STATE,2,CASES
1932,21,IDAHO,ID,US,STATE,2,CASES
1932,23,IDAHO,ID,US,STATE,1,CASES
1932,24,IDAHO,ID,US,STATE,1,CASES
1932,25,IDAHO,ID,US,STATE,1,CASES
1932,46,IDAHO,ID,US,STATE,12,CASES
1932,47,IDAHO,ID,US,STATE,28,CASES
1932,48,IDAHO,ID,US,STATE,19,CASES
1932,49,IDAHO,ID,US,STATE,4,CASES
