year,week,loc,state,country,loc_type,number,event
1966,1,IDAHO,ID,US,STATE,1,CASES
1966,2,IDAHO,ID,US,STATE,3,CASES
1966,4,IDAHO,ID,US,STATE,1,CASES
1966,6,IDAHO,ID,US,STATE,56,CASES
1966,7,IDAHO,ID,US,STATE,8,CASES
1966,8,IDAHO,ID,US,STATE,8,CASES
1966,10,IDAHO,ID,US,STATE,12,CASES
1966,11,IDAHO,ID,US,STATE,5,CASES
1966,12,IDAHO,ID,US,STATE,11,CASES
1966,13,IDAHO,ID,US,STATE,16,CASES
1966,15,IDAHO,ID,US,STATE,2,CASES
1966,16,IDAHO,ID,US,STATE,3,CASES
1966,19,IDAHO,ID,US,STATE,2,CASES
1966,20,IDAHO,ID,US,STATE,1,CASES
1966,21,IDAHO,ID,US,STATE,6,CASES
1966,22,IDAHO,ID,US,STATE,1,CASES
1966,24,IDAHO,ID,US,STATE,3,CASES
1966,28,IDAHO,ID,US,STATE,3,CASES
1966,31,IDAHO,ID,US,STATE,1,CASES
1966,33,IDAHO,ID,US,STATE,1,CASES
1966,34,IDAHO,ID,US,STATE,1,CASES
1966,37,IDAHO,ID,US,STATE,1,CASES
1966,39,IDAHO,ID,US,STATE,1,CASES
1966,42,IDAHO,ID,US,STATE,2,CASES
1966,44,IDAHO,ID,US,STATE,2,CASES
1966,47,IDAHO,ID,US,STATE,7,CASES
1967,2,IDAHO,ID,US,STATE,37,CASES
1967,6,IDAHO,ID,US,STATE,4,CASES
1967,8,IDAHO,ID,US,STATE,1,CASES
1967,13,IDAHO,ID,US,STATE,6,CASES
1967,14,IDAHO,ID,US,STATE,3,CASES
1967,15,IDAHO,ID,US,STATE,4,CASES
1967,17,IDAHO,ID,US,STATE,2,CASES
1967,22,IDAHO,ID,US,STATE,2,CASES
1967,24,IDAHO,ID,US,STATE,6,CASES
1967,29,IDAHO,ID,US,STATE,1,CASES
1967,50,IDAHO,ID,US,STATE,1,CASES
1967,51,IDAHO,ID,US,STATE,3,CASES
1968,3,IDAHO,ID,US,STATE,58,CASES
1968,6,IDAHO,ID,US,STATE,2,CASES
1968,8,IDAHO,ID,US,STATE,1,CASES
1968,10,IDAHO,ID,US,STATE,3,CASES
1968,11,IDAHO,ID,US,STATE,4,CASES
1968,13,IDAHO,ID,US,STATE,1,CASES
1968,14,IDAHO,ID,US,STATE,2,CASES
1968,16,IDAHO,ID,US,STATE,3,CASES
1968,17,IDAHO,ID,US,STATE,1,CASES
1968,18,IDAHO,ID,US,STATE,1,CASES
1968,19,IDAHO,ID,US,STATE,2,CASES
1968,22,IDAHO,ID,US,STATE,10,CASES
1968,23,IDAHO,ID,US,STATE,3,CASES
1968,24,IDAHO,ID,US,STATE,2,CASES
1968,26,IDAHO,ID,US,STATE,4,CASES
1968,29,IDAHO,ID,US,STATE,1,CASES
1968,30,IDAHO,ID,US,STATE,3,CASES
1968,35,IDAHO,ID,US,STATE,2,CASES
1968,36,IDAHO,ID,US,STATE,6,CASES
1968,37,IDAHO,ID,US,STATE,2,CASES
1968,38,IDAHO,ID,US,STATE,1,CASES
1968,39,IDAHO,ID,US,STATE,3,CASES
