year,week,loc,state,country,loc_type,number,event
1927,47,IDAHO,ID,US,STATE,17,CASES
1927,48,IDAHO,ID,US,STATE,21,CASES
1927,49,IDAHO,ID,US,STATE,8,CASES
1927,51,IDAHO,ID,US,STATE,9,CASES
1927,52,IDAHO,ID,US,STATE,7,CASES
1928,1,IDAHO,ID,US,STATE,4,CASES
1928,2,IDAHO,ID,US,STATE,25,CASES
1928,3,IDAHO,ID,US,STATE,27,CASES
1928,4,IDAHO,ID,US,STATE,6,CASES
1928,5,IDAHO,ID,US,STATE,4,CASES
1928,7,IDAHO,ID,US,STATE,5,CASES
1928,8,IDAHO,ID,US,STATE,9,CASES
1928,9,IDAHO,ID,US,STATE,5,CASES
1928,10,IDAHO,ID,US,STATE,9,CASES
1928,11,IDAHO,ID,US,STATE,7,CASES
1928,12,IDAHO,ID,US,STATE,10,CASES
1928,13,IDAHO,ID,US,STATE,6,CASES
1928,14,IDAHO,ID,US,STATE,11,CASES
1928,15,IDAHO,ID,US,STATE,6,CASES
1928,16,IDAHO,ID,US,STATE,8,CASES
1928,17,IDAHO,ID,US,STATE,9,CASES
1928,18,IDAHO,ID,US,STATE,7,CASES
1928,19,IDAHO,ID,US,STATE,4,CASES
1928,20,IDAHO,ID,US,STATE,6,CASES
1928,21,IDAHO,ID,US,STATE,6,CASES
1928,22,IDAHO,ID,US,STATE,4,CASES
1928,23,IDAHO,ID,US,STATE,1,CASES
1928,24,IDAHO,ID,US,STATE,2,CASES
1928,25,IDAHO,ID,US,STATE,2,CASES
1928,26,IDAHO,ID,US,STATE,2,CASES
1928,27,IDAHO,ID,US,STATE,4,CASES
1928,28,IDAHO,ID,US,STATE,1,CASES
1928,29,IDAHO,ID,US,STATE,0,CASES
1928,30,IDAHO,ID,US,STATE,0,CASES
1928,31,IDAHO,ID,US,STATE,1,CASES
1928,32,IDAHO,ID,US,STATE,1,CASES
1928,33,IDAHO,ID,US,STATE,3,CASES
1928,34,IDAHO,ID,US,STATE,2,CASES
1928,35,IDAHO,ID,US,STATE,0,CASES
1928,36,IDAHO,ID,US,STATE,2,CASES
