year,week,loc,state,country,loc_type,number,event
1972,5,ILLINOIS,IL,US,STATE,226,CASES
1972,6,ILLINOIS,IL,US,STATE,153,CASES
1972,9,ILLINOIS,IL,US,STATE,219,CASES
1972,13,ILLINOIS,IL,US,STATE,264,CASES
1972,15,ILLINOIS,IL,US,STATE,288,CASES
1972,16,ILLINOIS,IL,US,STATE,249,CASES
1972,17,ILLINOIS,IL,US,STATE,292,CASES
1972,18,ILLINOIS,IL,US,STATE,344,CASES
1972,19,ILLINOIS,IL,US,STATE,308,CASES
1972,20,ILLINOIS,IL,US,STATE,415,CASES
1972,24,ILLINOIS,IL,US,STATE,219,CASES
1973,24,ILLINOIS,IL,US,STATE,312,CASES
1975,19,ILLINOIS,IL,US,STATE,306,CASES
1975,20,ILLINOIS,IL,US,STATE,226,CASES
1975,21,ILLINOIS,IL,US,STATE,487,CASES
1975,22,ILLINOIS,IL,US,STATE,308,CASES
1975,23,ILLINOIS,IL,US,STATE,330,CASES
1975,24,ILLINOIS,IL,US,STATE,381,CASES
1975,25,ILLINOIS,IL,US,STATE,271,CASES
1975,26,ILLINOIS,IL,US,STATE,113,CASES
1975,28,ILLINOIS,IL,US,STATE,42,CASES
1975,29,ILLINOIS,IL,US,STATE,49,CASES
1975,30,ILLINOIS,IL,US,STATE,17,CASES
1975,31,ILLINOIS,IL,US,STATE,21,CASES
1975,32,ILLINOIS,IL,US,STATE,9,CASES
1975,33,ILLINOIS,IL,US,STATE,11,CASES
1975,34,ILLINOIS,IL,US,STATE,9,CASES
1975,35,ILLINOIS,IL,US,STATE,9,CASES
1975,36,ILLINOIS,IL,US,STATE,6,CASES
1975,37,ILLINOIS,IL,US,STATE,27,CASES
1975,38,ILLINOIS,IL,US,STATE,8,CASES
1975,39,ILLINOIS,IL,US,STATE,10,CASES
1975,40,ILLINOIS,IL,US,STATE,16,CASES
1975,41,ILLINOIS,IL,US,STATE,35,CASES
1975,42,ILLINOIS,IL,US,STATE,23,CASES
1975,43,ILLINOIS,IL,US,STATE,29,CASES
1975,44,ILLINOIS,IL,US,STATE,137,CASES
1975,45,ILLINOIS,IL,US,STATE,106,CASES
1975,46,ILLINOIS,IL,US,STATE,133,CASES
1975,47,ILLINOIS,IL,US,STATE,104,CASES
1975,48,ILLINOIS,IL,US,STATE,163,CASES
1975,49,ILLINOIS,IL,US,STATE,106,CASES
1975,50,ILLINOIS,IL,US,STATE,133,CASES
1975,51,ILLINOIS,IL,US,STATE,285,CASES
1975,52,ILLINOIS,IL,US,STATE,163,CASES
1976,1,ILLINOIS,IL,US,STATE,109,CASES
1976,2,ILLINOIS,IL,US,STATE,305,CASES
1976,3,ILLINOIS,IL,US,STATE,343,CASES
1976,4,ILLINOIS,IL,US,STATE,298,CASES
1976,5,ILLINOIS,IL,US,STATE,369,CASES
1976,6,ILLINOIS,IL,US,STATE,572,CASES
1976,7,ILLINOIS,IL,US,STATE,376,CASES
1976,8,ILLINOIS,IL,US,STATE,500,CASES
1976,9,ILLINOIS,IL,US,STATE,416,CASES
1976,10,ILLINOIS,IL,US,STATE,585,CASES
1976,11,ILLINOIS,IL,US,STATE,590,CASES
1976,12,ILLINOIS,IL,US,STATE,385,CASES
1976,13,ILLINOIS,IL,US,STATE,591,CASES
1976,14,ILLINOIS,IL,US,STATE,727,CASES
1976,15,ILLINOIS,IL,US,STATE,625,CASES
1976,16,ILLINOIS,IL,US,STATE,748,CASES
1976,17,ILLINOIS,IL,US,STATE,398,CASES
1976,19,ILLINOIS,IL,US,STATE,779,CASES
1976,20,ILLINOIS,IL,US,STATE,605,CASES
1976,21,ILLINOIS,IL,US,STATE,352,CASES
1976,22,ILLINOIS,IL,US,STATE,294,CASES
1976,23,ILLINOIS,IL,US,STATE,587,CASES
1976,24,ILLINOIS,IL,US,STATE,245,CASES
1976,25,ILLINOIS,IL,US,STATE,253,CASES
1976,26,ILLINOIS,IL,US,STATE,75,CASES
1976,27,ILLINOIS,IL,US,STATE,77,CASES
1976,28,ILLINOIS,IL,US,STATE,94,CASES
1976,29,ILLINOIS,IL,US,STATE,19,CASES
1976,30,ILLINOIS,IL,US,STATE,16,CASES
1976,31,ILLINOIS,IL,US,STATE,26,CASES
1976,32,ILLINOIS,IL,US,STATE,66,CASES
1976,33,ILLINOIS,IL,US,STATE,11,CASES
1976,34,ILLINOIS,IL,US,STATE,7,CASES
1976,35,ILLINOIS,IL,US,STATE,4,CASES
1976,36,ILLINOIS,IL,US,STATE,12,CASES
1976,38,ILLINOIS,IL,US,STATE,19,CASES
1976,39,ILLINOIS,IL,US,STATE,11,CASES
1976,40,ILLINOIS,IL,US,STATE,14,CASES
1976,41,ILLINOIS,IL,US,STATE,44,CASES
1976,42,ILLINOIS,IL,US,STATE,66,CASES
1976,43,ILLINOIS,IL,US,STATE,76,CASES
1976,44,ILLINOIS,IL,US,STATE,128,CASES
1976,45,ILLINOIS,IL,US,STATE,62,CASES
1976,46,ILLINOIS,IL,US,STATE,144,CASES
1976,47,ILLINOIS,IL,US,STATE,326,CASES
1976,48,ILLINOIS,IL,US,STATE,140,CASES
1976,49,ILLINOIS,IL,US,STATE,234,CASES
1976,50,ILLINOIS,IL,US,STATE,266,CASES
1976,51,ILLINOIS,IL,US,STATE,395,CASES
1976,52,ILLINOIS,IL,US,STATE,208,CASES
1977,2,ILLINOIS,IL,US,STATE,204,CASES
1977,3,ILLINOIS,IL,US,STATE,468,CASES
1977,4,ILLINOIS,IL,US,STATE,238,CASES
1977,5,ILLINOIS,IL,US,STATE,513,CASES
1977,6,ILLINOIS,IL,US,STATE,140,CASES
1977,7,ILLINOIS,IL,US,STATE,268,CASES
1977,8,ILLINOIS,IL,US,STATE,294,CASES
1977,9,ILLINOIS,IL,US,STATE,434,CASES
1977,10,ILLINOIS,IL,US,STATE,543,CASES
1977,11,ILLINOIS,IL,US,STATE,505,CASES
1977,12,ILLINOIS,IL,US,STATE,567,CASES
1977,13,ILLINOIS,IL,US,STATE,674,CASES
1977,14,ILLINOIS,IL,US,STATE,436,CASES
1977,15,ILLINOIS,IL,US,STATE,579,CASES
1977,16,ILLINOIS,IL,US,STATE,748,CASES
1977,17,ILLINOIS,IL,US,STATE,763,CASES
1977,18,ILLINOIS,IL,US,STATE,708,CASES
1977,19,ILLINOIS,IL,US,STATE,321,CASES
1977,20,ILLINOIS,IL,US,STATE,691,CASES
1977,21,ILLINOIS,IL,US,STATE,333,CASES
1977,22,ILLINOIS,IL,US,STATE,499,CASES
1977,23,ILLINOIS,IL,US,STATE,532,CASES
1977,24,ILLINOIS,IL,US,STATE,333,CASES
1977,25,ILLINOIS,IL,US,STATE,457,CASES
1977,26,ILLINOIS,IL,US,STATE,309,CASES
1977,27,ILLINOIS,IL,US,STATE,85,CASES
1977,28,ILLINOIS,IL,US,STATE,66,CASES
1977,29,ILLINOIS,IL,US,STATE,20,CASES
1977,30,ILLINOIS,IL,US,STATE,16,CASES
