year,week,loc,state,country,loc_type,number,event
1927,47,ILLINOIS,IL,US,STATE,32,CASES
1927,48,ILLINOIS,IL,US,STATE,15,CASES
1927,49,ILLINOIS,IL,US,STATE,32,CASES
1927,51,ILLINOIS,IL,US,STATE,33,CASES
1927,52,ILLINOIS,IL,US,STATE,26,CASES
1928,1,ILLINOIS,IL,US,STATE,38,CASES
1928,2,ILLINOIS,IL,US,STATE,58,CASES
1928,3,ILLINOIS,IL,US,STATE,46,CASES
1928,4,ILLINOIS,IL,US,STATE,61,CASES
1928,5,ILLINOIS,IL,US,STATE,84,CASES
1928,6,ILLINOIS,IL,US,STATE,101,CASES
1928,7,ILLINOIS,IL,US,STATE,103,CASES
1928,8,ILLINOIS,IL,US,STATE,156,CASES
1928,9,ILLINOIS,IL,US,STATE,151,CASES
1928,10,ILLINOIS,IL,US,STATE,149,CASES
1928,11,ILLINOIS,IL,US,STATE,260,CASES
1928,12,ILLINOIS,IL,US,STATE,232,CASES
1928,13,ILLINOIS,IL,US,STATE,180,CASES
1928,14,ILLINOIS,IL,US,STATE,226,CASES
1928,15,ILLINOIS,IL,US,STATE,164,CASES
1928,16,ILLINOIS,IL,US,STATE,234,CASES
1928,17,ILLINOIS,IL,US,STATE,173,CASES
1928,18,ILLINOIS,IL,US,STATE,244,CASES
1928,19,ILLINOIS,IL,US,STATE,275,CASES
1928,20,ILLINOIS,IL,US,STATE,214,CASES
1928,21,ILLINOIS,IL,US,STATE,244,CASES
1928,22,ILLINOIS,IL,US,STATE,268,CASES
1928,23,ILLINOIS,IL,US,STATE,195,CASES
1928,24,ILLINOIS,IL,US,STATE,216,CASES
1928,25,ILLINOIS,IL,US,STATE,186,CASES
1928,26,ILLINOIS,IL,US,STATE,185,CASES
1928,27,ILLINOIS,IL,US,STATE,123,CASES
1928,28,ILLINOIS,IL,US,STATE,90,CASES
1928,29,ILLINOIS,IL,US,STATE,81,CASES
1928,30,ILLINOIS,IL,US,STATE,47,CASES
1928,31,ILLINOIS,IL,US,STATE,49,CASES
1928,32,ILLINOIS,IL,US,STATE,29,CASES
1928,33,ILLINOIS,IL,US,STATE,26,CASES
1928,34,ILLINOIS,IL,US,STATE,24,CASES
1928,35,ILLINOIS,IL,US,STATE,24,CASES
1928,36,ILLINOIS,IL,US,STATE,14,CASES
1928,37,ILLINOIS,IL,US,STATE,23,CASES
1928,38,ILLINOIS,IL,US,STATE,43,CASES
1928,39,ILLINOIS,IL,US,STATE,40,CASES
1928,41,ILLINOIS,IL,US,STATE,69,CASES
1928,42,ILLINOIS,IL,US,STATE,75,CASES
1928,43,ILLINOIS,IL,US,STATE,92,CASES
1928,44,ILLINOIS,IL,US,STATE,141,CASES
1928,45,ILLINOIS,IL,US,STATE,176,CASES
1928,46,ILLINOIS,IL,US,STATE,116,CASES
1928,47,ILLINOIS,IL,US,STATE,318,CASES
1928,48,ILLINOIS,IL,US,STATE,213,CASES
1928,49,ILLINOIS,IL,US,STATE,331,CASES
1928,50,ILLINOIS,IL,US,STATE,277,CASES
1928,51,ILLINOIS,IL,US,STATE,311,CASES
1928,52,ILLINOIS,IL,US,STATE,247,CASES
1929,1,ILLINOIS,IL,US,STATE,330,CASES
1929,2,ILLINOIS,IL,US,STATE,339,CASES
1929,3,ILLINOIS,IL,US,STATE,252,CASES
1929,4,ILLINOIS,IL,US,STATE,407,CASES
1929,5,ILLINOIS,IL,US,STATE,438,CASES
1929,6,ILLINOIS,IL,US,STATE,597,CASES
1929,7,ILLINOIS,IL,US,STATE,692,CASES
1929,8,ILLINOIS,IL,US,STATE,833,CASES
1929,9,ILLINOIS,IL,US,STATE,983,CASES
1929,10,ILLINOIS,IL,US,STATE,1109,CASES
1929,11,ILLINOIS,IL,US,STATE,1312,CASES
1929,12,ILLINOIS,IL,US,STATE,1637,CASES
1929,13,ILLINOIS,IL,US,STATE,1732,CASES
1929,14,ILLINOIS,IL,US,STATE,1635,CASES
1929,15,ILLINOIS,IL,US,STATE,1922,CASES
1929,16,ILLINOIS,IL,US,STATE,1774,CASES
1929,17,ILLINOIS,IL,US,STATE,1838,CASES
1929,18,ILLINOIS,IL,US,STATE,2082,CASES
1929,19,ILLINOIS,IL,US,STATE,1965,CASES
1929,20,ILLINOIS,IL,US,STATE,1882,CASES
1929,21,ILLINOIS,IL,US,STATE,2222,CASES
1929,22,ILLINOIS,IL,US,STATE,1777,CASES
1929,23,ILLINOIS,IL,US,STATE,2092,CASES
1929,24,ILLINOIS,IL,US,STATE,1340,CASES
1929,25,ILLINOIS,IL,US,STATE,1058,CASES
1929,26,ILLINOIS,IL,US,STATE,1114,CASES
1929,27,ILLINOIS,IL,US,STATE,654,CASES
1929,28,ILLINOIS,IL,US,STATE,560,CASES
1929,29,ILLINOIS,IL,US,STATE,347,CASES
1929,30,ILLINOIS,IL,US,STATE,244,CASES
1929,31,ILLINOIS,IL,US,STATE,126,CASES
1929,32,ILLINOIS,IL,US,STATE,122,CASES
1929,33,ILLINOIS,IL,US,STATE,81,CASES
1929,34,ILLINOIS,IL,US,STATE,51,CASES
1929,35,ILLINOIS,IL,US,STATE,40,CASES
1929,36,ILLINOIS,IL,US,STATE,31,CASES
1929,37,ILLINOIS,IL,US,STATE,41,CASES
1929,38,ILLINOIS,IL,US,STATE,19,CASES
1929,39,ILLINOIS,IL,US,STATE,73,CASES
1929,40,ILLINOIS,IL,US,STATE,62,CASES
1929,41,ILLINOIS,IL,US,STATE,93,CASES
1929,42,ILLINOIS,IL,US,STATE,82,CASES
1929,43,ILLINOIS,IL,US,STATE,112,CASES
1929,44,ILLINOIS,IL,US,STATE,103,CASES
1929,45,ILLINOIS,IL,US,STATE,138,CASES
1929,46,ILLINOIS,IL,US,STATE,180,CASES
1929,47,ILLINOIS,IL,US,STATE,270,CASES
1929,48,ILLINOIS,IL,US,STATE,325,CASES
1929,49,ILLINOIS,IL,US,STATE,392,CASES
1929,50,ILLINOIS,IL,US,STATE,370,CASES
1929,51,ILLINOIS,IL,US,STATE,322,CASES
1929,52,ILLINOIS,IL,US,STATE,303,CASES
1930,1,ILLINOIS,IL,US,STATE,299,CASES
1930,2,ILLINOIS,IL,US,STATE,367,CASES
1930,3,ILLINOIS,IL,US,STATE,268,CASES
1930,4,ILLINOIS,IL,US,STATE,432,CASES
1930,5,ILLINOIS,IL,US,STATE,401,CASES
1930,6,ILLINOIS,IL,US,STATE,433,CASES
1930,7,ILLINOIS,IL,US,STATE,627,CASES
1930,8,ILLINOIS,IL,US,STATE,674,CASES
1930,9,ILLINOIS,IL,US,STATE,683,CASES
1930,10,ILLINOIS,IL,US,STATE,578,CASES
1930,11,ILLINOIS,IL,US,STATE,614,CASES
1930,12,ILLINOIS,IL,US,STATE,662,CASES
1930,13,ILLINOIS,IL,US,STATE,727,CASES
1930,14,ILLINOIS,IL,US,STATE,691,CASES
1930,15,ILLINOIS,IL,US,STATE,923,CASES
1930,16,ILLINOIS,IL,US,STATE,702,CASES
1930,17,ILLINOIS,IL,US,STATE,794,CASES
1930,18,ILLINOIS,IL,US,STATE,626,CASES
1930,19,ILLINOIS,IL,US,STATE,728,CASES
1930,20,ILLINOIS,IL,US,STATE,578,CASES
1930,21,ILLINOIS,IL,US,STATE,610,CASES
1930,22,ILLINOIS,IL,US,STATE,351,CASES
1930,23,ILLINOIS,IL,US,STATE,629,CASES
1930,24,ILLINOIS,IL,US,STATE,404,CASES
1930,25,ILLINOIS,IL,US,STATE,390,CASES
1930,26,ILLINOIS,IL,US,STATE,285,CASES
1930,27,ILLINOIS,IL,US,STATE,222,CASES
1930,28,ILLINOIS,IL,US,STATE,138,CASES
1930,29,ILLINOIS,IL,US,STATE,88,CASES
1930,30,ILLINOIS,IL,US,STATE,56,CASES
1930,31,ILLINOIS,IL,US,STATE,18,CASES
1930,32,ILLINOIS,IL,US,STATE,25,CASES
