year,week,loc,state,country,loc_type,number,event
1928,26,KANSAS,KS,US,STATE,11,CASES
1937,43,KANSAS,KS,US,STATE,63,CASES
1937,44,KANSAS,KS,US,STATE,38,CASES
1937,45,KANSAS,KS,US,STATE,46,CASES
1937,46,KANSAS,KS,US,STATE,70,CASES
1937,47,KANSAS,KS,US,STATE,47,CASES
1937,48,KANSAS,KS,US,STATE,83,CASES
1937,49,KANSAS,KS,US,STATE,77,CASES
1937,50,KANSAS,KS,US,STATE,81,CASES
1937,51,KANSAS,KS,US,STATE,31,CASES
1938,1,KANSAS,KS,US,STATE,104,CASES
1938,2,KANSAS,KS,US,STATE,93,CASES
1938,3,KANSAS,KS,US,STATE,122,CASES
1938,4,KANSAS,KS,US,STATE,99,CASES
1938,5,KANSAS,KS,US,STATE,113,CASES
1938,6,KANSAS,KS,US,STATE,105,CASES
1938,7,KANSAS,KS,US,STATE,138,CASES
1938,8,KANSAS,KS,US,STATE,93,CASES
1938,9,KANSAS,KS,US,STATE,155,CASES
1938,10,KANSAS,KS,US,STATE,116,CASES
1938,11,KANSAS,KS,US,STATE,136,CASES
1938,12,KANSAS,KS,US,STATE,150,CASES
1938,13,KANSAS,KS,US,STATE,122,CASES
1938,14,KANSAS,KS,US,STATE,92,CASES
1938,15,KANSAS,KS,US,STATE,92,CASES
1938,16,KANSAS,KS,US,STATE,118,CASES
1938,17,KANSAS,KS,US,STATE,183,CASES
1938,18,KANSAS,KS,US,STATE,162,CASES
1938,19,KANSAS,KS,US,STATE,149,CASES
1938,20,KANSAS,KS,US,STATE,139,CASES
1938,21,KANSAS,KS,US,STATE,148,CASES
1938,22,KANSAS,KS,US,STATE,134,CASES
1938,23,KANSAS,KS,US,STATE,131,CASES
1938,24,KANSAS,KS,US,STATE,130,CASES
1938,25,KANSAS,KS,US,STATE,467,CASES
1938,26,KANSAS,KS,US,STATE,308,CASES
1938,27,KANSAS,KS,US,STATE,344,CASES
1938,28,KANSAS,KS,US,STATE,333,CASES
1938,29,KANSAS,KS,US,STATE,322,CASES
1938,30,KANSAS,KS,US,STATE,182,CASES
1938,31,KANSAS,KS,US,STATE,232,CASES
1938,32,KANSAS,KS,US,STATE,129,CASES
1938,33,KANSAS,KS,US,STATE,123,CASES
1938,34,KANSAS,KS,US,STATE,201,CASES
1938,35,KANSAS,KS,US,STATE,104,CASES
