year,week,loc,state,country,loc_type,number,event
1972,1,KENTUCKY,KY,US,STATE,33,CASES
1972,3,KENTUCKY,KY,US,STATE,38,CASES
1972,4,KENTUCKY,KY,US,STATE,63,CASES
1972,5,KENTUCKY,KY,US,STATE,195,CASES
1972,6,KENTUCKY,KY,US,STATE,175,CASES
1972,7,KENTUCKY,KY,US,STATE,97,CASES
1972,8,KENTUCKY,KY,US,STATE,101,CASES
1972,9,KENTUCKY,KY,US,STATE,190,CASES
1972,10,KENTUCKY,KY,US,STATE,74,CASES
1972,11,KENTUCKY,KY,US,STATE,127,CASES
1972,12,KENTUCKY,KY,US,STATE,159,CASES
1972,13,KENTUCKY,KY,US,STATE,193,CASES
1972,14,KENTUCKY,KY,US,STATE,89,CASES
1972,16,KENTUCKY,KY,US,STATE,190,CASES
1972,17,KENTUCKY,KY,US,STATE,107,CASES
1972,18,KENTUCKY,KY,US,STATE,218,CASES
1972,19,KENTUCKY,KY,US,STATE,70,CASES
1972,20,KENTUCKY,KY,US,STATE,64,CASES
1972,21,KENTUCKY,KY,US,STATE,94,CASES
1972,23,KENTUCKY,KY,US,STATE,75,CASES
1972,24,KENTUCKY,KY,US,STATE,47,CASES
1972,25,KENTUCKY,KY,US,STATE,64,CASES
1972,26,KENTUCKY,KY,US,STATE,28,CASES
1972,27,KENTUCKY,KY,US,STATE,12,CASES
1972,28,KENTUCKY,KY,US,STATE,28,CASES
1972,29,KENTUCKY,KY,US,STATE,39,CASES
1972,30,KENTUCKY,KY,US,STATE,13,CASES
1972,32,KENTUCKY,KY,US,STATE,56,CASES
1972,33,KENTUCKY,KY,US,STATE,10,CASES
1972,36,KENTUCKY,KY,US,STATE,5,CASES
1972,37,KENTUCKY,KY,US,STATE,2,CASES
1972,39,KENTUCKY,KY,US,STATE,6,CASES
1972,40,KENTUCKY,KY,US,STATE,2,CASES
1972,41,KENTUCKY,KY,US,STATE,8,CASES
1972,42,KENTUCKY,KY,US,STATE,15,CASES
1972,43,KENTUCKY,KY,US,STATE,15,CASES
1972,44,KENTUCKY,KY,US,STATE,14,CASES
1972,45,KENTUCKY,KY,US,STATE,93,CASES
