year,week,loc,state,country,loc_type,number,event
1927,52,KENTUCKY,KY,US,STATE,33,CASES
1928,1,KENTUCKY,KY,US,STATE,12,CASES
1928,2,KENTUCKY,KY,US,STATE,13,CASES
1928,3,KENTUCKY,KY,US,STATE,9,CASES
1928,4,KENTUCKY,KY,US,STATE,15,CASES
1928,5,KENTUCKY,KY,US,STATE,12,CASES
1928,6,KENTUCKY,KY,US,STATE,5,CASES
1928,7,KENTUCKY,KY,US,STATE,6,CASES
1928,8,KENTUCKY,KY,US,STATE,5,CASES
1928,9,KENTUCKY,KY,US,STATE,2,CASES
1928,10,KENTUCKY,KY,US,STATE,15,CASES
1928,11,KENTUCKY,KY,US,STATE,11,CASES
1928,14,KENTUCKY,KY,US,STATE,10,CASES
1928,16,KENTUCKY,KY,US,STATE,7,CASES
1928,17,KENTUCKY,KY,US,STATE,9,CASES
1928,19,KENTUCKY,KY,US,STATE,4,CASES
1928,20,KENTUCKY,KY,US,STATE,4,CASES
1928,21,KENTUCKY,KY,US,STATE,8,CASES
1928,22,KENTUCKY,KY,US,STATE,7,CASES
1928,23,KENTUCKY,KY,US,STATE,7,CASES
1928,24,KENTUCKY,KY,US,STATE,7,CASES
1928,25,KENTUCKY,KY,US,STATE,5,CASES
1928,26,KENTUCKY,KY,US,STATE,1,CASES
1928,27,KENTUCKY,KY,US,STATE,1,CASES
1928,28,KENTUCKY,KY,US,STATE,2,CASES
1928,30,KENTUCKY,KY,US,STATE,7,CASES
1928,31,KENTUCKY,KY,US,STATE,6,CASES
1928,33,KENTUCKY,KY,US,STATE,2,CASES
1928,34,KENTUCKY,KY,US,STATE,14,CASES
1928,35,KENTUCKY,KY,US,STATE,5,CASES
1928,36,KENTUCKY,KY,US,STATE,3,CASES
1928,37,KENTUCKY,KY,US,STATE,4,CASES
1928,38,KENTUCKY,KY,US,STATE,38,CASES
1928,39,KENTUCKY,KY,US,STATE,27,CASES
1928,41,KENTUCKY,KY,US,STATE,33,CASES
1928,42,KENTUCKY,KY,US,STATE,32,CASES
1928,43,KENTUCKY,KY,US,STATE,37,CASES
1928,44,KENTUCKY,KY,US,STATE,13,CASES
1928,45,KENTUCKY,KY,US,STATE,24,CASES
1928,46,KENTUCKY,KY,US,STATE,49,CASES
1928,47,KENTUCKY,KY,US,STATE,30,CASES
1928,48,KENTUCKY,KY,US,STATE,16,CASES
1928,49,KENTUCKY,KY,US,STATE,17,CASES
1928,50,KENTUCKY,KY,US,STATE,55,CASES
1928,51,KENTUCKY,KY,US,STATE,17,CASES
1928,52,KENTUCKY,KY,US,STATE,14,CASES
1929,1,KENTUCKY,KY,US,STATE,9,CASES
1929,2,KENTUCKY,KY,US,STATE,7,CASES
1929,3,KENTUCKY,KY,US,STATE,10,CASES
1929,6,KENTUCKY,KY,US,STATE,15,CASES
1929,7,KENTUCKY,KY,US,STATE,9,CASES
1929,8,KENTUCKY,KY,US,STATE,8,CASES
1929,10,KENTUCKY,KY,US,STATE,5,CASES
1929,16,KENTUCKY,KY,US,STATE,5,CASES
1929,21,KENTUCKY,KY,US,STATE,4,CASES
1929,22,KENTUCKY,KY,US,STATE,5,CASES
1929,23,KENTUCKY,KY,US,STATE,3,CASES
1929,24,KENTUCKY,KY,US,STATE,5,CASES
1929,26,KENTUCKY,KY,US,STATE,5,CASES
1929,32,KENTUCKY,KY,US,STATE,5,CASES
1929,33,KENTUCKY,KY,US,STATE,4,CASES
1929,37,KENTUCKY,KY,US,STATE,22,CASES
