year,week,loc,state,country,loc_type,number,event
1937,43,LOUISIANA,LA,US,STATE,2,CASES
1937,44,LOUISIANA,LA,US,STATE,10,CASES
1937,45,LOUISIANA,LA,US,STATE,3,CASES
1937,46,LOUISIANA,LA,US,STATE,6,CASES
1937,47,LOUISIANA,LA,US,STATE,3,CASES
1937,48,LOUISIANA,LA,US,STATE,26,CASES
1937,49,LOUISIANA,LA,US,STATE,7,CASES
1937,50,LOUISIANA,LA,US,STATE,14,CASES
1937,51,LOUISIANA,LA,US,STATE,14,CASES
1937,52,LOUISIANA,LA,US,STATE,7,CASES
1938,2,LOUISIANA,LA,US,STATE,6,CASES
1938,3,LOUISIANA,LA,US,STATE,3,CASES
1938,4,LOUISIANA,LA,US,STATE,6,CASES
1938,5,LOUISIANA,LA,US,STATE,2,CASES
1938,6,LOUISIANA,LA,US,STATE,19,CASES
1938,7,LOUISIANA,LA,US,STATE,20,CASES
1938,8,LOUISIANA,LA,US,STATE,12,CASES
1938,9,LOUISIANA,LA,US,STATE,12,CASES
1938,10,LOUISIANA,LA,US,STATE,18,CASES
1938,11,LOUISIANA,LA,US,STATE,20,CASES
1938,12,LOUISIANA,LA,US,STATE,22,CASES
1938,13,LOUISIANA,LA,US,STATE,23,CASES
1938,14,LOUISIANA,LA,US,STATE,19,CASES
1938,15,LOUISIANA,LA,US,STATE,9,CASES
1938,16,LOUISIANA,LA,US,STATE,34,CASES
1938,17,LOUISIANA,LA,US,STATE,1,CASES
1938,18,LOUISIANA,LA,US,STATE,2,CASES
1938,19,LOUISIANA,LA,US,STATE,44,CASES
1938,20,LOUISIANA,LA,US,STATE,44,CASES
1938,21,LOUISIANA,LA,US,STATE,2,CASES
1938,22,LOUISIANA,LA,US,STATE,10,CASES
1938,23,LOUISIANA,LA,US,STATE,37,CASES
1938,24,LOUISIANA,LA,US,STATE,54,CASES
1938,25,LOUISIANA,LA,US,STATE,93,CASES
1938,26,LOUISIANA,LA,US,STATE,105,CASES
1938,27,LOUISIANA,LA,US,STATE,113,CASES
1938,28,LOUISIANA,LA,US,STATE,166,CASES
1938,29,LOUISIANA,LA,US,STATE,105,CASES
1938,30,LOUISIANA,LA,US,STATE,100,CASES
1938,31,LOUISIANA,LA,US,STATE,120,CASES
1938,32,LOUISIANA,LA,US,STATE,115,CASES
1938,33,LOUISIANA,LA,US,STATE,68,CASES
1938,34,LOUISIANA,LA,US,STATE,37,CASES
1938,35,LOUISIANA,LA,US,STATE,54,CASES
1938,36,LOUISIANA,LA,US,STATE,98,CASES
1938,37,LOUISIANA,LA,US,STATE,24,CASES
1938,38,LOUISIANA,LA,US,STATE,26,CASES
1938,39,LOUISIANA,LA,US,STATE,7,CASES
1938,40,LOUISIANA,LA,US,STATE,46,CASES
1938,41,LOUISIANA,LA,US,STATE,9,CASES
1938,42,LOUISIANA,LA,US,STATE,42,CASES
1938,43,LOUISIANA,LA,US,STATE,1,CASES
1938,44,LOUISIANA,LA,US,STATE,7,CASES
1938,45,LOUISIANA,LA,US,STATE,17,CASES
1938,46,LOUISIANA,LA,US,STATE,20,CASES
1938,47,LOUISIANA,LA,US,STATE,39,CASES
1938,48,LOUISIANA,LA,US,STATE,64,CASES
1938,49,LOUISIANA,LA,US,STATE,22,CASES
1938,50,LOUISIANA,LA,US,STATE,22,CASES
1938,51,LOUISIANA,LA,US,STATE,16,CASES
1938,52,LOUISIANA,LA,US,STATE,5,CASES
1939,1,LOUISIANA,LA,US,STATE,17,CASES
1939,2,LOUISIANA,LA,US,STATE,2,CASES
1939,3,LOUISIANA,LA,US,STATE,10,CASES
1939,4,LOUISIANA,LA,US,STATE,2,CASES
1939,5,LOUISIANA,LA,US,STATE,5,CASES
1939,6,LOUISIANA,LA,US,STATE,11,CASES
1939,7,LOUISIANA,LA,US,STATE,14,CASES
1939,8,LOUISIANA,LA,US,STATE,12,CASES
1939,9,LOUISIANA,LA,US,STATE,1,CASES
1939,10,LOUISIANA,LA,US,STATE,29,CASES
1939,11,LOUISIANA,LA,US,STATE,2,CASES
1939,12,LOUISIANA,LA,US,STATE,20,CASES
1939,13,LOUISIANA,LA,US,STATE,2,CASES
1939,14,LOUISIANA,LA,US,STATE,2,CASES
1939,15,LOUISIANA,LA,US,STATE,11,CASES
1939,16,LOUISIANA,LA,US,STATE,87,CASES
1939,17,LOUISIANA,LA,US,STATE,56,CASES
1939,18,LOUISIANA,LA,US,STATE,6,CASES
1939,19,LOUISIANA,LA,US,STATE,24,CASES
