year,week,loc,state,country,loc_type,number,event
1968,3,LOUISIANA,LA,US,STATE,2,CASES
1968,4,LOUISIANA,LA,US,STATE,1,CASES
1968,5,LOUISIANA,LA,US,STATE,8,CASES
1968,6,LOUISIANA,LA,US,STATE,1,CASES
1968,7,LOUISIANA,LA,US,STATE,4,CASES
1968,9,LOUISIANA,LA,US,STATE,1,CASES
1968,10,LOUISIANA,LA,US,STATE,2,CASES
1968,11,LOUISIANA,LA,US,STATE,1,CASES
1968,14,LOUISIANA,LA,US,STATE,1,CASES
1968,15,LOUISIANA,LA,US,STATE,1,CASES
1968,19,LOUISIANA,LA,US,STATE,1,CASES
1968,20,LOUISIANA,LA,US,STATE,1,CASES
1968,21,LOUISIANA,LA,US,STATE,1,CASES
1968,22,LOUISIANA,LA,US,STATE,8,CASES
1968,24,LOUISIANA,LA,US,STATE,2,CASES
1968,25,LOUISIANA,LA,US,STATE,1,CASES
1968,26,LOUISIANA,LA,US,STATE,3,CASES
1968,35,LOUISIANA,LA,US,STATE,3,CASES
1968,40,LOUISIANA,LA,US,STATE,1,CASES
1968,41,LOUISIANA,LA,US,STATE,1,CASES
1968,42,LOUISIANA,LA,US,STATE,6,CASES
1968,43,LOUISIANA,LA,US,STATE,1,CASES
1968,44,LOUISIANA,LA,US,STATE,2,CASES
1968,46,LOUISIANA,LA,US,STATE,1,CASES
1968,47,LOUISIANA,LA,US,STATE,13,CASES
1968,52,LOUISIANA,LA,US,STATE,2,CASES
1969,2,LOUISIANA,LA,US,STATE,2,CASES
1969,4,LOUISIANA,LA,US,STATE,9,CASES
1969,5,LOUISIANA,LA,US,STATE,4,CASES
1969,6,LOUISIANA,LA,US,STATE,1,CASES
1969,10,LOUISIANA,LA,US,STATE,1,CASES
1969,13,LOUISIANA,LA,US,STATE,6,CASES
1969,15,LOUISIANA,LA,US,STATE,1,CASES
1969,28,LOUISIANA,LA,US,STATE,1,CASES
1969,41,LOUISIANA,LA,US,STATE,1,CASES
1969,47,LOUISIANA,LA,US,STATE,1,CASES
1970,4,LOUISIANA,LA,US,STATE,1,CASES
1970,7,LOUISIANA,LA,US,STATE,1,CASES
1970,9,LOUISIANA,LA,US,STATE,1,CASES
1970,12,LOUISIANA,LA,US,STATE,2,CASES
1970,14,LOUISIANA,LA,US,STATE,2,CASES
1970,15,LOUISIANA,LA,US,STATE,1,CASES
1970,16,LOUISIANA,LA,US,STATE,3,CASES
1970,17,LOUISIANA,LA,US,STATE,1,CASES
