year,week,loc,state,country,loc_type,number,event
1968,3,LOUISIANA,LA,US,STATE,1,CASES
1968,5,LOUISIANA,LA,US,STATE,1,CASES
1968,7,LOUISIANA,LA,US,STATE,4,CASES
1968,8,LOUISIANA,LA,US,STATE,1,CASES
1968,9,LOUISIANA,LA,US,STATE,3,CASES
1968,10,LOUISIANA,LA,US,STATE,3,CASES
1968,11,LOUISIANA,LA,US,STATE,2,CASES
1968,12,LOUISIANA,LA,US,STATE,1,CASES
1968,13,LOUISIANA,LA,US,STATE,1,CASES
1968,14,LOUISIANA,LA,US,STATE,1,CASES
1968,15,LOUISIANA,LA,US,STATE,1,CASES
1968,17,LOUISIANA,LA,US,STATE,9,CASES
1968,18,LOUISIANA,LA,US,STATE,3,CASES
1968,19,LOUISIANA,LA,US,STATE,1,CASES
1968,20,LOUISIANA,LA,US,STATE,5,CASES
1968,21,LOUISIANA,LA,US,STATE,8,CASES
1968,22,LOUISIANA,LA,US,STATE,2,CASES
1968,24,LOUISIANA,LA,US,STATE,5,CASES
1968,25,LOUISIANA,LA,US,STATE,5,CASES
1968,26,LOUISIANA,LA,US,STATE,1,CASES
1968,27,LOUISIANA,LA,US,STATE,2,CASES
1968,36,LOUISIANA,LA,US,STATE,1,CASES
1968,37,LOUISIANA,LA,US,STATE,1,CASES
1968,39,LOUISIANA,LA,US,STATE,1,CASES
1968,49,LOUISIANA,LA,US,STATE,1,CASES
1968,52,LOUISIANA,LA,US,STATE,1,CASES
1969,1,LOUISIANA,LA,US,STATE,2,CASES
1969,6,LOUISIANA,LA,US,STATE,3,CASES
1969,8,LOUISIANA,LA,US,STATE,2,CASES
1969,9,LOUISIANA,LA,US,STATE,2,CASES
1969,12,LOUISIANA,LA,US,STATE,1,CASES
1969,13,LOUISIANA,LA,US,STATE,1,CASES
1969,15,LOUISIANA,LA,US,STATE,1,CASES
1969,16,LOUISIANA,LA,US,STATE,14,CASES
1969,18,LOUISIANA,LA,US,STATE,6,CASES
1969,24,LOUISIANA,LA,US,STATE,5,CASES
1969,30,LOUISIANA,LA,US,STATE,1,CASES
1969,37,LOUISIANA,LA,US,STATE,1,CASES
1969,43,LOUISIANA,LA,US,STATE,1,CASES
1969,46,LOUISIANA,LA,US,STATE,2,CASES
1970,5,LOUISIANA,LA,US,STATE,2,CASES
1970,8,LOUISIANA,LA,US,STATE,1,CASES
1970,11,LOUISIANA,LA,US,STATE,3,CASES
1970,12,LOUISIANA,LA,US,STATE,43,CASES
1970,14,LOUISIANA,LA,US,STATE,3,CASES
1970,15,LOUISIANA,LA,US,STATE,13,CASES
1970,16,LOUISIANA,LA,US,STATE,19,CASES
1970,17,LOUISIANA,LA,US,STATE,8,CASES
1970,18,LOUISIANA,LA,US,STATE,2,CASES
1970,19,LOUISIANA,LA,US,STATE,33,CASES
1970,20,LOUISIANA,LA,US,STATE,3,CASES
1970,21,LOUISIANA,LA,US,STATE,7,CASES
1970,25,LOUISIANA,LA,US,STATE,6,CASES
1970,26,LOUISIANA,LA,US,STATE,4,CASES
1970,27,LOUISIANA,LA,US,STATE,1,CASES
1970,30,LOUISIANA,LA,US,STATE,1,CASES
1970,33,LOUISIANA,LA,US,STATE,1,CASES
1970,35,LOUISIANA,LA,US,STATE,2,CASES
1970,46,LOUISIANA,LA,US,STATE,1,CASES
1970,48,LOUISIANA,LA,US,STATE,1,CASES
1970,50,LOUISIANA,LA,US,STATE,1,CASES
1970,51,LOUISIANA,LA,US,STATE,1,CASES
1971,2,LOUISIANA,LA,US,STATE,4,CASES
1971,3,LOUISIANA,LA,US,STATE,1,CASES
1971,5,LOUISIANA,LA,US,STATE,10,CASES
1971,6,LOUISIANA,LA,US,STATE,12,CASES
1971,7,LOUISIANA,LA,US,STATE,6,CASES
1971,8,LOUISIANA,LA,US,STATE,2,CASES
1971,10,LOUISIANA,LA,US,STATE,17,CASES
1971,13,LOUISIANA,LA,US,STATE,42,CASES
1971,15,LOUISIANA,LA,US,STATE,97,CASES
1971,16,LOUISIANA,LA,US,STATE,28,CASES
1971,17,LOUISIANA,LA,US,STATE,33,CASES
1971,18,LOUISIANA,LA,US,STATE,1,CASES
1971,19,LOUISIANA,LA,US,STATE,16,CASES
1971,20,LOUISIANA,LA,US,STATE,4,CASES
1971,21,LOUISIANA,LA,US,STATE,1,CASES
1971,24,LOUISIANA,LA,US,STATE,4,CASES
1971,28,LOUISIANA,LA,US,STATE,2,CASES
1971,39,LOUISIANA,LA,US,STATE,1,CASES
1971,41,LOUISIANA,LA,US,STATE,2,CASES
1971,43,LOUISIANA,LA,US,STATE,3,CASES
1971,44,LOUISIANA,LA,US,STATE,1,CASES
1971,46,LOUISIANA,LA,US,STATE,1,CASES
1971,47,LOUISIANA,LA,US,STATE,1,CASES
1971,48,LOUISIANA,LA,US,STATE,1,CASES
1971,49,LOUISIANA,LA,US,STATE,1,CASES
1971,50,LOUISIANA,LA,US,STATE,3,CASES
1972,4,LOUISIANA,LA,US,STATE,2,CASES
1972,6,LOUISIANA,LA,US,STATE,3,CASES
1972,8,LOUISIANA,LA,US,STATE,1,CASES
1972,9,LOUISIANA,LA,US,STATE,2,CASES
1972,10,LOUISIANA,LA,US,STATE,3,CASES
1972,11,LOUISIANA,LA,US,STATE,2,CASES
1972,12,LOUISIANA,LA,US,STATE,25,CASES
1972,13,LOUISIANA,LA,US,STATE,2,CASES
1972,15,LOUISIANA,LA,US,STATE,3,CASES
1972,16,LOUISIANA,LA,US,STATE,7,CASES
