year,week,loc,state,country,loc_type,number,event
1927,47,MASSACHUSETTS,MA,US,STATE,115,CASES
1927,48,MASSACHUSETTS,MA,US,STATE,169,CASES
1927,49,MASSACHUSETTS,MA,US,STATE,131,CASES
1927,51,MASSACHUSETTS,MA,US,STATE,138,CASES
1927,52,MASSACHUSETTS,MA,US,STATE,135,CASES
1928,1,MASSACHUSETTS,MA,US,STATE,105,CASES
1928,2,MASSACHUSETTS,MA,US,STATE,129,CASES
1928,3,MASSACHUSETTS,MA,US,STATE,103,CASES
1928,4,MASSACHUSETTS,MA,US,STATE,115,CASES
1928,5,MASSACHUSETTS,MA,US,STATE,118,CASES
1928,6,MASSACHUSETTS,MA,US,STATE,117,CASES
1928,7,MASSACHUSETTS,MA,US,STATE,120,CASES
1928,8,MASSACHUSETTS,MA,US,STATE,127,CASES
1928,9,MASSACHUSETTS,MA,US,STATE,100,CASES
1928,10,MASSACHUSETTS,MA,US,STATE,90,CASES
1928,11,MASSACHUSETTS,MA,US,STATE,102,CASES
1928,12,MASSACHUSETTS,MA,US,STATE,86,CASES
1928,13,MASSACHUSETTS,MA,US,STATE,88,CASES
1928,14,MASSACHUSETTS,MA,US,STATE,76,CASES
1928,15,MASSACHUSETTS,MA,US,STATE,90,CASES
1928,16,MASSACHUSETTS,MA,US,STATE,75,CASES
1928,17,MASSACHUSETTS,MA,US,STATE,92,CASES
1928,18,MASSACHUSETTS,MA,US,STATE,79,CASES
1928,19,MASSACHUSETTS,MA,US,STATE,98,CASES
1928,20,MASSACHUSETTS,MA,US,STATE,55,CASES
1928,21,MASSACHUSETTS,MA,US,STATE,61,CASES
1928,22,MASSACHUSETTS,MA,US,STATE,50,CASES
1928,23,MASSACHUSETTS,MA,US,STATE,66,CASES
1928,24,MASSACHUSETTS,MA,US,STATE,71,CASES
1928,25,MASSACHUSETTS,MA,US,STATE,51,CASES
1928,26,MASSACHUSETTS,MA,US,STATE,56,CASES
1928,27,MASSACHUSETTS,MA,US,STATE,63,CASES
1928,28,MASSACHUSETTS,MA,US,STATE,35,CASES
1928,29,MASSACHUSETTS,MA,US,STATE,25,CASES
1928,30,MASSACHUSETTS,MA,US,STATE,26,CASES
1928,31,MASSACHUSETTS,MA,US,STATE,29,CASES
1928,32,MASSACHUSETTS,MA,US,STATE,46,CASES
1928,34,MASSACHUSETTS,MA,US,STATE,30,CASES
1928,35,MASSACHUSETTS,MA,US,STATE,34,CASES
1928,36,MASSACHUSETTS,MA,US,STATE,25,CASES
1928,37,MASSACHUSETTS,MA,US,STATE,42,CASES
1928,38,MASSACHUSETTS,MA,US,STATE,53,CASES
1928,39,MASSACHUSETTS,MA,US,STATE,34,CASES
1928,40,MASSACHUSETTS,MA,US,STATE,85,CASES
1928,41,MASSACHUSETTS,MA,US,STATE,66,CASES
1928,42,MASSACHUSETTS,MA,US,STATE,92,CASES
1928,43,MASSACHUSETTS,MA,US,STATE,115,CASES
1928,44,MASSACHUSETTS,MA,US,STATE,94,CASES
1928,45,MASSACHUSETTS,MA,US,STATE,67,CASES
1928,46,MASSACHUSETTS,MA,US,STATE,94,CASES
1928,47,MASSACHUSETTS,MA,US,STATE,83,CASES
1928,48,MASSACHUSETTS,MA,US,STATE,96,CASES
1928,49,MASSACHUSETTS,MA,US,STATE,116,CASES
1928,50,MASSACHUSETTS,MA,US,STATE,123,CASES
1928,51,MASSACHUSETTS,MA,US,STATE,106,CASES
1928,52,MASSACHUSETTS,MA,US,STATE,93,CASES
1929,1,MASSACHUSETTS,MA,US,STATE,117,CASES
1929,2,MASSACHUSETTS,MA,US,STATE,117,CASES
1929,3,MASSACHUSETTS,MA,US,STATE,116,CASES
1929,4,MASSACHUSETTS,MA,US,STATE,109,CASES
1929,5,MASSACHUSETTS,MA,US,STATE,84,CASES
1929,6,MASSACHUSETTS,MA,US,STATE,91,CASES
1929,7,MASSACHUSETTS,MA,US,STATE,96,CASES
1929,8,MASSACHUSETTS,MA,US,STATE,62,CASES
1929,9,MASSACHUSETTS,MA,US,STATE,77,CASES
1929,10,MASSACHUSETTS,MA,US,STATE,88,CASES
1929,11,MASSACHUSETTS,MA,US,STATE,91,CASES
1929,12,MASSACHUSETTS,MA,US,STATE,84,CASES
1929,13,MASSACHUSETTS,MA,US,STATE,72,CASES
1929,14,MASSACHUSETTS,MA,US,STATE,70,CASES
1929,15,MASSACHUSETTS,MA,US,STATE,98,CASES
1929,16,MASSACHUSETTS,MA,US,STATE,86,CASES
1929,17,MASSACHUSETTS,MA,US,STATE,98,CASES
1929,18,MASSACHUSETTS,MA,US,STATE,58,CASES
1929,19,MASSACHUSETTS,MA,US,STATE,78,CASES
1929,20,MASSACHUSETTS,MA,US,STATE,64,CASES
1929,21,MASSACHUSETTS,MA,US,STATE,87,CASES
1929,22,MASSACHUSETTS,MA,US,STATE,54,CASES
1929,23,MASSACHUSETTS,MA,US,STATE,59,CASES
1929,24,MASSACHUSETTS,MA,US,STATE,68,CASES
1929,25,MASSACHUSETTS,MA,US,STATE,64,CASES
1929,26,MASSACHUSETTS,MA,US,STATE,67,CASES
1929,27,MASSACHUSETTS,MA,US,STATE,49,CASES
1929,28,MASSACHUSETTS,MA,US,STATE,60,CASES
1929,29,MASSACHUSETTS,MA,US,STATE,51,CASES
1929,30,MASSACHUSETTS,MA,US,STATE,46,CASES
1929,31,MASSACHUSETTS,MA,US,STATE,54,CASES
1929,32,MASSACHUSETTS,MA,US,STATE,48,CASES
1929,33,MASSACHUSETTS,MA,US,STATE,31,CASES
1929,34,MASSACHUSETTS,MA,US,STATE,45,CASES
1929,35,MASSACHUSETTS,MA,US,STATE,34,CASES
1929,36,MASSACHUSETTS,MA,US,STATE,43,CASES
1929,37,MASSACHUSETTS,MA,US,STATE,57,CASES
1929,38,MASSACHUSETTS,MA,US,STATE,48,CASES
1929,39,MASSACHUSETTS,MA,US,STATE,66,CASES
1929,40,MASSACHUSETTS,MA,US,STATE,75,CASES
1929,41,MASSACHUSETTS,MA,US,STATE,61,CASES
1929,42,MASSACHUSETTS,MA,US,STATE,106,CASES
1929,43,MASSACHUSETTS,MA,US,STATE,131,CASES
1929,44,MASSACHUSETTS,MA,US,STATE,95,CASES
1929,45,MASSACHUSETTS,MA,US,STATE,123,CASES
1929,46,MASSACHUSETTS,MA,US,STATE,168,CASES
1929,47,MASSACHUSETTS,MA,US,STATE,112,CASES
1929,48,MASSACHUSETTS,MA,US,STATE,131,CASES
1929,49,MASSACHUSETTS,MA,US,STATE,134,CASES
1929,50,MASSACHUSETTS,MA,US,STATE,122,CASES
1929,51,MASSACHUSETTS,MA,US,STATE,126,CASES
1929,52,MASSACHUSETTS,MA,US,STATE,103,CASES
1930,1,MASSACHUSETTS,MA,US,STATE,108,CASES
1930,3,MASSACHUSETTS,MA,US,STATE,130,CASES
1930,4,MASSACHUSETTS,MA,US,STATE,133,CASES
1930,5,MASSACHUSETTS,MA,US,STATE,111,CASES
1930,6,MASSACHUSETTS,MA,US,STATE,118,CASES
1930,7,MASSACHUSETTS,MA,US,STATE,71,CASES
1930,8,MASSACHUSETTS,MA,US,STATE,75,CASES
1930,9,MASSACHUSETTS,MA,US,STATE,89,CASES
1930,10,MASSACHUSETTS,MA,US,STATE,62,CASES
1930,11,MASSACHUSETTS,MA,US,STATE,71,CASES
1930,12,MASSACHUSETTS,MA,US,STATE,68,CASES
1930,13,MASSACHUSETTS,MA,US,STATE,67,CASES
1930,14,MASSACHUSETTS,MA,US,STATE,82,CASES
1930,15,MASSACHUSETTS,MA,US,STATE,40,CASES
1930,16,MASSACHUSETTS,MA,US,STATE,72,CASES
1930,17,MASSACHUSETTS,MA,US,STATE,64,CASES
1930,18,MASSACHUSETTS,MA,US,STATE,73,CASES
1930,19,MASSACHUSETTS,MA,US,STATE,45,CASES
