year,week,loc,state,country,loc_type,number,event
1919,45,MASSACHUSETTS,MA,US,STATE,20,CASES
1919,48,MASSACHUSETTS,MA,US,STATE,29,CASES
1919,49,MASSACHUSETTS,MA,US,STATE,43,CASES
1919,50,MASSACHUSETTS,MA,US,STATE,26,CASES
1919,51,MASSACHUSETTS,MA,US,STATE,36,CASES
1919,52,MASSACHUSETTS,MA,US,STATE,18,CASES
1919,53,MASSACHUSETTS,MA,US,STATE,41,CASES
1920,1,MASSACHUSETTS,MA,US,STATE,40,CASES
1920,2,MASSACHUSETTS,MA,US,STATE,54,CASES
1927,47,MASSACHUSETTS,MA,US,STATE,5,CASES
1927,48,MASSACHUSETTS,MA,US,STATE,13,CASES
1927,49,MASSACHUSETTS,MA,US,STATE,1,CASES
1927,51,MASSACHUSETTS,MA,US,STATE,11,CASES
1927,52,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,1,MASSACHUSETTS,MA,US,STATE,20,CASES
1928,2,MASSACHUSETTS,MA,US,STATE,10,CASES
1928,3,MASSACHUSETTS,MA,US,STATE,10,CASES
1928,4,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,5,MASSACHUSETTS,MA,US,STATE,15,CASES
1928,6,MASSACHUSETTS,MA,US,STATE,14,CASES
1928,7,MASSACHUSETTS,MA,US,STATE,21,CASES
1928,8,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,9,MASSACHUSETTS,MA,US,STATE,9,CASES
1928,10,MASSACHUSETTS,MA,US,STATE,8,CASES
1928,11,MASSACHUSETTS,MA,US,STATE,14,CASES
1928,12,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,13,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,14,MASSACHUSETTS,MA,US,STATE,14,CASES
1928,15,MASSACHUSETTS,MA,US,STATE,25,CASES
1928,16,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,17,MASSACHUSETTS,MA,US,STATE,29,CASES
1928,18,MASSACHUSETTS,MA,US,STATE,49,CASES
1928,19,MASSACHUSETTS,MA,US,STATE,66,CASES
1928,20,MASSACHUSETTS,MA,US,STATE,55,CASES
1928,21,MASSACHUSETTS,MA,US,STATE,52,CASES
1928,22,MASSACHUSETTS,MA,US,STATE,102,CASES
1928,23,MASSACHUSETTS,MA,US,STATE,51,CASES
1928,24,MASSACHUSETTS,MA,US,STATE,16,CASES
1928,25,MASSACHUSETTS,MA,US,STATE,7,CASES
1928,26,MASSACHUSETTS,MA,US,STATE,9,CASES
1928,27,MASSACHUSETTS,MA,US,STATE,3,CASES
1928,28,MASSACHUSETTS,MA,US,STATE,6,CASES
1928,29,MASSACHUSETTS,MA,US,STATE,11,CASES
1928,30,MASSACHUSETTS,MA,US,STATE,52,CASES
1928,31,MASSACHUSETTS,MA,US,STATE,4,CASES
1928,32,MASSACHUSETTS,MA,US,STATE,2,CASES
1928,34,MASSACHUSETTS,MA,US,STATE,2,CASES
1928,35,MASSACHUSETTS,MA,US,STATE,5,CASES
