year,week,loc,state,country,loc_type,number,event
1966,1,MASSACHUSETTS,MA,US,STATE,10,CASES
1966,2,MASSACHUSETTS,MA,US,STATE,20,CASES
1966,3,MASSACHUSETTS,MA,US,STATE,20,CASES
1966,4,MASSACHUSETTS,MA,US,STATE,20,CASES
1966,5,MASSACHUSETTS,MA,US,STATE,102,CASES
1966,6,MASSACHUSETTS,MA,US,STATE,93,CASES
1966,7,MASSACHUSETTS,MA,US,STATE,53,CASES
1966,8,MASSACHUSETTS,MA,US,STATE,13,CASES
1966,9,MASSACHUSETTS,MA,US,STATE,43,CASES
1966,10,MASSACHUSETTS,MA,US,STATE,26,CASES
1966,11,MASSACHUSETTS,MA,US,STATE,74,CASES
1966,12,MASSACHUSETTS,MA,US,STATE,57,CASES
1966,13,MASSACHUSETTS,MA,US,STATE,92,CASES
1966,14,MASSACHUSETTS,MA,US,STATE,75,CASES
1966,15,MASSACHUSETTS,MA,US,STATE,81,CASES
1966,16,MASSACHUSETTS,MA,US,STATE,123,CASES
1966,17,MASSACHUSETTS,MA,US,STATE,73,CASES
1966,18,MASSACHUSETTS,MA,US,STATE,104,CASES
1966,19,MASSACHUSETTS,MA,US,STATE,96,CASES
1966,20,MASSACHUSETTS,MA,US,STATE,101,CASES
1966,21,MASSACHUSETTS,MA,US,STATE,150,CASES
1966,22,MASSACHUSETTS,MA,US,STATE,108,CASES
1966,23,MASSACHUSETTS,MA,US,STATE,122,CASES
1966,24,MASSACHUSETTS,MA,US,STATE,90,CASES
1966,25,MASSACHUSETTS,MA,US,STATE,81,CASES
1966,26,MASSACHUSETTS,MA,US,STATE,29,CASES
1966,27,MASSACHUSETTS,MA,US,STATE,24,CASES
1966,28,MASSACHUSETTS,MA,US,STATE,24,CASES
1966,29,MASSACHUSETTS,MA,US,STATE,10,CASES
1966,30,MASSACHUSETTS,MA,US,STATE,8,CASES
1966,31,MASSACHUSETTS,MA,US,STATE,6,CASES
1966,32,MASSACHUSETTS,MA,US,STATE,3,CASES
1966,34,MASSACHUSETTS,MA,US,STATE,5,CASES
1966,35,MASSACHUSETTS,MA,US,STATE,7,CASES
1966,36,MASSACHUSETTS,MA,US,STATE,3,CASES
1966,37,MASSACHUSETTS,MA,US,STATE,5,CASES
1966,38,MASSACHUSETTS,MA,US,STATE,5,CASES
1966,39,MASSACHUSETTS,MA,US,STATE,5,CASES
1966,40,MASSACHUSETTS,MA,US,STATE,1,CASES
1966,41,MASSACHUSETTS,MA,US,STATE,6,CASES
1966,42,MASSACHUSETTS,MA,US,STATE,10,CASES
1966,43,MASSACHUSETTS,MA,US,STATE,9,CASES
1966,44,MASSACHUSETTS,MA,US,STATE,6,CASES
1966,45,MASSACHUSETTS,MA,US,STATE,5,CASES
1966,46,MASSACHUSETTS,MA,US,STATE,7,CASES
