year,week,loc,state,country,loc_type,number,event
1972,1,MARYLAND,MD,US,STATE,17,CASES
1972,3,MARYLAND,MD,US,STATE,37,CASES
1972,4,MARYLAND,MD,US,STATE,19,CASES
1972,5,MARYLAND,MD,US,STATE,22,CASES
1972,6,MARYLAND,MD,US,STATE,44,CASES
1972,7,MARYLAND,MD,US,STATE,32,CASES
1972,8,MARYLAND,MD,US,STATE,19,CASES
1972,10,MARYLAND,MD,US,STATE,43,CASES
1972,11,MARYLAND,MD,US,STATE,29,CASES
1972,12,MARYLAND,MD,US,STATE,41,CASES
1972,13,MARYLAND,MD,US,STATE,17,CASES
1972,14,MARYLAND,MD,US,STATE,79,CASES
1972,15,MARYLAND,MD,US,STATE,53,CASES
1972,16,MARYLAND,MD,US,STATE,64,CASES
1972,17,MARYLAND,MD,US,STATE,36,CASES
1972,18,MARYLAND,MD,US,STATE,32,CASES
1972,19,MARYLAND,MD,US,STATE,81,CASES
1972,20,MARYLAND,MD,US,STATE,11,CASES
1972,21,MARYLAND,MD,US,STATE,42,CASES
1972,23,MARYLAND,MD,US,STATE,55,CASES
1972,24,MARYLAND,MD,US,STATE,47,CASES
1972,26,MARYLAND,MD,US,STATE,35,CASES
1972,27,MARYLAND,MD,US,STATE,14,CASES
1972,28,MARYLAND,MD,US,STATE,2,CASES
1972,29,MARYLAND,MD,US,STATE,29,CASES
1972,30,MARYLAND,MD,US,STATE,7,CASES
1972,31,MARYLAND,MD,US,STATE,15,CASES
1972,32,MARYLAND,MD,US,STATE,2,CASES
1972,33,MARYLAND,MD,US,STATE,25,CASES
1972,37,MARYLAND,MD,US,STATE,1,CASES
1972,38,MARYLAND,MD,US,STATE,2,CASES
1972,39,MARYLAND,MD,US,STATE,1,CASES
1972,40,MARYLAND,MD,US,STATE,1,CASES
1972,41,MARYLAND,MD,US,STATE,3,CASES
1972,42,MARYLAND,MD,US,STATE,4,CASES
1972,43,MARYLAND,MD,US,STATE,7,CASES
1972,44,MARYLAND,MD,US,STATE,9,CASES
1972,45,MARYLAND,MD,US,STATE,13,CASES
1972,46,MARYLAND,MD,US,STATE,5,CASES
1972,48,MARYLAND,MD,US,STATE,12,CASES
1972,49,MARYLAND,MD,US,STATE,28,CASES
1972,50,MARYLAND,MD,US,STATE,11,CASES
1972,51,MARYLAND,MD,US,STATE,22,CASES
1973,1,MARYLAND,MD,US,STATE,24,CASES
1973,3,MARYLAND,MD,US,STATE,21,CASES
1973,4,MARYLAND,MD,US,STATE,22,CASES
1973,5,MARYLAND,MD,US,STATE,16,CASES
1973,6,MARYLAND,MD,US,STATE,35,CASES
1973,7,MARYLAND,MD,US,STATE,15,CASES
1973,8,MARYLAND,MD,US,STATE,23,CASES
1973,9,MARYLAND,MD,US,STATE,25,CASES
1973,11,MARYLAND,MD,US,STATE,39,CASES
1973,12,MARYLAND,MD,US,STATE,32,CASES
1973,13,MARYLAND,MD,US,STATE,62,CASES
1973,14,MARYLAND,MD,US,STATE,129,CASES
1973,15,MARYLAND,MD,US,STATE,57,CASES
1973,16,MARYLAND,MD,US,STATE,48,CASES
1973,17,MARYLAND,MD,US,STATE,25,CASES
1973,18,MARYLAND,MD,US,STATE,70,CASES
1973,19,MARYLAND,MD,US,STATE,48,CASES
1973,20,MARYLAND,MD,US,STATE,23,CASES
1973,21,MARYLAND,MD,US,STATE,36,CASES
1973,22,MARYLAND,MD,US,STATE,22,CASES
1973,23,MARYLAND,MD,US,STATE,37,CASES
1973,24,MARYLAND,MD,US,STATE,19,CASES
1973,25,MARYLAND,MD,US,STATE,22,CASES
1973,26,MARYLAND,MD,US,STATE,13,CASES
1973,27,MARYLAND,MD,US,STATE,5,CASES
1973,28,MARYLAND,MD,US,STATE,6,CASES
1973,29,MARYLAND,MD,US,STATE,8,CASES
1973,30,MARYLAND,MD,US,STATE,7,CASES
1973,32,MARYLAND,MD,US,STATE,1,CASES
1973,33,MARYLAND,MD,US,STATE,5,CASES
1973,34,MARYLAND,MD,US,STATE,2,CASES
1973,35,MARYLAND,MD,US,STATE,2,CASES
1973,37,MARYLAND,MD,US,STATE,1,CASES
1973,38,MARYLAND,MD,US,STATE,2,CASES
1973,41,MARYLAND,MD,US,STATE,2,CASES
1973,42,MARYLAND,MD,US,STATE,5,CASES
1973,43,MARYLAND,MD,US,STATE,1,CASES
1973,44,MARYLAND,MD,US,STATE,1,CASES
1973,45,MARYLAND,MD,US,STATE,1,CASES
1973,46,MARYLAND,MD,US,STATE,3,CASES
1973,47,MARYLAND,MD,US,STATE,1,CASES
1973,48,MARYLAND,MD,US,STATE,1,CASES
1973,49,MARYLAND,MD,US,STATE,19,CASES
1973,50,MARYLAND,MD,US,STATE,1,CASES
1973,51,MARYLAND,MD,US,STATE,25,CASES
1974,1,MARYLAND,MD,US,STATE,7,CASES
1974,2,MARYLAND,MD,US,STATE,7,CASES
1974,3,MARYLAND,MD,US,STATE,7,CASES
1974,4,MARYLAND,MD,US,STATE,4,CASES
1974,5,MARYLAND,MD,US,STATE,6,CASES
1974,7,MARYLAND,MD,US,STATE,2,CASES
1974,8,MARYLAND,MD,US,STATE,11,CASES
1974,9,MARYLAND,MD,US,STATE,3,CASES
1974,10,MARYLAND,MD,US,STATE,6,CASES
1974,11,MARYLAND,MD,US,STATE,3,CASES
1974,12,MARYLAND,MD,US,STATE,5,CASES
1974,13,MARYLAND,MD,US,STATE,5,CASES
1974,14,MARYLAND,MD,US,STATE,6,CASES
1974,15,MARYLAND,MD,US,STATE,6,CASES
1974,16,MARYLAND,MD,US,STATE,5,CASES
1974,17,MARYLAND,MD,US,STATE,17,CASES
1974,18,MARYLAND,MD,US,STATE,3,CASES
1974,19,MARYLAND,MD,US,STATE,7,CASES
1974,20,MARYLAND,MD,US,STATE,2,CASES
1974,21,MARYLAND,MD,US,STATE,20,CASES
1974,22,MARYLAND,MD,US,STATE,2,CASES
1974,23,MARYLAND,MD,US,STATE,7,CASES
1974,24,MARYLAND,MD,US,STATE,3,CASES
1974,25,MARYLAND,MD,US,STATE,9,CASES
1974,26,MARYLAND,MD,US,STATE,1,CASES
1974,27,MARYLAND,MD,US,STATE,3,CASES
1974,28,MARYLAND,MD,US,STATE,5,CASES
1974,29,MARYLAND,MD,US,STATE,6,CASES
