year,week,loc,state,country,loc_type,number,event
1968,1,MARYLAND,MD,US,STATE,8,CASES
1968,2,MARYLAND,MD,US,STATE,51,CASES
1968,3,MARYLAND,MD,US,STATE,39,CASES
1968,4,MARYLAND,MD,US,STATE,21,CASES
1968,5,MARYLAND,MD,US,STATE,31,CASES
1968,6,MARYLAND,MD,US,STATE,42,CASES
1968,7,MARYLAND,MD,US,STATE,22,CASES
1968,8,MARYLAND,MD,US,STATE,58,CASES
1968,9,MARYLAND,MD,US,STATE,23,CASES
1968,11,MARYLAND,MD,US,STATE,23,CASES
1968,12,MARYLAND,MD,US,STATE,52,CASES
1968,13,MARYLAND,MD,US,STATE,34,CASES
1968,14,MARYLAND,MD,US,STATE,40,CASES
1968,15,MARYLAND,MD,US,STATE,33,CASES
1968,16,MARYLAND,MD,US,STATE,21,CASES
1968,17,MARYLAND,MD,US,STATE,48,CASES
1968,18,MARYLAND,MD,US,STATE,35,CASES
1968,19,MARYLAND,MD,US,STATE,29,CASES
1968,20,MARYLAND,MD,US,STATE,40,CASES
1968,21,MARYLAND,MD,US,STATE,43,CASES
1968,22,MARYLAND,MD,US,STATE,27,CASES
1968,23,MARYLAND,MD,US,STATE,19,CASES
1968,24,MARYLAND,MD,US,STATE,35,CASES
1968,25,MARYLAND,MD,US,STATE,29,CASES
1968,26,MARYLAND,MD,US,STATE,3,CASES
1968,27,MARYLAND,MD,US,STATE,15,CASES
1968,28,MARYLAND,MD,US,STATE,27,CASES
1968,29,MARYLAND,MD,US,STATE,17,CASES
1968,30,MARYLAND,MD,US,STATE,15,CASES
1968,31,MARYLAND,MD,US,STATE,17,CASES
1968,32,MARYLAND,MD,US,STATE,6,CASES
1968,33,MARYLAND,MD,US,STATE,5,CASES
1968,34,MARYLAND,MD,US,STATE,9,CASES
1968,35,MARYLAND,MD,US,STATE,6,CASES
1968,36,MARYLAND,MD,US,STATE,6,CASES
1968,37,MARYLAND,MD,US,STATE,13,CASES
1968,38,MARYLAND,MD,US,STATE,7,CASES
1968,39,MARYLAND,MD,US,STATE,6,CASES
1968,40,MARYLAND,MD,US,STATE,8,CASES
1968,41,MARYLAND,MD,US,STATE,11,CASES
1968,42,MARYLAND,MD,US,STATE,1,CASES
1968,43,MARYLAND,MD,US,STATE,10,CASES
1968,44,MARYLAND,MD,US,STATE,7,CASES
1968,45,MARYLAND,MD,US,STATE,16,CASES
1968,46,MARYLAND,MD,US,STATE,6,CASES
1968,47,MARYLAND,MD,US,STATE,14,CASES
1968,48,MARYLAND,MD,US,STATE,16,CASES
1968,49,MARYLAND,MD,US,STATE,18,CASES
1968,50,MARYLAND,MD,US,STATE,6,CASES
1968,51,MARYLAND,MD,US,STATE,28,CASES
1968,52,MARYLAND,MD,US,STATE,4,CASES
1969,1,MARYLAND,MD,US,STATE,23,CASES
1969,2,MARYLAND,MD,US,STATE,13,CASES
1969,3,MARYLAND,MD,US,STATE,16,CASES
1969,4,MARYLAND,MD,US,STATE,15,CASES
1969,5,MARYLAND,MD,US,STATE,11,CASES
1969,6,MARYLAND,MD,US,STATE,12,CASES
1969,7,MARYLAND,MD,US,STATE,9,CASES
1969,8,MARYLAND,MD,US,STATE,9,CASES
1969,9,MARYLAND,MD,US,STATE,10,CASES
1969,10,MARYLAND,MD,US,STATE,16,CASES
1969,13,MARYLAND,MD,US,STATE,19,CASES
1969,14,MARYLAND,MD,US,STATE,15,CASES
1969,15,MARYLAND,MD,US,STATE,11,CASES
1969,16,MARYLAND,MD,US,STATE,18,CASES
1969,17,MARYLAND,MD,US,STATE,18,CASES
1969,18,MARYLAND,MD,US,STATE,32,CASES
1969,19,MARYLAND,MD,US,STATE,26,CASES
1969,20,MARYLAND,MD,US,STATE,12,CASES
1969,21,MARYLAND,MD,US,STATE,12,CASES
1969,22,MARYLAND,MD,US,STATE,8,CASES
1969,23,MARYLAND,MD,US,STATE,24,CASES
1969,24,MARYLAND,MD,US,STATE,25,CASES
1969,25,MARYLAND,MD,US,STATE,9,CASES
1969,26,MARYLAND,MD,US,STATE,9,CASES
1969,27,MARYLAND,MD,US,STATE,8,CASES
1969,28,MARYLAND,MD,US,STATE,5,CASES
1969,29,MARYLAND,MD,US,STATE,25,CASES
1969,30,MARYLAND,MD,US,STATE,8,CASES
1969,31,MARYLAND,MD,US,STATE,2,CASES
1969,32,MARYLAND,MD,US,STATE,4,CASES
1969,33,MARYLAND,MD,US,STATE,5,CASES
1969,34,MARYLAND,MD,US,STATE,12,CASES
1969,35,MARYLAND,MD,US,STATE,6,CASES
1969,36,MARYLAND,MD,US,STATE,9,CASES
1969,37,MARYLAND,MD,US,STATE,4,CASES
1969,38,MARYLAND,MD,US,STATE,7,CASES
1969,39,MARYLAND,MD,US,STATE,3,CASES
1969,40,MARYLAND,MD,US,STATE,5,CASES
1969,41,MARYLAND,MD,US,STATE,11,CASES
1969,42,MARYLAND,MD,US,STATE,5,CASES
1969,43,MARYLAND,MD,US,STATE,9,CASES
1969,44,MARYLAND,MD,US,STATE,8,CASES
1969,45,MARYLAND,MD,US,STATE,6,CASES
1969,46,MARYLAND,MD,US,STATE,4,CASES
1969,47,MARYLAND,MD,US,STATE,7,CASES
1969,48,MARYLAND,MD,US,STATE,8,CASES
1969,49,MARYLAND,MD,US,STATE,10,CASES
1969,50,MARYLAND,MD,US,STATE,16,CASES
1969,51,MARYLAND,MD,US,STATE,8,CASES
1969,52,MARYLAND,MD,US,STATE,15,CASES
1970,1,MARYLAND,MD,US,STATE,12,CASES
1970,2,MARYLAND,MD,US,STATE,18,CASES
1970,3,MARYLAND,MD,US,STATE,20,CASES
1970,4,MARYLAND,MD,US,STATE,6,CASES
1970,5,MARYLAND,MD,US,STATE,35,CASES
1970,6,MARYLAND,MD,US,STATE,10,CASES
1970,7,MARYLAND,MD,US,STATE,23,CASES
1970,8,MARYLAND,MD,US,STATE,20,CASES
1970,9,MARYLAND,MD,US,STATE,13,CASES
1970,10,MARYLAND,MD,US,STATE,21,CASES
1970,11,MARYLAND,MD,US,STATE,15,CASES
1970,12,MARYLAND,MD,US,STATE,15,CASES
1970,13,MARYLAND,MD,US,STATE,27,CASES
1970,14,MARYLAND,MD,US,STATE,39,CASES
1970,15,MARYLAND,MD,US,STATE,35,CASES
1970,16,MARYLAND,MD,US,STATE,35,CASES
1970,17,MARYLAND,MD,US,STATE,32,CASES
1970,18,MARYLAND,MD,US,STATE,35,CASES
1970,19,MARYLAND,MD,US,STATE,35,CASES
1970,20,MARYLAND,MD,US,STATE,44,CASES
1970,21,MARYLAND,MD,US,STATE,30,CASES
1970,22,MARYLAND,MD,US,STATE,41,CASES
1970,23,MARYLAND,MD,US,STATE,44,CASES
1970,24,MARYLAND,MD,US,STATE,71,CASES
1970,25,MARYLAND,MD,US,STATE,35,CASES
1970,26,MARYLAND,MD,US,STATE,67,CASES
1970,27,MARYLAND,MD,US,STATE,17,CASES
1970,28,MARYLAND,MD,US,STATE,33,CASES
1970,29,MARYLAND,MD,US,STATE,18,CASES
1970,30,MARYLAND,MD,US,STATE,24,CASES
1970,31,MARYLAND,MD,US,STATE,3,CASES
1970,32,MARYLAND,MD,US,STATE,13,CASES
1970,33,MARYLAND,MD,US,STATE,17,CASES
1970,34,MARYLAND,MD,US,STATE,14,CASES
1970,35,MARYLAND,MD,US,STATE,8,CASES
1970,36,MARYLAND,MD,US,STATE,6,CASES
1970,37,MARYLAND,MD,US,STATE,11,CASES
1970,38,MARYLAND,MD,US,STATE,4,CASES
1970,39,MARYLAND,MD,US,STATE,5,CASES
1970,40,MARYLAND,MD,US,STATE,3,CASES
1970,41,MARYLAND,MD,US,STATE,6,CASES
1970,42,MARYLAND,MD,US,STATE,8,CASES
1970,43,MARYLAND,MD,US,STATE,12,CASES
1970,45,MARYLAND,MD,US,STATE,18,CASES
1970,46,MARYLAND,MD,US,STATE,17,CASES
1970,47,MARYLAND,MD,US,STATE,19,CASES
1970,48,MARYLAND,MD,US,STATE,21,CASES
1970,49,MARYLAND,MD,US,STATE,15,CASES
1970,50,MARYLAND,MD,US,STATE,38,CASES
1970,51,MARYLAND,MD,US,STATE,21,CASES
1970,52,MARYLAND,MD,US,STATE,11,CASES
1971,1,MARYLAND,MD,US,STATE,32,CASES
1971,2,MARYLAND,MD,US,STATE,32,CASES
1971,3,MARYLAND,MD,US,STATE,22,CASES
1971,4,MARYLAND,MD,US,STATE,31,CASES
1971,5,MARYLAND,MD,US,STATE,43,CASES
1971,6,MARYLAND,MD,US,STATE,27,CASES
1971,7,MARYLAND,MD,US,STATE,26,CASES
1971,9,MARYLAND,MD,US,STATE,16,CASES
1971,10,MARYLAND,MD,US,STATE,27,CASES
1971,11,MARYLAND,MD,US,STATE,10,CASES
1971,12,MARYLAND,MD,US,STATE,13,CASES
1971,13,MARYLAND,MD,US,STATE,17,CASES
1971,14,MARYLAND,MD,US,STATE,17,CASES
1971,15,MARYLAND,MD,US,STATE,10,CASES
1971,16,MARYLAND,MD,US,STATE,13,CASES
1971,17,MARYLAND,MD,US,STATE,16,CASES
1971,18,MARYLAND,MD,US,STATE,17,CASES
1971,19,MARYLAND,MD,US,STATE,21,CASES
1971,20,MARYLAND,MD,US,STATE,22,CASES
1971,21,MARYLAND,MD,US,STATE,26,CASES
1971,22,MARYLAND,MD,US,STATE,22,CASES
1971,23,MARYLAND,MD,US,STATE,27,CASES
1971,24,MARYLAND,MD,US,STATE,20,CASES
1971,25,MARYLAND,MD,US,STATE,11,CASES
1971,26,MARYLAND,MD,US,STATE,8,CASES
1971,27,MARYLAND,MD,US,STATE,11,CASES
1971,28,MARYLAND,MD,US,STATE,36,CASES
1971,29,MARYLAND,MD,US,STATE,6,CASES
1971,30,MARYLAND,MD,US,STATE,19,CASES
1971,31,MARYLAND,MD,US,STATE,7,CASES
1971,32,MARYLAND,MD,US,STATE,9,CASES
1971,33,MARYLAND,MD,US,STATE,6,CASES
1971,34,MARYLAND,MD,US,STATE,3,CASES
1971,35,MARYLAND,MD,US,STATE,8,CASES
1971,36,MARYLAND,MD,US,STATE,7,CASES
1971,37,MARYLAND,MD,US,STATE,8,CASES
1971,38,MARYLAND,MD,US,STATE,16,CASES
1971,40,MARYLAND,MD,US,STATE,1,CASES
1971,41,MARYLAND,MD,US,STATE,14,CASES
1971,42,MARYLAND,MD,US,STATE,9,CASES
1971,43,MARYLAND,MD,US,STATE,2,CASES
1971,44,MARYLAND,MD,US,STATE,6,CASES
