year,week,loc,state,country,loc_type,number,event
1966,1,MARYLAND,MD,US,STATE,6,CASES
1966,2,MARYLAND,MD,US,STATE,5,CASES
1966,3,MARYLAND,MD,US,STATE,1,CASES
1966,4,MARYLAND,MD,US,STATE,10,CASES
1966,5,MARYLAND,MD,US,STATE,5,CASES
1966,6,MARYLAND,MD,US,STATE,6,CASES
1966,7,MARYLAND,MD,US,STATE,19,CASES
1966,8,MARYLAND,MD,US,STATE,1,CASES
1966,9,MARYLAND,MD,US,STATE,17,CASES
1966,10,MARYLAND,MD,US,STATE,5,CASES
1966,11,MARYLAND,MD,US,STATE,35,CASES
1966,12,MARYLAND,MD,US,STATE,36,CASES
1966,13,MARYLAND,MD,US,STATE,9,CASES
1966,14,MARYLAND,MD,US,STATE,15,CASES
1966,15,MARYLAND,MD,US,STATE,12,CASES
1966,16,MARYLAND,MD,US,STATE,7,CASES
1966,17,MARYLAND,MD,US,STATE,20,CASES
1966,18,MARYLAND,MD,US,STATE,4,CASES
1966,19,MARYLAND,MD,US,STATE,23,CASES
1966,20,MARYLAND,MD,US,STATE,18,CASES
1966,21,MARYLAND,MD,US,STATE,26,CASES
1966,22,MARYLAND,MD,US,STATE,11,CASES
1966,23,MARYLAND,MD,US,STATE,5,CASES
1966,24,MARYLAND,MD,US,STATE,14,CASES
1966,25,MARYLAND,MD,US,STATE,5,CASES
1966,26,MARYLAND,MD,US,STATE,9,CASES
1966,27,MARYLAND,MD,US,STATE,7,CASES
1966,28,MARYLAND,MD,US,STATE,9,CASES
1966,29,MARYLAND,MD,US,STATE,4,CASES
1966,30,MARYLAND,MD,US,STATE,2,CASES
1966,31,MARYLAND,MD,US,STATE,2,CASES
1966,32,MARYLAND,MD,US,STATE,4,CASES
1966,33,MARYLAND,MD,US,STATE,2,CASES
1966,34,MARYLAND,MD,US,STATE,6,CASES
1966,36,MARYLAND,MD,US,STATE,1,CASES
1966,37,MARYLAND,MD,US,STATE,2,CASES
1966,38,MARYLAND,MD,US,STATE,1,CASES
1966,40,MARYLAND,MD,US,STATE,1,CASES
1966,41,MARYLAND,MD,US,STATE,1,CASES
1966,42,MARYLAND,MD,US,STATE,7,CASES
1966,43,MARYLAND,MD,US,STATE,2,CASES
1966,44,MARYLAND,MD,US,STATE,3,CASES
1966,46,MARYLAND,MD,US,STATE,2,CASES
1966,47,MARYLAND,MD,US,STATE,7,CASES
1966,48,MARYLAND,MD,US,STATE,1,CASES
1966,50,MARYLAND,MD,US,STATE,3,CASES
1966,51,MARYLAND,MD,US,STATE,5,CASES
1966,52,MARYLAND,MD,US,STATE,1,CASES
1967,1,MARYLAND,MD,US,STATE,10,CASES
1967,2,MARYLAND,MD,US,STATE,3,CASES
1967,3,MARYLAND,MD,US,STATE,1,CASES
1967,4,MARYLAND,MD,US,STATE,1,CASES
1967,5,MARYLAND,MD,US,STATE,1,CASES
1967,6,MARYLAND,MD,US,STATE,9,CASES
1967,7,MARYLAND,MD,US,STATE,77,CASES
1967,8,MARYLAND,MD,US,STATE,5,CASES
1967,9,MARYLAND,MD,US,STATE,46,CASES
1967,10,MARYLAND,MD,US,STATE,85,CASES
1967,11,MARYLAND,MD,US,STATE,44,CASES
1967,12,MARYLAND,MD,US,STATE,8,CASES
1967,13,MARYLAND,MD,US,STATE,15,CASES
1967,14,MARYLAND,MD,US,STATE,55,CASES
1967,15,MARYLAND,MD,US,STATE,15,CASES
1967,16,MARYLAND,MD,US,STATE,12,CASES
1967,17,MARYLAND,MD,US,STATE,18,CASES
1967,19,MARYLAND,MD,US,STATE,15,CASES
1967,20,MARYLAND,MD,US,STATE,15,CASES
1967,21,MARYLAND,MD,US,STATE,18,CASES
1967,23,MARYLAND,MD,US,STATE,16,CASES
1967,24,MARYLAND,MD,US,STATE,11,CASES
1967,25,MARYLAND,MD,US,STATE,12,CASES
1967,26,MARYLAND,MD,US,STATE,3,CASES
1967,27,MARYLAND,MD,US,STATE,6,CASES
1967,28,MARYLAND,MD,US,STATE,3,CASES
1967,29,MARYLAND,MD,US,STATE,2,CASES
1967,30,MARYLAND,MD,US,STATE,10,CASES
1967,31,MARYLAND,MD,US,STATE,2,CASES
1967,34,MARYLAND,MD,US,STATE,2,CASES
1967,35,MARYLAND,MD,US,STATE,2,CASES
1967,38,MARYLAND,MD,US,STATE,3,CASES
1967,39,MARYLAND,MD,US,STATE,1,CASES
1967,40,MARYLAND,MD,US,STATE,1,CASES
1967,42,MARYLAND,MD,US,STATE,2,CASES
1967,43,MARYLAND,MD,US,STATE,6,CASES
1967,45,MARYLAND,MD,US,STATE,4,CASES
1967,47,MARYLAND,MD,US,STATE,2,CASES
1967,50,MARYLAND,MD,US,STATE,30,CASES
1967,51,MARYLAND,MD,US,STATE,2,CASES
1967,52,MARYLAND,MD,US,STATE,8,CASES
1968,1,MARYLAND,MD,US,STATE,1,CASES
1968,2,MARYLAND,MD,US,STATE,1,CASES
1968,3,MARYLAND,MD,US,STATE,5,CASES
1968,4,MARYLAND,MD,US,STATE,2,CASES
1968,5,MARYLAND,MD,US,STATE,3,CASES
1968,6,MARYLAND,MD,US,STATE,2,CASES
1968,7,MARYLAND,MD,US,STATE,7,CASES
1968,8,MARYLAND,MD,US,STATE,12,CASES
1968,9,MARYLAND,MD,US,STATE,13,CASES
1968,10,MARYLAND,MD,US,STATE,18,CASES
1968,11,MARYLAND,MD,US,STATE,41,CASES
1968,12,MARYLAND,MD,US,STATE,40,CASES
1968,13,MARYLAND,MD,US,STATE,14,CASES
