year,week,loc,state,country,loc_type,number,event
1972,1,MAINE,ME,US,STATE,33,CASES
1972,3,MAINE,ME,US,STATE,31,CASES
1972,4,MAINE,ME,US,STATE,56,CASES
1972,5,MAINE,ME,US,STATE,10,CASES
1972,6,MAINE,ME,US,STATE,99,CASES
1972,7,MAINE,ME,US,STATE,75,CASES
1972,8,MAINE,ME,US,STATE,49,CASES
1972,9,MAINE,ME,US,STATE,60,CASES
1972,10,MAINE,ME,US,STATE,91,CASES
1972,11,MAINE,ME,US,STATE,71,CASES
1972,12,MAINE,ME,US,STATE,18,CASES
1972,13,MAINE,ME,US,STATE,33,CASES
1972,14,MAINE,ME,US,STATE,63,CASES
1972,15,MAINE,ME,US,STATE,45,CASES
1972,16,MAINE,ME,US,STATE,26,CASES
1972,17,MAINE,ME,US,STATE,32,CASES
1972,18,MAINE,ME,US,STATE,87,CASES
1972,19,MAINE,ME,US,STATE,43,CASES
1972,20,MAINE,ME,US,STATE,85,CASES
1972,21,MAINE,ME,US,STATE,39,CASES
1972,23,MAINE,ME,US,STATE,15,CASES
1972,25,MAINE,ME,US,STATE,11,CASES
1972,26,MAINE,ME,US,STATE,6,CASES
1972,27,MAINE,ME,US,STATE,6,CASES
1972,28,MAINE,ME,US,STATE,8,CASES
1972,29,MAINE,ME,US,STATE,3,CASES
1972,30,MAINE,ME,US,STATE,5,CASES
1972,31,MAINE,ME,US,STATE,3,CASES
1972,32,MAINE,ME,US,STATE,2,CASES
1972,39,MAINE,ME,US,STATE,1,CASES
1972,40,MAINE,ME,US,STATE,1,CASES
1972,41,MAINE,ME,US,STATE,1,CASES
1972,42,MAINE,ME,US,STATE,1,CASES
1972,43,MAINE,ME,US,STATE,1,CASES
1972,44,MAINE,ME,US,STATE,1,CASES
1972,45,MAINE,ME,US,STATE,1,CASES
1972,46,MAINE,ME,US,STATE,4,CASES
1972,47,MAINE,ME,US,STATE,11,CASES
1972,48,MAINE,ME,US,STATE,16,CASES
1972,49,MAINE,ME,US,STATE,7,CASES
1972,50,MAINE,ME,US,STATE,38,CASES
1972,51,MAINE,ME,US,STATE,1,CASES
1973,1,MAINE,ME,US,STATE,88,CASES
1973,3,MAINE,ME,US,STATE,28,CASES
1973,4,MAINE,ME,US,STATE,25,CASES
1973,5,MAINE,ME,US,STATE,8,CASES
1973,6,MAINE,ME,US,STATE,60,CASES
1973,8,MAINE,ME,US,STATE,7,CASES
1973,9,MAINE,ME,US,STATE,24,CASES
1973,10,MAINE,ME,US,STATE,30,CASES
1973,11,MAINE,ME,US,STATE,8,CASES
1973,12,MAINE,ME,US,STATE,15,CASES
1973,13,MAINE,ME,US,STATE,12,CASES
1973,14,MAINE,ME,US,STATE,6,CASES
1973,17,MAINE,ME,US,STATE,29,CASES
1973,18,MAINE,ME,US,STATE,43,CASES
1973,19,MAINE,ME,US,STATE,24,CASES
1973,20,MAINE,ME,US,STATE,8,CASES
1973,22,MAINE,ME,US,STATE,18,CASES
1973,23,MAINE,ME,US,STATE,8,CASES
1973,24,MAINE,ME,US,STATE,1,CASES
1973,25,MAINE,ME,US,STATE,4,CASES
1973,26,MAINE,ME,US,STATE,4,CASES
1973,27,MAINE,ME,US,STATE,7,CASES
1973,28,MAINE,ME,US,STATE,2,CASES
1973,29,MAINE,ME,US,STATE,1,CASES
1973,30,MAINE,ME,US,STATE,1,CASES
1973,34,MAINE,ME,US,STATE,2,CASES
1973,43,MAINE,ME,US,STATE,2,CASES
1973,46,MAINE,ME,US,STATE,3,CASES
1973,47,MAINE,ME,US,STATE,1,CASES
1973,49,MAINE,ME,US,STATE,10,CASES
1973,52,MAINE,ME,US,STATE,5,CASES
1974,1,MAINE,ME,US,STATE,10,CASES
1974,2,MAINE,ME,US,STATE,22,CASES
1974,3,MAINE,ME,US,STATE,19,CASES
1974,4,MAINE,ME,US,STATE,3,CASES
1974,5,MAINE,ME,US,STATE,14,CASES
1974,6,MAINE,ME,US,STATE,6,CASES
1974,8,MAINE,ME,US,STATE,8,CASES
1974,9,MAINE,ME,US,STATE,10,CASES
1974,10,MAINE,ME,US,STATE,14,CASES
1974,11,MAINE,ME,US,STATE,7,CASES
1974,12,MAINE,ME,US,STATE,27,CASES
1974,13,MAINE,ME,US,STATE,6,CASES
1974,14,MAINE,ME,US,STATE,15,CASES
1974,16,MAINE,ME,US,STATE,5,CASES
1974,17,MAINE,ME,US,STATE,9,CASES
1974,18,MAINE,ME,US,STATE,5,CASES
1974,19,MAINE,ME,US,STATE,5,CASES
1974,20,MAINE,ME,US,STATE,10,CASES
1974,22,MAINE,ME,US,STATE,2,CASES
1974,23,MAINE,ME,US,STATE,10,CASES
1974,24,MAINE,ME,US,STATE,7,CASES
1974,25,MAINE,ME,US,STATE,1,CASES
1974,26,MAINE,ME,US,STATE,7,CASES
1974,27,MAINE,ME,US,STATE,1,CASES
1974,28,MAINE,ME,US,STATE,5,CASES
1974,30,MAINE,ME,US,STATE,3,CASES
1974,31,MAINE,ME,US,STATE,3,CASES
1974,32,MAINE,ME,US,STATE,1,CASES
1974,37,MAINE,ME,US,STATE,1,CASES
1974,42,MAINE,ME,US,STATE,1,CASES
1974,43,MAINE,ME,US,STATE,4,CASES
1974,46,MAINE,ME,US,STATE,8,CASES
1974,48,MAINE,ME,US,STATE,9,CASES
1974,49,MAINE,ME,US,STATE,47,CASES
1974,50,MAINE,ME,US,STATE,27,CASES
1974,51,MAINE,ME,US,STATE,13,CASES
1975,1,MAINE,ME,US,STATE,6,CASES
1975,2,MAINE,ME,US,STATE,4,CASES
1975,3,MAINE,ME,US,STATE,9,CASES
1975,4,MAINE,ME,US,STATE,10,CASES
1975,5,MAINE,ME,US,STATE,3,CASES
1975,6,MAINE,ME,US,STATE,9,CASES
1975,7,MAINE,ME,US,STATE,2,CASES
1975,8,MAINE,ME,US,STATE,26,CASES
1975,11,MAINE,ME,US,STATE,10,CASES
1975,14,MAINE,ME,US,STATE,8,CASES
1975,16,MAINE,ME,US,STATE,3,CASES
1975,17,MAINE,ME,US,STATE,12,CASES
1975,18,MAINE,ME,US,STATE,16,CASES
1975,19,MAINE,ME,US,STATE,3,CASES
1975,20,MAINE,ME,US,STATE,6,CASES
1975,21,MAINE,ME,US,STATE,7,CASES
1975,23,MAINE,ME,US,STATE,4,CASES
1975,25,MAINE,ME,US,STATE,1,CASES
1975,29,MAINE,ME,US,STATE,2,CASES
1975,32,MAINE,ME,US,STATE,1,CASES
1975,34,MAINE,ME,US,STATE,2,CASES
1975,36,MAINE,ME,US,STATE,1,CASES
1975,38,MAINE,ME,US,STATE,2,CASES
1975,40,MAINE,ME,US,STATE,2,CASES
1975,41,MAINE,ME,US,STATE,2,CASES
1975,42,MAINE,ME,US,STATE,18,CASES
1975,43,MAINE,ME,US,STATE,7,CASES
1975,45,MAINE,ME,US,STATE,4,CASES
1975,46,MAINE,ME,US,STATE,3,CASES
1975,48,MAINE,ME,US,STATE,10,CASES
1975,49,MAINE,ME,US,STATE,1,CASES
1975,50,MAINE,ME,US,STATE,2,CASES
1976,1,MAINE,ME,US,STATE,4,CASES
1976,2,MAINE,ME,US,STATE,14,CASES
1976,3,MAINE,ME,US,STATE,10,CASES
1976,4,MAINE,ME,US,STATE,5,CASES
1976,5,MAINE,ME,US,STATE,13,CASES
1976,6,MAINE,ME,US,STATE,9,CASES
1976,7,MAINE,ME,US,STATE,6,CASES
1976,8,MAINE,ME,US,STATE,5,CASES
1976,9,MAINE,ME,US,STATE,30,CASES
1976,10,MAINE,ME,US,STATE,15,CASES
1976,11,MAINE,ME,US,STATE,9,CASES
1976,12,MAINE,ME,US,STATE,43,CASES
1976,13,MAINE,ME,US,STATE,23,CASES
1976,14,MAINE,ME,US,STATE,24,CASES
1976,15,MAINE,ME,US,STATE,19,CASES
1976,16,MAINE,ME,US,STATE,11,CASES
1976,17,MAINE,ME,US,STATE,13,CASES
1976,18,MAINE,ME,US,STATE,25,CASES
1976,19,MAINE,ME,US,STATE,65,CASES
1976,20,MAINE,ME,US,STATE,22,CASES
1976,21,MAINE,ME,US,STATE,15,CASES
1976,22,MAINE,ME,US,STATE,40,CASES
1976,23,MAINE,ME,US,STATE,13,CASES
1976,24,MAINE,ME,US,STATE,10,CASES
1976,25,MAINE,ME,US,STATE,72,CASES
1976,26,MAINE,ME,US,STATE,20,CASES
1976,27,MAINE,ME,US,STATE,5,CASES
1976,28,MAINE,ME,US,STATE,9,CASES
1976,29,MAINE,ME,US,STATE,16,CASES
1976,30,MAINE,ME,US,STATE,3,CASES
1976,31,MAINE,ME,US,STATE,9,CASES
1976,33,MAINE,ME,US,STATE,1,CASES
1976,34,MAINE,ME,US,STATE,2,CASES
1976,36,MAINE,ME,US,STATE,2,CASES
1976,37,MAINE,ME,US,STATE,3,CASES
1976,38,MAINE,ME,US,STATE,5,CASES
1976,39,MAINE,ME,US,STATE,1,CASES
1976,40,MAINE,ME,US,STATE,5,CASES
1976,41,MAINE,ME,US,STATE,1,CASES
1976,42,MAINE,ME,US,STATE,3,CASES
1976,43,MAINE,ME,US,STATE,4,CASES
1976,44,MAINE,ME,US,STATE,5,CASES
1976,45,MAINE,ME,US,STATE,13,CASES
1976,46,MAINE,ME,US,STATE,15,CASES
1976,47,MAINE,ME,US,STATE,12,CASES
1976,48,MAINE,ME,US,STATE,14,CASES
1976,49,MAINE,ME,US,STATE,13,CASES
1976,50,MAINE,ME,US,STATE,5,CASES
1976,51,MAINE,ME,US,STATE,10,CASES
1976,52,MAINE,ME,US,STATE,7,CASES
1977,2,MAINE,ME,US,STATE,54,CASES
1977,3,MAINE,ME,US,STATE,2,CASES
1977,4,MAINE,ME,US,STATE,21,CASES
1977,5,MAINE,ME,US,STATE,14,CASES
1977,6,MAINE,ME,US,STATE,3,CASES
1977,7,MAINE,ME,US,STATE,11,CASES
1977,8,MAINE,ME,US,STATE,1,CASES
1977,9,MAINE,ME,US,STATE,13,CASES
1977,10,MAINE,ME,US,STATE,10,CASES
1977,11,MAINE,ME,US,STATE,7,CASES
1977,12,MAINE,ME,US,STATE,3,CASES
1977,13,MAINE,ME,US,STATE,7,CASES
1977,14,MAINE,ME,US,STATE,12,CASES
1977,15,MAINE,ME,US,STATE,4,CASES
1977,16,MAINE,ME,US,STATE,13,CASES
1977,17,MAINE,ME,US,STATE,11,CASES
1977,18,MAINE,ME,US,STATE,20,CASES
1977,19,MAINE,ME,US,STATE,5,CASES
1977,20,MAINE,ME,US,STATE,10,CASES
1977,21,MAINE,ME,US,STATE,14,CASES
1977,22,MAINE,ME,US,STATE,43,CASES
1977,23,MAINE,ME,US,STATE,1,CASES
1977,24,MAINE,ME,US,STATE,11,CASES
1977,25,MAINE,ME,US,STATE,5,CASES
1977,26,MAINE,ME,US,STATE,4,CASES
1977,27,MAINE,ME,US,STATE,5,CASES
1977,28,MAINE,ME,US,STATE,19,CASES
1977,29,MAINE,ME,US,STATE,13,CASES
1977,31,MAINE,ME,US,STATE,1,CASES
1977,32,MAINE,ME,US,STATE,2,CASES
1977,33,MAINE,ME,US,STATE,11,CASES
1977,35,MAINE,ME,US,STATE,1,CASES
1977,36,MAINE,ME,US,STATE,1,CASES
1977,38,MAINE,ME,US,STATE,1,CASES
1977,39,MAINE,ME,US,STATE,1,CASES
1977,40,MAINE,ME,US,STATE,5,CASES
1977,41,MAINE,ME,US,STATE,1,CASES
1977,42,MAINE,ME,US,STATE,7,CASES
1977,43,MAINE,ME,US,STATE,13,CASES
1977,44,MAINE,ME,US,STATE,1,CASES
1977,45,MAINE,ME,US,STATE,5,CASES
1977,46,MAINE,ME,US,STATE,24,CASES
1977,47,MAINE,ME,US,STATE,6,CASES
1977,48,MAINE,ME,US,STATE,18,CASES
1977,49,MAINE,ME,US,STATE,19,CASES
1977,50,MAINE,ME,US,STATE,46,CASES
1977,51,MAINE,ME,US,STATE,36,CASES
1977,52,MAINE,ME,US,STATE,18,CASES
1978,1,MAINE,ME,US,STATE,93,CASES
1978,2,MAINE,ME,US,STATE,36,CASES
1978,3,MAINE,ME,US,STATE,30,CASES
1978,4,MAINE,ME,US,STATE,78,CASES
1978,5,MAINE,ME,US,STATE,30,CASES
