year,week,loc,state,country,loc_type,number,event
1937,43,MAINE,ME,US,STATE,16,CASES
1937,44,MAINE,ME,US,STATE,78,CASES
1937,45,MAINE,ME,US,STATE,24,CASES
1937,46,MAINE,ME,US,STATE,34,CASES
1937,47,MAINE,ME,US,STATE,39,CASES
1937,48,MAINE,ME,US,STATE,33,CASES
1937,49,MAINE,ME,US,STATE,55,CASES
1937,50,MAINE,ME,US,STATE,25,CASES
1937,51,MAINE,ME,US,STATE,11,CASES
1938,1,MAINE,ME,US,STATE,131,CASES
1938,2,MAINE,ME,US,STATE,57,CASES
1938,3,MAINE,ME,US,STATE,68,CASES
1938,4,MAINE,ME,US,STATE,55,CASES
1938,5,MAINE,ME,US,STATE,71,CASES
1938,6,MAINE,ME,US,STATE,61,CASES
1938,7,MAINE,ME,US,STATE,52,CASES
1938,8,MAINE,ME,US,STATE,27,CASES
1938,9,MAINE,ME,US,STATE,89,CASES
1938,10,MAINE,ME,US,STATE,54,CASES
1938,11,MAINE,ME,US,STATE,69,CASES
1938,12,MAINE,ME,US,STATE,52,CASES
1938,13,MAINE,ME,US,STATE,32,CASES
1938,14,MAINE,ME,US,STATE,69,CASES
1938,15,MAINE,ME,US,STATE,57,CASES
1938,16,MAINE,ME,US,STATE,33,CASES
1938,17,MAINE,ME,US,STATE,40,CASES
1938,18,MAINE,ME,US,STATE,36,CASES
1938,19,MAINE,ME,US,STATE,28,CASES
1938,20,MAINE,ME,US,STATE,55,CASES
1938,21,MAINE,ME,US,STATE,68,CASES
1938,22,MAINE,ME,US,STATE,22,CASES
1938,23,MAINE,ME,US,STATE,29,CASES
1938,24,MAINE,ME,US,STATE,41,CASES
1938,25,MAINE,ME,US,STATE,35,CASES
1938,26,MAINE,ME,US,STATE,46,CASES
1938,27,MAINE,ME,US,STATE,24,CASES
1938,28,MAINE,ME,US,STATE,16,CASES
1938,29,MAINE,ME,US,STATE,31,CASES
1938,30,MAINE,ME,US,STATE,31,CASES
1938,31,MAINE,ME,US,STATE,13,CASES
1938,32,MAINE,ME,US,STATE,32,CASES
1938,33,MAINE,ME,US,STATE,15,CASES
1938,34,MAINE,ME,US,STATE,37,CASES
1938,35,MAINE,ME,US,STATE,24,CASES
1938,36,MAINE,ME,US,STATE,26,CASES
1938,38,MAINE,ME,US,STATE,15,CASES
1938,39,MAINE,ME,US,STATE,18,CASES
1938,40,MAINE,ME,US,STATE,18,CASES
1938,41,MAINE,ME,US,STATE,32,CASES
1938,42,MAINE,ME,US,STATE,70,CASES
1938,43,MAINE,ME,US,STATE,71,CASES
1938,44,MAINE,ME,US,STATE,34,CASES
1938,45,MAINE,ME,US,STATE,62,CASES
1938,46,MAINE,ME,US,STATE,19,CASES
1938,47,MAINE,ME,US,STATE,29,CASES
1938,48,MAINE,ME,US,STATE,56,CASES
1938,49,MAINE,ME,US,STATE,79,CASES
1938,50,MAINE,ME,US,STATE,46,CASES
1938,51,MAINE,ME,US,STATE,17,CASES
1938,52,MAINE,ME,US,STATE,42,CASES
1939,1,MAINE,ME,US,STATE,36,CASES
1939,2,MAINE,ME,US,STATE,42,CASES
1939,3,MAINE,ME,US,STATE,21,CASES
1939,4,MAINE,ME,US,STATE,18,CASES
1939,5,MAINE,ME,US,STATE,29,CASES
1939,6,MAINE,ME,US,STATE,63,CASES
1939,7,MAINE,ME,US,STATE,39,CASES
1939,8,MAINE,ME,US,STATE,11,CASES
1939,9,MAINE,ME,US,STATE,64,CASES
1939,10,MAINE,ME,US,STATE,53,CASES
1939,11,MAINE,ME,US,STATE,33,CASES
1939,12,MAINE,ME,US,STATE,55,CASES
1939,13,MAINE,ME,US,STATE,70,CASES
1939,14,MAINE,ME,US,STATE,86,CASES
1939,15,MAINE,ME,US,STATE,78,CASES
1939,16,MAINE,ME,US,STATE,53,CASES
1939,17,MAINE,ME,US,STATE,24,CASES
