year,week,loc,state,country,loc_type,number,event
1966,1,MAINE,ME,US,STATE,4,CASES
1966,2,MAINE,ME,US,STATE,8,CASES
1966,3,MAINE,ME,US,STATE,7,CASES
1966,4,MAINE,ME,US,STATE,11,CASES
1966,5,MAINE,ME,US,STATE,5,CASES
1966,6,MAINE,ME,US,STATE,2,CASES
1966,7,MAINE,ME,US,STATE,10,CASES
1966,8,MAINE,ME,US,STATE,9,CASES
1966,9,MAINE,ME,US,STATE,3,CASES
1966,10,MAINE,ME,US,STATE,12,CASES
1966,11,MAINE,ME,US,STATE,6,CASES
1966,12,MAINE,ME,US,STATE,3,CASES
1966,13,MAINE,ME,US,STATE,11,CASES
1966,14,MAINE,ME,US,STATE,18,CASES
1966,16,MAINE,ME,US,STATE,5,CASES
1966,17,MAINE,ME,US,STATE,24,CASES
1966,18,MAINE,ME,US,STATE,7,CASES
1966,19,MAINE,ME,US,STATE,12,CASES
1966,20,MAINE,ME,US,STATE,16,CASES
1966,21,MAINE,ME,US,STATE,6,CASES
1966,22,MAINE,ME,US,STATE,19,CASES
1966,23,MAINE,ME,US,STATE,6,CASES
1966,24,MAINE,ME,US,STATE,7,CASES
1966,25,MAINE,ME,US,STATE,6,CASES
1966,26,MAINE,ME,US,STATE,3,CASES
1966,27,MAINE,ME,US,STATE,5,CASES
1966,28,MAINE,ME,US,STATE,6,CASES
1966,29,MAINE,ME,US,STATE,6,CASES
1966,30,MAINE,ME,US,STATE,5,CASES
1966,31,MAINE,ME,US,STATE,10,CASES
1966,32,MAINE,ME,US,STATE,14,CASES
1966,33,MAINE,ME,US,STATE,5,CASES
1966,34,MAINE,ME,US,STATE,13,CASES
1966,35,MAINE,ME,US,STATE,1,CASES
1966,36,MAINE,ME,US,STATE,3,CASES
1966,37,MAINE,ME,US,STATE,6,CASES
1966,38,MAINE,ME,US,STATE,10,CASES
1966,39,MAINE,ME,US,STATE,7,CASES
1966,40,MAINE,ME,US,STATE,2,CASES
1966,41,MAINE,ME,US,STATE,9,CASES
1966,42,MAINE,ME,US,STATE,3,CASES
1966,43,MAINE,ME,US,STATE,6,CASES
1966,44,MAINE,ME,US,STATE,3,CASES
1966,45,MAINE,ME,US,STATE,7,CASES
1966,46,MAINE,ME,US,STATE,19,CASES
1966,47,MAINE,ME,US,STATE,9,CASES
1966,48,MAINE,ME,US,STATE,12,CASES
1966,50,MAINE,ME,US,STATE,10,CASES
1966,51,MAINE,ME,US,STATE,5,CASES
1966,52,MAINE,ME,US,STATE,4,CASES
1967,1,MAINE,ME,US,STATE,10,CASES
1967,2,MAINE,ME,US,STATE,17,CASES
1967,3,MAINE,ME,US,STATE,12,CASES
1967,4,MAINE,ME,US,STATE,6,CASES
1967,5,MAINE,ME,US,STATE,40,CASES
1967,6,MAINE,ME,US,STATE,57,CASES
1967,7,MAINE,ME,US,STATE,39,CASES
1967,8,MAINE,ME,US,STATE,30,CASES
1967,9,MAINE,ME,US,STATE,10,CASES
1967,10,MAINE,ME,US,STATE,19,CASES
1967,11,MAINE,ME,US,STATE,56,CASES
1967,12,MAINE,ME,US,STATE,77,CASES
1967,13,MAINE,ME,US,STATE,18,CASES
1967,14,MAINE,ME,US,STATE,27,CASES
1967,15,MAINE,ME,US,STATE,14,CASES
1967,16,MAINE,ME,US,STATE,16,CASES
1967,17,MAINE,ME,US,STATE,19,CASES
1967,19,MAINE,ME,US,STATE,22,CASES
1967,20,MAINE,ME,US,STATE,16,CASES
1967,21,MAINE,ME,US,STATE,10,CASES
1967,22,MAINE,ME,US,STATE,29,CASES
1967,23,MAINE,ME,US,STATE,51,CASES
1967,24,MAINE,ME,US,STATE,36,CASES
1967,25,MAINE,ME,US,STATE,21,CASES
1967,26,MAINE,ME,US,STATE,21,CASES
1967,27,MAINE,ME,US,STATE,6,CASES
1967,28,MAINE,ME,US,STATE,14,CASES
1967,29,MAINE,ME,US,STATE,12,CASES
1967,30,MAINE,ME,US,STATE,8,CASES
1967,31,MAINE,ME,US,STATE,8,CASES
1967,32,MAINE,ME,US,STATE,4,CASES
1967,33,MAINE,ME,US,STATE,2,CASES
1967,34,MAINE,ME,US,STATE,1,CASES
1967,35,MAINE,ME,US,STATE,2,CASES
1967,36,MAINE,ME,US,STATE,4,CASES
1967,38,MAINE,ME,US,STATE,1,CASES
1967,39,MAINE,ME,US,STATE,6,CASES
1967,40,MAINE,ME,US,STATE,10,CASES
1967,41,MAINE,ME,US,STATE,4,CASES
1967,42,MAINE,ME,US,STATE,1,CASES
1967,43,MAINE,ME,US,STATE,1,CASES
1967,44,MAINE,ME,US,STATE,3,CASES
1967,45,MAINE,ME,US,STATE,17,CASES
1967,46,MAINE,ME,US,STATE,5,CASES
1967,47,MAINE,ME,US,STATE,4,CASES
1967,48,MAINE,ME,US,STATE,3,CASES
1967,49,MAINE,ME,US,STATE,5,CASES
1967,50,MAINE,ME,US,STATE,10,CASES
1967,51,MAINE,ME,US,STATE,3,CASES
1967,52,MAINE,ME,US,STATE,5,CASES
1968,1,MAINE,ME,US,STATE,7,CASES
1968,2,MAINE,ME,US,STATE,7,CASES
1968,3,MAINE,ME,US,STATE,2,CASES
1968,4,MAINE,ME,US,STATE,6,CASES
1968,5,MAINE,ME,US,STATE,13,CASES
1968,6,MAINE,ME,US,STATE,9,CASES
1968,7,MAINE,ME,US,STATE,6,CASES
1968,8,MAINE,ME,US,STATE,5,CASES
1968,9,MAINE,ME,US,STATE,24,CASES
1968,10,MAINE,ME,US,STATE,9,CASES
1968,11,MAINE,ME,US,STATE,35,CASES
1968,12,MAINE,ME,US,STATE,25,CASES
1968,13,MAINE,ME,US,STATE,7,CASES
1968,14,MAINE,ME,US,STATE,5,CASES
1968,15,MAINE,ME,US,STATE,10,CASES
1968,16,MAINE,ME,US,STATE,24,CASES
1968,17,MAINE,ME,US,STATE,21,CASES
1968,18,MAINE,ME,US,STATE,48,CASES
1968,19,MAINE,ME,US,STATE,30,CASES
1968,20,MAINE,ME,US,STATE,20,CASES
1968,21,MAINE,ME,US,STATE,14,CASES
1968,22,MAINE,ME,US,STATE,6,CASES
1968,23,MAINE,ME,US,STATE,21,CASES
1968,24,MAINE,ME,US,STATE,11,CASES
1968,25,MAINE,ME,US,STATE,18,CASES
