year,week,loc,state,country,loc_type,number,event
1972,1,MICHIGAN,MI,US,STATE,235,CASES
1972,3,MICHIGAN,MI,US,STATE,702,CASES
1972,4,MICHIGAN,MI,US,STATE,525,CASES
1972,5,MICHIGAN,MI,US,STATE,434,CASES
1972,6,MICHIGAN,MI,US,STATE,515,CASES
1972,7,MICHIGAN,MI,US,STATE,582,CASES
1972,8,MICHIGAN,MI,US,STATE,585,CASES
1972,9,MICHIGAN,MI,US,STATE,714,CASES
1972,10,MICHIGAN,MI,US,STATE,811,CASES
1972,11,MICHIGAN,MI,US,STATE,691,CASES
1972,12,MICHIGAN,MI,US,STATE,580,CASES
1972,13,MICHIGAN,MI,US,STATE,749,CASES
1972,14,MICHIGAN,MI,US,STATE,609,CASES
1972,15,MICHIGAN,MI,US,STATE,429,CASES
1972,16,MICHIGAN,MI,US,STATE,632,CASES
1972,17,MICHIGAN,MI,US,STATE,707,CASES
1972,18,MICHIGAN,MI,US,STATE,683,CASES
1972,19,MICHIGAN,MI,US,STATE,564,CASES
1972,20,MICHIGAN,MI,US,STATE,468,CASES
1972,21,MICHIGAN,MI,US,STATE,389,CASES
1972,23,MICHIGAN,MI,US,STATE,539,CASES
1972,24,MICHIGAN,MI,US,STATE,465,CASES
1972,25,MICHIGAN,MI,US,STATE,530,CASES
1972,26,MICHIGAN,MI,US,STATE,358,CASES
1972,27,MICHIGAN,MI,US,STATE,70,CASES
1972,28,MICHIGAN,MI,US,STATE,71,CASES
1972,29,MICHIGAN,MI,US,STATE,65,CASES
1972,30,MICHIGAN,MI,US,STATE,108,CASES
1972,31,MICHIGAN,MI,US,STATE,35,CASES
1972,32,MICHIGAN,MI,US,STATE,160,CASES
1972,33,MICHIGAN,MI,US,STATE,23,CASES
1972,36,MICHIGAN,MI,US,STATE,18,CASES
1972,37,MICHIGAN,MI,US,STATE,15,CASES
1972,38,MICHIGAN,MI,US,STATE,30,CASES
1972,39,MICHIGAN,MI,US,STATE,25,CASES
1972,40,MICHIGAN,MI,US,STATE,37,CASES
1972,41,MICHIGAN,MI,US,STATE,76,CASES
1972,43,MICHIGAN,MI,US,STATE,80,CASES
1972,44,MICHIGAN,MI,US,STATE,203,CASES
1972,45,MICHIGAN,MI,US,STATE,134,CASES
