year,week,loc,state,country,loc_type,number,event
1927,47,MICHIGAN,MI,US,STATE,102,CASES
1927,48,MICHIGAN,MI,US,STATE,100,CASES
1927,49,MICHIGAN,MI,US,STATE,112,CASES
1927,51,MICHIGAN,MI,US,STATE,73,CASES
1927,52,MICHIGAN,MI,US,STATE,150,CASES
1928,1,MICHIGAN,MI,US,STATE,61,CASES
1928,2,MICHIGAN,MI,US,STATE,109,CASES
1928,3,MICHIGAN,MI,US,STATE,98,CASES
1928,4,MICHIGAN,MI,US,STATE,77,CASES
1928,5,MICHIGAN,MI,US,STATE,66,CASES
1928,6,MICHIGAN,MI,US,STATE,78,CASES
1928,7,MICHIGAN,MI,US,STATE,62,CASES
1928,8,MICHIGAN,MI,US,STATE,60,CASES
1928,9,MICHIGAN,MI,US,STATE,77,CASES
1928,10,MICHIGAN,MI,US,STATE,70,CASES
1928,11,MICHIGAN,MI,US,STATE,72,CASES
1928,12,MICHIGAN,MI,US,STATE,51,CASES
1928,13,MICHIGAN,MI,US,STATE,63,CASES
1928,14,MICHIGAN,MI,US,STATE,60,CASES
1928,15,MICHIGAN,MI,US,STATE,49,CASES
1928,16,MICHIGAN,MI,US,STATE,51,CASES
1928,17,MICHIGAN,MI,US,STATE,60,CASES
1928,18,MICHIGAN,MI,US,STATE,60,CASES
1928,19,MICHIGAN,MI,US,STATE,67,CASES
1928,20,MICHIGAN,MI,US,STATE,86,CASES
1928,21,MICHIGAN,MI,US,STATE,72,CASES
1928,22,MICHIGAN,MI,US,STATE,46,CASES
1928,23,MICHIGAN,MI,US,STATE,90,CASES
1928,24,MICHIGAN,MI,US,STATE,64,CASES
1928,25,MICHIGAN,MI,US,STATE,108,CASES
1928,26,MICHIGAN,MI,US,STATE,62,CASES
1928,27,MICHIGAN,MI,US,STATE,66,CASES
1928,28,MICHIGAN,MI,US,STATE,27,CASES
1928,29,MICHIGAN,MI,US,STATE,57,CASES
1928,30,MICHIGAN,MI,US,STATE,43,CASES
1928,31,MICHIGAN,MI,US,STATE,61,CASES
1928,32,MICHIGAN,MI,US,STATE,52,CASES
1928,33,MICHIGAN,MI,US,STATE,65,CASES
1928,34,MICHIGAN,MI,US,STATE,47,CASES
1928,35,MICHIGAN,MI,US,STATE,39,CASES
1928,36,MICHIGAN,MI,US,STATE,38,CASES
1928,37,MICHIGAN,MI,US,STATE,55,CASES
1928,38,MICHIGAN,MI,US,STATE,56,CASES
1928,39,MICHIGAN,MI,US,STATE,82,CASES
1928,40,MICHIGAN,MI,US,STATE,66,CASES
1928,41,MICHIGAN,MI,US,STATE,85,CASES
1928,42,MICHIGAN,MI,US,STATE,85,CASES
1928,43,MICHIGAN,MI,US,STATE,202,CASES
1928,44,MICHIGAN,MI,US,STATE,99,CASES
1928,45,MICHIGAN,MI,US,STATE,81,CASES
1928,46,MICHIGAN,MI,US,STATE,95,CASES
1928,47,MICHIGAN,MI,US,STATE,105,CASES
1928,48,MICHIGAN,MI,US,STATE,98,CASES
1928,49,MICHIGAN,MI,US,STATE,85,CASES
1928,50,MICHIGAN,MI,US,STATE,124,CASES
1928,51,MICHIGAN,MI,US,STATE,78,CASES
1928,52,MICHIGAN,MI,US,STATE,101,CASES
1929,1,MICHIGAN,MI,US,STATE,105,CASES
1929,2,MICHIGAN,MI,US,STATE,94,CASES
1929,3,MICHIGAN,MI,US,STATE,79,CASES
1929,4,MICHIGAN,MI,US,STATE,85,CASES
1929,5,MICHIGAN,MI,US,STATE,92,CASES
1929,6,MICHIGAN,MI,US,STATE,76,CASES
1929,7,MICHIGAN,MI,US,STATE,101,CASES
1929,8,MICHIGAN,MI,US,STATE,57,CASES
1929,9,MICHIGAN,MI,US,STATE,93,CASES
1929,10,MICHIGAN,MI,US,STATE,84,CASES
1929,11,MICHIGAN,MI,US,STATE,84,CASES
1929,12,MICHIGAN,MI,US,STATE,88,CASES
1929,13,MICHIGAN,MI,US,STATE,124,CASES
1929,14,MICHIGAN,MI,US,STATE,69,CASES
1929,15,MICHIGAN,MI,US,STATE,81,CASES
1929,16,MICHIGAN,MI,US,STATE,68,CASES
1929,17,MICHIGAN,MI,US,STATE,86,CASES
1929,18,MICHIGAN,MI,US,STATE,102,CASES
1929,19,MICHIGAN,MI,US,STATE,80,CASES
1929,20,MICHIGAN,MI,US,STATE,83,CASES
1929,21,MICHIGAN,MI,US,STATE,218,CASES
1929,22,MICHIGAN,MI,US,STATE,62,CASES
1929,23,MICHIGAN,MI,US,STATE,91,CASES
