year,week,loc,state,country,loc_type,number,event
1927,47,MINNESOTA,MN,US,STATE,33,CASES
1927,48,MINNESOTA,MN,US,STATE,56,CASES
1927,49,MINNESOTA,MN,US,STATE,28,CASES
1927,51,MINNESOTA,MN,US,STATE,17,CASES
1927,52,MINNESOTA,MN,US,STATE,29,CASES
1928,1,MINNESOTA,MN,US,STATE,25,CASES
1928,2,MINNESOTA,MN,US,STATE,39,CASES
1928,3,MINNESOTA,MN,US,STATE,31,CASES
1928,4,MINNESOTA,MN,US,STATE,27,CASES
1928,5,MINNESOTA,MN,US,STATE,20,CASES
1928,6,MINNESOTA,MN,US,STATE,29,CASES
1928,7,MINNESOTA,MN,US,STATE,39,CASES
1928,8,MINNESOTA,MN,US,STATE,26,CASES
1928,9,MINNESOTA,MN,US,STATE,13,CASES
1928,10,MINNESOTA,MN,US,STATE,12,CASES
1928,11,MINNESOTA,MN,US,STATE,20,CASES
1928,12,MINNESOTA,MN,US,STATE,27,CASES
1928,13,MINNESOTA,MN,US,STATE,19,CASES
1928,14,MINNESOTA,MN,US,STATE,23,CASES
1928,15,MINNESOTA,MN,US,STATE,17,CASES
1928,16,MINNESOTA,MN,US,STATE,18,CASES
1928,17,MINNESOTA,MN,US,STATE,27,CASES
1928,18,MINNESOTA,MN,US,STATE,12,CASES
1928,19,MINNESOTA,MN,US,STATE,13,CASES
1928,20,MINNESOTA,MN,US,STATE,16,CASES
1928,21,MINNESOTA,MN,US,STATE,11,CASES
1928,22,MINNESOTA,MN,US,STATE,17,CASES
1928,23,MINNESOTA,MN,US,STATE,18,CASES
1928,24,MINNESOTA,MN,US,STATE,32,CASES
1928,25,MINNESOTA,MN,US,STATE,44,CASES
1928,26,MINNESOTA,MN,US,STATE,19,CASES
1928,27,MINNESOTA,MN,US,STATE,21,CASES
1928,28,MINNESOTA,MN,US,STATE,17,CASES
1928,29,MINNESOTA,MN,US,STATE,16,CASES
1928,30,MINNESOTA,MN,US,STATE,20,CASES
1928,31,MINNESOTA,MN,US,STATE,23,CASES
1928,32,MINNESOTA,MN,US,STATE,14,CASES
1928,33,MINNESOTA,MN,US,STATE,20,CASES
1928,34,MINNESOTA,MN,US,STATE,22,CASES
1928,35,MINNESOTA,MN,US,STATE,16,CASES
1928,36,MINNESOTA,MN,US,STATE,17,CASES
1928,37,MINNESOTA,MN,US,STATE,18,CASES
1928,38,MINNESOTA,MN,US,STATE,33,CASES
1928,39,MINNESOTA,MN,US,STATE,30,CASES
1928,40,MINNESOTA,MN,US,STATE,26,CASES
1928,41,MINNESOTA,MN,US,STATE,20,CASES
1928,42,MINNESOTA,MN,US,STATE,33,CASES
1928,43,MINNESOTA,MN,US,STATE,48,CASES
1928,44,MINNESOTA,MN,US,STATE,44,CASES
1928,45,MINNESOTA,MN,US,STATE,25,CASES
1928,46,MINNESOTA,MN,US,STATE,23,CASES
1928,47,MINNESOTA,MN,US,STATE,23,CASES
1928,48,MINNESOTA,MN,US,STATE,21,CASES
1928,49,MINNESOTA,MN,US,STATE,18,CASES
1928,50,MINNESOTA,MN,US,STATE,22,CASES
1928,51,MINNESOTA,MN,US,STATE,31,CASES
1928,52,MINNESOTA,MN,US,STATE,11,CASES
1929,1,MINNESOTA,MN,US,STATE,24,CASES
1929,2,MINNESOTA,MN,US,STATE,17,CASES
1929,3,MINNESOTA,MN,US,STATE,20,CASES
1929,4,MINNESOTA,MN,US,STATE,37,CASES
1929,5,MINNESOTA,MN,US,STATE,16,CASES
1929,6,MINNESOTA,MN,US,STATE,24,CASES
1929,7,MINNESOTA,MN,US,STATE,27,CASES
1929,8,MINNESOTA,MN,US,STATE,11,CASES
1929,9,MINNESOTA,MN,US,STATE,23,CASES
1929,10,MINNESOTA,MN,US,STATE,14,CASES
1929,11,MINNESOTA,MN,US,STATE,27,CASES
1929,12,MINNESOTA,MN,US,STATE,27,CASES
1929,13,MINNESOTA,MN,US,STATE,14,CASES
1929,14,MINNESOTA,MN,US,STATE,13,CASES
1929,15,MINNESOTA,MN,US,STATE,20,CASES
1929,16,MINNESOTA,MN,US,STATE,24,CASES
1929,17,MINNESOTA,MN,US,STATE,23,CASES
1929,18,MINNESOTA,MN,US,STATE,16,CASES
1929,19,MINNESOTA,MN,US,STATE,20,CASES
1929,20,MINNESOTA,MN,US,STATE,10,CASES
1929,21,MINNESOTA,MN,US,STATE,15,CASES
1929,22,MINNESOTA,MN,US,STATE,14,CASES
1929,23,MINNESOTA,MN,US,STATE,17,CASES
1929,24,MINNESOTA,MN,US,STATE,18,CASES
1929,25,MINNESOTA,MN,US,STATE,13,CASES
1929,26,MINNESOTA,MN,US,STATE,11,CASES
1929,27,MINNESOTA,MN,US,STATE,18,CASES
1929,28,MINNESOTA,MN,US,STATE,11,CASES
1929,29,MINNESOTA,MN,US,STATE,16,CASES
1929,30,MINNESOTA,MN,US,STATE,10,CASES
1929,31,MINNESOTA,MN,US,STATE,11,CASES
1929,32,MINNESOTA,MN,US,STATE,13,CASES
1929,33,MINNESOTA,MN,US,STATE,4,CASES
1929,34,MINNESOTA,MN,US,STATE,15,CASES
1929,35,MINNESOTA,MN,US,STATE,8,CASES
1929,36,MINNESOTA,MN,US,STATE,8,CASES
1929,37,MINNESOTA,MN,US,STATE,11,CASES
1929,38,MINNESOTA,MN,US,STATE,12,CASES
1929,39,MINNESOTA,MN,US,STATE,30,CASES
1929,40,MINNESOTA,MN,US,STATE,17,CASES
1929,41,MINNESOTA,MN,US,STATE,22,CASES
1929,42,MINNESOTA,MN,US,STATE,44,CASES
1929,43,MINNESOTA,MN,US,STATE,41,CASES
1929,44,MINNESOTA,MN,US,STATE,25,CASES
1929,45,MINNESOTA,MN,US,STATE,34,CASES
1929,46,MINNESOTA,MN,US,STATE,33,CASES
1929,47,MINNESOTA,MN,US,STATE,29,CASES
1929,48,MINNESOTA,MN,US,STATE,22,CASES
1929,49,MINNESOTA,MN,US,STATE,26,CASES
1929,50,MINNESOTA,MN,US,STATE,32,CASES
1929,51,MINNESOTA,MN,US,STATE,26,CASES
1929,52,MINNESOTA,MN,US,STATE,24,CASES
1930,1,MINNESOTA,MN,US,STATE,18,CASES
1930,3,MINNESOTA,MN,US,STATE,27,CASES
1930,4,MINNESOTA,MN,US,STATE,16,CASES
1930,5,MINNESOTA,MN,US,STATE,10,CASES
1930,6,MINNESOTA,MN,US,STATE,15,CASES
1930,7,MINNESOTA,MN,US,STATE,11,CASES
1930,8,MINNESOTA,MN,US,STATE,13,CASES
1930,9,MINNESOTA,MN,US,STATE,15,CASES
1930,10,MINNESOTA,MN,US,STATE,6,CASES
1930,11,MINNESOTA,MN,US,STATE,17,CASES
1930,12,MINNESOTA,MN,US,STATE,14,CASES
1930,13,MINNESOTA,MN,US,STATE,19,CASES
1930,14,MINNESOTA,MN,US,STATE,10,CASES
1930,15,MINNESOTA,MN,US,STATE,4,CASES
1930,16,MINNESOTA,MN,US,STATE,9,CASES
1930,17,MINNESOTA,MN,US,STATE,8,CASES
1930,18,MINNESOTA,MN,US,STATE,30,CASES
1930,19,MINNESOTA,MN,US,STATE,7,CASES
1930,20,MINNESOTA,MN,US,STATE,5,CASES
1930,21,MINNESOTA,MN,US,STATE,14,CASES
1930,22,MINNESOTA,MN,US,STATE,23,CASES
1930,23,MINNESOTA,MN,US,STATE,6,CASES
1930,24,MINNESOTA,MN,US,STATE,7,CASES
1930,25,MINNESOTA,MN,US,STATE,10,CASES
1930,26,MINNESOTA,MN,US,STATE,11,CASES
1930,27,MINNESOTA,MN,US,STATE,4,CASES
1930,28,MINNESOTA,MN,US,STATE,10,CASES
1930,29,MINNESOTA,MN,US,STATE,9,CASES
1930,30,MINNESOTA,MN,US,STATE,16,CASES
1930,31,MINNESOTA,MN,US,STATE,11,CASES
1930,32,MINNESOTA,MN,US,STATE,10,CASES
1930,33,MINNESOTA,MN,US,STATE,6,CASES
1930,34,MINNESOTA,MN,US,STATE,6,CASES
1930,35,MINNESOTA,MN,US,STATE,14,CASES
1930,36,MINNESOTA,MN,US,STATE,12,CASES
1930,37,MINNESOTA,MN,US,STATE,13,CASES
1930,38,MINNESOTA,MN,US,STATE,10,CASES
1930,39,MINNESOTA,MN,US,STATE,13,CASES
1930,40,MINNESOTA,MN,US,STATE,17,CASES
1930,41,MINNESOTA,MN,US,STATE,13,CASES
1930,42,MINNESOTA,MN,US,STATE,21,CASES
1930,43,MINNESOTA,MN,US,STATE,11,CASES
1930,44,MINNESOTA,MN,US,STATE,18,CASES
1930,45,MINNESOTA,MN,US,STATE,14,CASES
1930,46,MINNESOTA,MN,US,STATE,16,CASES
1930,47,MINNESOTA,MN,US,STATE,24,CASES
1930,48,MINNESOTA,MN,US,STATE,13,CASES
1930,49,MINNESOTA,MN,US,STATE,18,CASES
1930,50,MINNESOTA,MN,US,STATE,15,CASES
1930,51,MINNESOTA,MN,US,STATE,20,CASES
1930,52,MINNESOTA,MN,US,STATE,10,CASES
1930,53,MINNESOTA,MN,US,STATE,12,CASES
1931,1,MINNESOTA,MN,US,STATE,10,CASES
1931,2,MINNESOTA,MN,US,STATE,14,CASES
1931,3,MINNESOTA,MN,US,STATE,8,CASES
1931,4,MINNESOTA,MN,US,STATE,15,CASES
1931,5,MINNESOTA,MN,US,STATE,16,CASES
1931,6,MINNESOTA,MN,US,STATE,10,CASES
1931,7,MINNESOTA,MN,US,STATE,14,CASES
1931,8,MINNESOTA,MN,US,STATE,11,CASES
1931,9,MINNESOTA,MN,US,STATE,12,CASES
1931,10,MINNESOTA,MN,US,STATE,16,CASES
1931,11,MINNESOTA,MN,US,STATE,20,CASES
1931,12,MINNESOTA,MN,US,STATE,23,CASES
1931,13,MINNESOTA,MN,US,STATE,12,CASES
1931,14,MINNESOTA,MN,US,STATE,7,CASES
1931,15,MINNESOTA,MN,US,STATE,5,CASES
1931,16,MINNESOTA,MN,US,STATE,14,CASES
1931,17,MINNESOTA,MN,US,STATE,14,CASES
1931,18,MINNESOTA,MN,US,STATE,5,CASES
1931,19,MINNESOTA,MN,US,STATE,13,CASES
1931,20,MINNESOTA,MN,US,STATE,7,CASES
1931,21,MINNESOTA,MN,US,STATE,10,CASES
1931,22,MINNESOTA,MN,US,STATE,12,CASES
1931,23,MINNESOTA,MN,US,STATE,12,CASES
1931,24,MINNESOTA,MN,US,STATE,15,CASES
1931,25,MINNESOTA,MN,US,STATE,9,CASES
1931,26,MINNESOTA,MN,US,STATE,4,CASES
1931,27,MINNESOTA,MN,US,STATE,3,CASES
1931,28,MINNESOTA,MN,US,STATE,4,CASES
1931,29,MINNESOTA,MN,US,STATE,5,CASES
1931,30,MINNESOTA,MN,US,STATE,3,CASES
1931,31,MINNESOTA,MN,US,STATE,3,CASES
1931,32,MINNESOTA,MN,US,STATE,14,CASES
1931,33,MINNESOTA,MN,US,STATE,8,CASES
1931,34,MINNESOTA,MN,US,STATE,5,CASES
1931,35,MINNESOTA,MN,US,STATE,7,CASES
1931,36,MINNESOTA,MN,US,STATE,8,CASES
1931,37,MINNESOTA,MN,US,STATE,9,CASES
1931,38,MINNESOTA,MN,US,STATE,10,CASES
1931,39,MINNESOTA,MN,US,STATE,21,CASES
1931,40,MINNESOTA,MN,US,STATE,15,CASES
1931,41,MINNESOTA,MN,US,STATE,22,CASES
1931,42,MINNESOTA,MN,US,STATE,14,CASES
1931,43,MINNESOTA,MN,US,STATE,21,CASES
1931,44,MINNESOTA,MN,US,STATE,14,CASES
1931,45,MINNESOTA,MN,US,STATE,18,CASES
1931,46,MINNESOTA,MN,US,STATE,28,CASES
1931,47,MINNESOTA,MN,US,STATE,27,CASES
1931,48,MINNESOTA,MN,US,STATE,44,CASES
1931,49,MINNESOTA,MN,US,STATE,26,CASES
1931,50,MINNESOTA,MN,US,STATE,27,CASES
1931,51,MINNESOTA,MN,US,STATE,19,CASES
1931,52,MINNESOTA,MN,US,STATE,19,CASES
1932,1,MINNESOTA,MN,US,STATE,30,CASES
1932,2,MINNESOTA,MN,US,STATE,17,CASES
1932,3,MINNESOTA,MN,US,STATE,17,CASES
1932,4,MINNESOTA,MN,US,STATE,11,CASES
1932,5,MINNESOTA,MN,US,STATE,7,CASES
1932,6,MINNESOTA,MN,US,STATE,8,CASES
1932,7,MINNESOTA,MN,US,STATE,8,CASES
1932,8,MINNESOTA,MN,US,STATE,13,CASES
1932,9,MINNESOTA,MN,US,STATE,10,CASES
1932,10,MINNESOTA,MN,US,STATE,9,CASES
1932,11,MINNESOTA,MN,US,STATE,10,CASES
1932,12,MINNESOTA,MN,US,STATE,6,CASES
1932,13,MINNESOTA,MN,US,STATE,12,CASES
1932,14,MINNESOTA,MN,US,STATE,12,CASES
1932,15,MINNESOTA,MN,US,STATE,8,CASES
1932,16,MINNESOTA,MN,US,STATE,7,CASES
1932,17,MINNESOTA,MN,US,STATE,5,CASES
1932,18,MINNESOTA,MN,US,STATE,4,CASES
1932,19,MINNESOTA,MN,US,STATE,6,CASES
1932,20,MINNESOTA,MN,US,STATE,9,CASES
1932,21,MINNESOTA,MN,US,STATE,6,CASES
1932,22,MINNESOTA,MN,US,STATE,4,CASES
1932,23,MINNESOTA,MN,US,STATE,11,CASES
1932,24,MINNESOTA,MN,US,STATE,7,CASES
1932,25,MINNESOTA,MN,US,STATE,3,CASES
1932,26,MINNESOTA,MN,US,STATE,8,CASES
1932,27,MINNESOTA,MN,US,STATE,5,CASES
1932,28,MINNESOTA,MN,US,STATE,4,CASES
1932,29,MINNESOTA,MN,US,STATE,4,CASES
1932,30,MINNESOTA,MN,US,STATE,3,CASES
1932,31,MINNESOTA,MN,US,STATE,2,CASES
1932,32,MINNESOTA,MN,US,STATE,7,CASES
1932,33,MINNESOTA,MN,US,STATE,1,CASES
1932,34,MINNESOTA,MN,US,STATE,4,CASES
1932,35,MINNESOTA,MN,US,STATE,4,CASES
1932,36,MINNESOTA,MN,US,STATE,4,CASES
1932,37,MINNESOTA,MN,US,STATE,14,CASES
1932,38,MINNESOTA,MN,US,STATE,10,CASES
1932,39,MINNESOTA,MN,US,STATE,11,CASES
1932,40,MINNESOTA,MN,US,STATE,16,CASES
1932,41,MINNESOTA,MN,US,STATE,16,CASES
1932,42,MINNESOTA,MN,US,STATE,31,CASES
1932,43,MINNESOTA,MN,US,STATE,21,CASES
1932,44,MINNESOTA,MN,US,STATE,12,CASES
1932,45,MINNESOTA,MN,US,STATE,14,CASES
1932,46,MINNESOTA,MN,US,STATE,23,CASES
1932,47,MINNESOTA,MN,US,STATE,10,CASES
1932,48,MINNESOTA,MN,US,STATE,15,CASES
1932,49,MINNESOTA,MN,US,STATE,16,CASES
1932,50,MINNESOTA,MN,US,STATE,6,CASES
1932,51,MINNESOTA,MN,US,STATE,9,CASES
1932,52,MINNESOTA,MN,US,STATE,3,CASES
1933,1,MINNESOTA,MN,US,STATE,5,CASES
1933,2,MINNESOTA,MN,US,STATE,6,CASES
1933,3,MINNESOTA,MN,US,STATE,3,CASES
1933,4,MINNESOTA,MN,US,STATE,8,CASES
1933,5,MINNESOTA,MN,US,STATE,8,CASES
1933,6,MINNESOTA,MN,US,STATE,4,CASES
1933,7,MINNESOTA,MN,US,STATE,2,CASES
1933,8,MINNESOTA,MN,US,STATE,2,CASES
1933,9,MINNESOTA,MN,US,STATE,5,CASES
1933,10,MINNESOTA,MN,US,STATE,5,CASES
1933,11,MINNESOTA,MN,US,STATE,3,CASES
