year,week,loc,state,country,loc_type,number,event
1968,1,MINNESOTA,MN,US,STATE,2,CASES
1968,2,MINNESOTA,MN,US,STATE,5,CASES
1968,3,MINNESOTA,MN,US,STATE,26,CASES
1968,4,MINNESOTA,MN,US,STATE,2,CASES
1968,5,MINNESOTA,MN,US,STATE,11,CASES
1968,6,MINNESOTA,MN,US,STATE,16,CASES
1968,7,MINNESOTA,MN,US,STATE,33,CASES
1968,8,MINNESOTA,MN,US,STATE,16,CASES
1968,9,MINNESOTA,MN,US,STATE,66,CASES
1968,10,MINNESOTA,MN,US,STATE,19,CASES
1968,11,MINNESOTA,MN,US,STATE,45,CASES
1968,12,MINNESOTA,MN,US,STATE,6,CASES
1968,13,MINNESOTA,MN,US,STATE,75,CASES
1968,14,MINNESOTA,MN,US,STATE,29,CASES
1968,16,MINNESOTA,MN,US,STATE,25,CASES
1968,17,MINNESOTA,MN,US,STATE,19,CASES
1968,18,MINNESOTA,MN,US,STATE,27,CASES
1968,19,MINNESOTA,MN,US,STATE,18,CASES
1968,20,MINNESOTA,MN,US,STATE,3,CASES
1968,21,MINNESOTA,MN,US,STATE,43,CASES
1968,22,MINNESOTA,MN,US,STATE,25,CASES
1968,23,MINNESOTA,MN,US,STATE,19,CASES
1968,24,MINNESOTA,MN,US,STATE,35,CASES
1968,25,MINNESOTA,MN,US,STATE,25,CASES
1968,26,MINNESOTA,MN,US,STATE,1,CASES
1968,27,MINNESOTA,MN,US,STATE,2,CASES
1968,30,MINNESOTA,MN,US,STATE,1,CASES
1968,31,MINNESOTA,MN,US,STATE,1,CASES
1968,32,MINNESOTA,MN,US,STATE,2,CASES
1968,33,MINNESOTA,MN,US,STATE,3,CASES
1968,34,MINNESOTA,MN,US,STATE,1,CASES
1968,35,MINNESOTA,MN,US,STATE,1,CASES
1968,36,MINNESOTA,MN,US,STATE,1,CASES
1968,38,MINNESOTA,MN,US,STATE,1,CASES
1968,40,MINNESOTA,MN,US,STATE,5,CASES
1968,41,MINNESOTA,MN,US,STATE,1,CASES
1968,42,MINNESOTA,MN,US,STATE,7,CASES
1968,44,MINNESOTA,MN,US,STATE,58,CASES
1968,45,MINNESOTA,MN,US,STATE,1,CASES
1968,46,MINNESOTA,MN,US,STATE,1,CASES
1968,48,MINNESOTA,MN,US,STATE,7,CASES
1968,50,MINNESOTA,MN,US,STATE,1,CASES
1968,51,MINNESOTA,MN,US,STATE,3,CASES
1968,52,MINNESOTA,MN,US,STATE,8,CASES
1969,2,MINNESOTA,MN,US,STATE,1,CASES
1969,3,MINNESOTA,MN,US,STATE,31,CASES
1969,4,MINNESOTA,MN,US,STATE,19,CASES
1969,5,MINNESOTA,MN,US,STATE,13,CASES
1969,6,MINNESOTA,MN,US,STATE,39,CASES
1969,8,MINNESOTA,MN,US,STATE,71,CASES
1969,9,MINNESOTA,MN,US,STATE,2,CASES
1969,10,MINNESOTA,MN,US,STATE,46,CASES
1969,12,MINNESOTA,MN,US,STATE,2,CASES
1969,13,MINNESOTA,MN,US,STATE,69,CASES
1969,14,MINNESOTA,MN,US,STATE,84,CASES
1969,15,MINNESOTA,MN,US,STATE,1,CASES
1969,16,MINNESOTA,MN,US,STATE,14,CASES
1969,17,MINNESOTA,MN,US,STATE,20,CASES
1969,18,MINNESOTA,MN,US,STATE,6,CASES
1969,19,MINNESOTA,MN,US,STATE,21,CASES
1969,20,MINNESOTA,MN,US,STATE,45,CASES
1969,21,MINNESOTA,MN,US,STATE,4,CASES
1969,22,MINNESOTA,MN,US,STATE,9,CASES
1969,24,MINNESOTA,MN,US,STATE,45,CASES
1969,25,MINNESOTA,MN,US,STATE,1,CASES
1969,26,MINNESOTA,MN,US,STATE,1,CASES
1969,28,MINNESOTA,MN,US,STATE,1,CASES
1969,31,MINNESOTA,MN,US,STATE,4,CASES
1969,33,MINNESOTA,MN,US,STATE,2,CASES
1969,35,MINNESOTA,MN,US,STATE,1,CASES
1969,37,MINNESOTA,MN,US,STATE,2,CASES
1969,39,MINNESOTA,MN,US,STATE,2,CASES
1969,40,MINNESOTA,MN,US,STATE,11,CASES
1969,43,MINNESOTA,MN,US,STATE,6,CASES
1969,44,MINNESOTA,MN,US,STATE,2,CASES
1969,46,MINNESOTA,MN,US,STATE,11,CASES
1969,48,MINNESOTA,MN,US,STATE,36,CASES
1969,50,MINNESOTA,MN,US,STATE,2,CASES
1969,51,MINNESOTA,MN,US,STATE,53,CASES
1970,1,MINNESOTA,MN,US,STATE,5,CASES
1970,3,MINNESOTA,MN,US,STATE,8,CASES
1970,4,MINNESOTA,MN,US,STATE,5,CASES
1970,5,MINNESOTA,MN,US,STATE,21,CASES
1970,6,MINNESOTA,MN,US,STATE,23,CASES
1970,7,MINNESOTA,MN,US,STATE,96,CASES
1970,8,MINNESOTA,MN,US,STATE,3,CASES
1970,9,MINNESOTA,MN,US,STATE,11,CASES
1970,10,MINNESOTA,MN,US,STATE,1,CASES
1970,11,MINNESOTA,MN,US,STATE,9,CASES
1970,12,MINNESOTA,MN,US,STATE,6,CASES
1970,13,MINNESOTA,MN,US,STATE,1,CASES
1970,14,MINNESOTA,MN,US,STATE,2,CASES
1970,15,MINNESOTA,MN,US,STATE,43,CASES
1970,16,MINNESOTA,MN,US,STATE,7,CASES
1970,17,MINNESOTA,MN,US,STATE,7,CASES
1970,18,MINNESOTA,MN,US,STATE,34,CASES
1970,19,MINNESOTA,MN,US,STATE,8,CASES
1970,20,MINNESOTA,MN,US,STATE,7,CASES
1970,21,MINNESOTA,MN,US,STATE,4,CASES
1970,22,MINNESOTA,MN,US,STATE,6,CASES
1970,23,MINNESOTA,MN,US,STATE,4,CASES
1970,25,MINNESOTA,MN,US,STATE,24,CASES
1970,28,MINNESOTA,MN,US,STATE,1,CASES
1970,29,MINNESOTA,MN,US,STATE,3,CASES
1970,30,MINNESOTA,MN,US,STATE,2,CASES
1970,32,MINNESOTA,MN,US,STATE,3,CASES
1970,34,MINNESOTA,MN,US,STATE,2,CASES
1970,35,MINNESOTA,MN,US,STATE,7,CASES
1970,37,MINNESOTA,MN,US,STATE,1,CASES
1970,38,MINNESOTA,MN,US,STATE,5,CASES
1970,39,MINNESOTA,MN,US,STATE,5,CASES
1970,40,MINNESOTA,MN,US,STATE,6,CASES
1970,42,MINNESOTA,MN,US,STATE,12,CASES
1970,43,MINNESOTA,MN,US,STATE,4,CASES
1970,45,MINNESOTA,MN,US,STATE,8,CASES
1970,46,MINNESOTA,MN,US,STATE,34,CASES
1970,47,MINNESOTA,MN,US,STATE,15,CASES
1970,48,MINNESOTA,MN,US,STATE,20,CASES
1970,49,MINNESOTA,MN,US,STATE,33,CASES
1970,50,MINNESOTA,MN,US,STATE,17,CASES
1970,51,MINNESOTA,MN,US,STATE,22,CASES
1970,52,MINNESOTA,MN,US,STATE,1,CASES
1971,1,MINNESOTA,MN,US,STATE,25,CASES
1971,2,MINNESOTA,MN,US,STATE,2,CASES
1971,3,MINNESOTA,MN,US,STATE,55,CASES
1971,4,MINNESOTA,MN,US,STATE,18,CASES
1971,5,MINNESOTA,MN,US,STATE,6,CASES
1971,6,MINNESOTA,MN,US,STATE,52,CASES
1971,7,MINNESOTA,MN,US,STATE,18,CASES
1971,9,MINNESOTA,MN,US,STATE,107,CASES
1971,10,MINNESOTA,MN,US,STATE,12,CASES
1971,11,MINNESOTA,MN,US,STATE,51,CASES
1971,12,MINNESOTA,MN,US,STATE,68,CASES
1971,13,MINNESOTA,MN,US,STATE,55,CASES
1971,14,MINNESOTA,MN,US,STATE,57,CASES
1971,15,MINNESOTA,MN,US,STATE,68,CASES
1971,16,MINNESOTA,MN,US,STATE,16,CASES
1971,17,MINNESOTA,MN,US,STATE,15,CASES
1971,18,MINNESOTA,MN,US,STATE,99,CASES
1971,19,MINNESOTA,MN,US,STATE,40,CASES
1971,20,MINNESOTA,MN,US,STATE,15,CASES
1971,21,MINNESOTA,MN,US,STATE,52,CASES
1971,22,MINNESOTA,MN,US,STATE,86,CASES
1971,23,MINNESOTA,MN,US,STATE,52,CASES
1971,24,MINNESOTA,MN,US,STATE,10,CASES
1971,25,MINNESOTA,MN,US,STATE,54,CASES
1971,26,MINNESOTA,MN,US,STATE,9,CASES
1971,27,MINNESOTA,MN,US,STATE,3,CASES
1971,28,MINNESOTA,MN,US,STATE,4,CASES
1971,29,MINNESOTA,MN,US,STATE,4,CASES
1971,30,MINNESOTA,MN,US,STATE,1,CASES
1971,31,MINNESOTA,MN,US,STATE,3,CASES
1971,32,MINNESOTA,MN,US,STATE,1,CASES
1971,33,MINNESOTA,MN,US,STATE,1,CASES
1971,35,MINNESOTA,MN,US,STATE,3,CASES
1971,36,MINNESOTA,MN,US,STATE,2,CASES
1971,37,MINNESOTA,MN,US,STATE,3,CASES
1971,39,MINNESOTA,MN,US,STATE,12,CASES
1971,40,MINNESOTA,MN,US,STATE,4,CASES
1971,41,MINNESOTA,MN,US,STATE,30,CASES
1971,42,MINNESOTA,MN,US,STATE,33,CASES
1971,43,MINNESOTA,MN,US,STATE,11,CASES
1971,44,MINNESOTA,MN,US,STATE,14,CASES
1971,45,MINNESOTA,MN,US,STATE,38,CASES
1971,46,MINNESOTA,MN,US,STATE,30,CASES
1971,47,MINNESOTA,MN,US,STATE,8,CASES
1971,48,MINNESOTA,MN,US,STATE,12,CASES
1971,49,MINNESOTA,MN,US,STATE,50,CASES
1971,50,MINNESOTA,MN,US,STATE,13,CASES
1971,51,MINNESOTA,MN,US,STATE,39,CASES
1972,1,MINNESOTA,MN,US,STATE,4,CASES
1972,3,MINNESOTA,MN,US,STATE,39,CASES
1972,4,MINNESOTA,MN,US,STATE,26,CASES
1972,5,MINNESOTA,MN,US,STATE,45,CASES
1972,6,MINNESOTA,MN,US,STATE,42,CASES
1972,7,MINNESOTA,MN,US,STATE,49,CASES
1972,8,MINNESOTA,MN,US,STATE,40,CASES
1972,9,MINNESOTA,MN,US,STATE,55,CASES
1972,10,MINNESOTA,MN,US,STATE,44,CASES
1972,11,MINNESOTA,MN,US,STATE,33,CASES
1972,12,MINNESOTA,MN,US,STATE,15,CASES
1972,13,MINNESOTA,MN,US,STATE,29,CASES
1972,14,MINNESOTA,MN,US,STATE,22,CASES
1972,15,MINNESOTA,MN,US,STATE,34,CASES
1972,16,MINNESOTA,MN,US,STATE,22,CASES
1972,17,MINNESOTA,MN,US,STATE,10,CASES
1972,18,MINNESOTA,MN,US,STATE,4,CASES
1972,19,MINNESOTA,MN,US,STATE,20,CASES
1972,20,MINNESOTA,MN,US,STATE,27,CASES
