year,week,loc,state,country,loc_type,number,event
1966,1,MINNESOTA,MN,US,STATE,2,CASES
1966,2,MINNESOTA,MN,US,STATE,7,CASES
1966,3,MINNESOTA,MN,US,STATE,3,CASES
1966,4,MINNESOTA,MN,US,STATE,8,CASES
1966,6,MINNESOTA,MN,US,STATE,8,CASES
1966,7,MINNESOTA,MN,US,STATE,1,CASES
1966,8,MINNESOTA,MN,US,STATE,5,CASES
1966,9,MINNESOTA,MN,US,STATE,6,CASES
1966,10,MINNESOTA,MN,US,STATE,3,CASES
1966,11,MINNESOTA,MN,US,STATE,16,CASES
1966,13,MINNESOTA,MN,US,STATE,2,CASES
1966,14,MINNESOTA,MN,US,STATE,6,CASES
1966,16,MINNESOTA,MN,US,STATE,12,CASES
1966,17,MINNESOTA,MN,US,STATE,1,CASES
1966,20,MINNESOTA,MN,US,STATE,8,CASES
1966,22,MINNESOTA,MN,US,STATE,6,CASES
1966,23,MINNESOTA,MN,US,STATE,5,CASES
1966,24,MINNESOTA,MN,US,STATE,6,CASES
1966,30,MINNESOTA,MN,US,STATE,1,CASES
1966,41,MINNESOTA,MN,US,STATE,1,CASES
1966,42,MINNESOTA,MN,US,STATE,3,CASES
1966,43,MINNESOTA,MN,US,STATE,4,CASES
1966,45,MINNESOTA,MN,US,STATE,2,CASES
1966,46,MINNESOTA,MN,US,STATE,1,CASES
1966,48,MINNESOTA,MN,US,STATE,1,CASES
1966,50,MINNESOTA,MN,US,STATE,3,CASES
1966,51,MINNESOTA,MN,US,STATE,1,CASES
1966,52,MINNESOTA,MN,US,STATE,1,CASES
1967,1,MINNESOTA,MN,US,STATE,1,CASES
1967,2,MINNESOTA,MN,US,STATE,4,CASES
1967,6,MINNESOTA,MN,US,STATE,3,CASES
1967,7,MINNESOTA,MN,US,STATE,2,CASES
1967,8,MINNESOTA,MN,US,STATE,3,CASES
1967,10,MINNESOTA,MN,US,STATE,7,CASES
1967,11,MINNESOTA,MN,US,STATE,1,CASES
1967,13,MINNESOTA,MN,US,STATE,2,CASES
1967,14,MINNESOTA,MN,US,STATE,2,CASES
1967,15,MINNESOTA,MN,US,STATE,7,CASES
1967,16,MINNESOTA,MN,US,STATE,4,CASES
1967,19,MINNESOTA,MN,US,STATE,2,CASES
1967,21,MINNESOTA,MN,US,STATE,8,CASES
1967,22,MINNESOTA,MN,US,STATE,6,CASES
1967,23,MINNESOTA,MN,US,STATE,2,CASES
1967,24,MINNESOTA,MN,US,STATE,8,CASES
1967,25,MINNESOTA,MN,US,STATE,2,CASES
1967,26,MINNESOTA,MN,US,STATE,1,CASES
1967,30,MINNESOTA,MN,US,STATE,1,CASES
1967,32,MINNESOTA,MN,US,STATE,1,CASES
1967,33,MINNESOTA,MN,US,STATE,1,CASES
1967,34,MINNESOTA,MN,US,STATE,1,CASES
1967,38,MINNESOTA,MN,US,STATE,2,CASES
1967,41,MINNESOTA,MN,US,STATE,3,CASES
1967,44,MINNESOTA,MN,US,STATE,1,CASES
1967,45,MINNESOTA,MN,US,STATE,1,CASES
1967,47,MINNESOTA,MN,US,STATE,2,CASES
1967,49,MINNESOTA,MN,US,STATE,2,CASES
1967,50,MINNESOTA,MN,US,STATE,4,CASES
1967,51,MINNESOTA,MN,US,STATE,2,CASES
1967,52,MINNESOTA,MN,US,STATE,3,CASES
1968,2,MINNESOTA,MN,US,STATE,1,CASES
1968,3,MINNESOTA,MN,US,STATE,5,CASES
1968,5,MINNESOTA,MN,US,STATE,2,CASES
1968,6,MINNESOTA,MN,US,STATE,3,CASES
1968,7,MINNESOTA,MN,US,STATE,10,CASES
1968,9,MINNESOTA,MN,US,STATE,4,CASES
1968,10,MINNESOTA,MN,US,STATE,4,CASES
1968,11,MINNESOTA,MN,US,STATE,1,CASES
1968,12,MINNESOTA,MN,US,STATE,1,CASES
1968,13,MINNESOTA,MN,US,STATE,5,CASES
1968,14,MINNESOTA,MN,US,STATE,3,CASES
1968,15,MINNESOTA,MN,US,STATE,1,CASES
1968,17,MINNESOTA,MN,US,STATE,4,CASES
1968,18,MINNESOTA,MN,US,STATE,1,CASES
1968,19,MINNESOTA,MN,US,STATE,2,CASES
1968,21,MINNESOTA,MN,US,STATE,6,CASES
1968,22,MINNESOTA,MN,US,STATE,1,CASES
1968,23,MINNESOTA,MN,US,STATE,1,CASES
1968,24,MINNESOTA,MN,US,STATE,2,CASES
1968,28,MINNESOTA,MN,US,STATE,1,CASES
1968,32,MINNESOTA,MN,US,STATE,1,CASES
1968,41,MINNESOTA,MN,US,STATE,3,CASES
1968,42,MINNESOTA,MN,US,STATE,3,CASES
1968,48,MINNESOTA,MN,US,STATE,3,CASES
1968,50,MINNESOTA,MN,US,STATE,1,CASES
1969,2,MINNESOTA,MN,US,STATE,2,CASES
1969,3,MINNESOTA,MN,US,STATE,1,CASES
1969,4,MINNESOTA,MN,US,STATE,1,CASES
1969,5,MINNESOTA,MN,US,STATE,1,CASES
1969,6,MINNESOTA,MN,US,STATE,4,CASES
1969,7,MINNESOTA,MN,US,STATE,2,CASES
1969,8,MINNESOTA,MN,US,STATE,7,CASES
1969,9,MINNESOTA,MN,US,STATE,1,CASES
1969,10,MINNESOTA,MN,US,STATE,7,CASES
1969,12,MINNESOTA,MN,US,STATE,4,CASES
1969,13,MINNESOTA,MN,US,STATE,7,CASES
1969,14,MINNESOTA,MN,US,STATE,6,CASES
1969,16,MINNESOTA,MN,US,STATE,12,CASES
1969,17,MINNESOTA,MN,US,STATE,33,CASES
1969,18,MINNESOTA,MN,US,STATE,43,CASES
1969,19,MINNESOTA,MN,US,STATE,7,CASES
1969,20,MINNESOTA,MN,US,STATE,21,CASES
1969,21,MINNESOTA,MN,US,STATE,1,CASES
1969,22,MINNESOTA,MN,US,STATE,4,CASES
1969,23,MINNESOTA,MN,US,STATE,1,CASES
1969,24,MINNESOTA,MN,US,STATE,31,CASES
1969,25,MINNESOTA,MN,US,STATE,1,CASES
1969,26,MINNESOTA,MN,US,STATE,3,CASES
1969,28,MINNESOTA,MN,US,STATE,1,CASES
1969,35,MINNESOTA,MN,US,STATE,1,CASES
1969,36,MINNESOTA,MN,US,STATE,1,CASES
1969,38,MINNESOTA,MN,US,STATE,1,CASES
1969,39,MINNESOTA,MN,US,STATE,1,CASES
1969,40,MINNESOTA,MN,US,STATE,7,CASES
1969,44,MINNESOTA,MN,US,STATE,2,CASES
1969,46,MINNESOTA,MN,US,STATE,9,CASES
1969,47,MINNESOTA,MN,US,STATE,3,CASES
1969,48,MINNESOTA,MN,US,STATE,7,CASES
1969,49,MINNESOTA,MN,US,STATE,4,CASES
1969,50,MINNESOTA,MN,US,STATE,3,CASES
1970,1,MINNESOTA,MN,US,STATE,3,CASES
1970,2,MINNESOTA,MN,US,STATE,5,CASES
1970,3,MINNESOTA,MN,US,STATE,3,CASES
1970,4,MINNESOTA,MN,US,STATE,6,CASES
1970,5,MINNESOTA,MN,US,STATE,11,CASES
1970,6,MINNESOTA,MN,US,STATE,2,CASES
1970,7,MINNESOTA,MN,US,STATE,8,CASES
1970,8,MINNESOTA,MN,US,STATE,9,CASES
1970,9,MINNESOTA,MN,US,STATE,5,CASES
1970,10,MINNESOTA,MN,US,STATE,5,CASES
1970,11,MINNESOTA,MN,US,STATE,1,CASES
