year,week,loc,state,country,loc_type,number,event
1972,7,MISSOURI,MO,US,STATE,1,CASES
1972,8,MISSOURI,MO,US,STATE,5,CASES
1972,9,MISSOURI,MO,US,STATE,5,CASES
1972,10,MISSOURI,MO,US,STATE,15,CASES
1972,11,MISSOURI,MO,US,STATE,11,CASES
1972,12,MISSOURI,MO,US,STATE,8,CASES
1972,13,MISSOURI,MO,US,STATE,11,CASES
1972,14,MISSOURI,MO,US,STATE,5,CASES
1972,15,MISSOURI,MO,US,STATE,84,CASES
1972,16,MISSOURI,MO,US,STATE,14,CASES
1972,17,MISSOURI,MO,US,STATE,41,CASES
1972,18,MISSOURI,MO,US,STATE,8,CASES
1972,19,MISSOURI,MO,US,STATE,5,CASES
1972,20,MISSOURI,MO,US,STATE,16,CASES
1972,21,MISSOURI,MO,US,STATE,1,CASES
1972,23,MISSOURI,MO,US,STATE,9,CASES
1972,24,MISSOURI,MO,US,STATE,9,CASES
1972,25,MISSOURI,MO,US,STATE,9,CASES
1972,26,MISSOURI,MO,US,STATE,3,CASES
1972,27,MISSOURI,MO,US,STATE,3,CASES
1972,28,MISSOURI,MO,US,STATE,8,CASES
1972,29,MISSOURI,MO,US,STATE,3,CASES
1972,30,MISSOURI,MO,US,STATE,3,CASES
1972,31,MISSOURI,MO,US,STATE,1,CASES
1972,32,MISSOURI,MO,US,STATE,3,CASES
1972,33,MISSOURI,MO,US,STATE,3,CASES
1972,36,MISSOURI,MO,US,STATE,4,CASES
1972,37,MISSOURI,MO,US,STATE,1,CASES
1972,41,MISSOURI,MO,US,STATE,3,CASES
1972,43,MISSOURI,MO,US,STATE,1,CASES
1972,44,MISSOURI,MO,US,STATE,4,CASES
1972,45,MISSOURI,MO,US,STATE,2,CASES
1972,46,MISSOURI,MO,US,STATE,4,CASES
1972,47,MISSOURI,MO,US,STATE,2,CASES
1972,48,MISSOURI,MO,US,STATE,24,CASES
1972,49,MISSOURI,MO,US,STATE,29,CASES
1972,50,MISSOURI,MO,US,STATE,71,CASES
1972,51,MISSOURI,MO,US,STATE,17,CASES
1973,1,MISSOURI,MO,US,STATE,26,CASES
1973,3,MISSOURI,MO,US,STATE,9,CASES
1973,4,MISSOURI,MO,US,STATE,28,CASES
1973,5,MISSOURI,MO,US,STATE,17,CASES
1973,6,MISSOURI,MO,US,STATE,66,CASES
1973,7,MISSOURI,MO,US,STATE,2,CASES
1973,8,MISSOURI,MO,US,STATE,66,CASES
1973,9,MISSOURI,MO,US,STATE,56,CASES
1973,10,MISSOURI,MO,US,STATE,70,CASES
1973,11,MISSOURI,MO,US,STATE,46,CASES
1973,12,MISSOURI,MO,US,STATE,120,CASES
1973,13,MISSOURI,MO,US,STATE,23,CASES
1973,14,MISSOURI,MO,US,STATE,8,CASES
1973,15,MISSOURI,MO,US,STATE,140,CASES
1973,16,MISSOURI,MO,US,STATE,17,CASES
1973,17,MISSOURI,MO,US,STATE,260,CASES
1973,18,MISSOURI,MO,US,STATE,58,CASES
1973,19,MISSOURI,MO,US,STATE,29,CASES
1973,20,MISSOURI,MO,US,STATE,61,CASES
1973,21,MISSOURI,MO,US,STATE,13,CASES
1973,22,MISSOURI,MO,US,STATE,140,CASES
1973,23,MISSOURI,MO,US,STATE,12,CASES
1973,24,MISSOURI,MO,US,STATE,22,CASES
1973,25,MISSOURI,MO,US,STATE,14,CASES
1973,26,MISSOURI,MO,US,STATE,14,CASES
1973,27,MISSOURI,MO,US,STATE,7,CASES
1973,28,MISSOURI,MO,US,STATE,105,CASES
1973,29,MISSOURI,MO,US,STATE,4,CASES
1973,31,MISSOURI,MO,US,STATE,28,CASES
1973,33,MISSOURI,MO,US,STATE,17,CASES
1973,41,MISSOURI,MO,US,STATE,2,CASES
1973,42,MISSOURI,MO,US,STATE,5,CASES
1973,43,MISSOURI,MO,US,STATE,1,CASES
1973,44,MISSOURI,MO,US,STATE,18,CASES
1973,45,MISSOURI,MO,US,STATE,2,CASES
1973,46,MISSOURI,MO,US,STATE,4,CASES
1973,47,MISSOURI,MO,US,STATE,3,CASES
1973,48,MISSOURI,MO,US,STATE,17,CASES
1973,49,MISSOURI,MO,US,STATE,2,CASES
