year,week,loc,state,country,loc_type,number,event
1937,43,MISSOURI,MO,US,STATE,78,CASES
1937,44,MISSOURI,MO,US,STATE,81,CASES
1937,45,MISSOURI,MO,US,STATE,71,CASES
1937,46,MISSOURI,MO,US,STATE,63,CASES
1937,47,MISSOURI,MO,US,STATE,32,CASES
1937,48,MISSOURI,MO,US,STATE,95,CASES
1937,49,MISSOURI,MO,US,STATE,41,CASES
1937,50,MISSOURI,MO,US,STATE,22,CASES
1937,51,MISSOURI,MO,US,STATE,32,CASES
1938,1,MISSOURI,MO,US,STATE,48,CASES
1938,2,MISSOURI,MO,US,STATE,95,CASES
1938,3,MISSOURI,MO,US,STATE,112,CASES
1938,4,MISSOURI,MO,US,STATE,49,CASES
1938,5,MISSOURI,MO,US,STATE,108,CASES
1938,6,MISSOURI,MO,US,STATE,90,CASES
1938,7,MISSOURI,MO,US,STATE,52,CASES
1938,8,MISSOURI,MO,US,STATE,125,CASES
1938,9,MISSOURI,MO,US,STATE,39,CASES
1938,10,MISSOURI,MO,US,STATE,60,CASES
1938,11,MISSOURI,MO,US,STATE,57,CASES
1938,12,MISSOURI,MO,US,STATE,41,CASES
1938,13,MISSOURI,MO,US,STATE,43,CASES
1938,14,MISSOURI,MO,US,STATE,97,CASES
1938,15,MISSOURI,MO,US,STATE,22,CASES
1938,16,MISSOURI,MO,US,STATE,18,CASES
1938,17,MISSOURI,MO,US,STATE,20,CASES
1938,18,MISSOURI,MO,US,STATE,25,CASES
1938,19,MISSOURI,MO,US,STATE,34,CASES
1938,20,MISSOURI,MO,US,STATE,23,CASES
1938,21,MISSOURI,MO,US,STATE,5,CASES
1938,22,MISSOURI,MO,US,STATE,38,CASES
1938,23,MISSOURI,MO,US,STATE,19,CASES
1938,24,MISSOURI,MO,US,STATE,24,CASES
1938,25,MISSOURI,MO,US,STATE,48,CASES
1938,26,MISSOURI,MO,US,STATE,39,CASES
1938,27,MISSOURI,MO,US,STATE,76,CASES
1938,28,MISSOURI,MO,US,STATE,52,CASES
1938,29,MISSOURI,MO,US,STATE,43,CASES
1938,30,MISSOURI,MO,US,STATE,20,CASES
1938,31,MISSOURI,MO,US,STATE,37,CASES
1938,32,MISSOURI,MO,US,STATE,24,CASES
1938,33,MISSOURI,MO,US,STATE,24,CASES
1938,34,MISSOURI,MO,US,STATE,26,CASES
1938,35,MISSOURI,MO,US,STATE,10,CASES
1938,36,MISSOURI,MO,US,STATE,31,CASES
1938,37,MISSOURI,MO,US,STATE,12,CASES
1938,38,MISSOURI,MO,US,STATE,26,CASES
1938,39,MISSOURI,MO,US,STATE,19,CASES
1938,40,MISSOURI,MO,US,STATE,13,CASES
1938,41,MISSOURI,MO,US,STATE,34,CASES
1938,42,MISSOURI,MO,US,STATE,22,CASES
1938,43,MISSOURI,MO,US,STATE,21,CASES
1938,44,MISSOURI,MO,US,STATE,30,CASES
1938,45,MISSOURI,MO,US,STATE,11,CASES
1938,46,MISSOURI,MO,US,STATE,29,CASES
1938,47,MISSOURI,MO,US,STATE,13,CASES
1938,48,MISSOURI,MO,US,STATE,20,CASES
1938,49,MISSOURI,MO,US,STATE,35,CASES
1938,50,MISSOURI,MO,US,STATE,12,CASES
1938,51,MISSOURI,MO,US,STATE,25,CASES
1938,52,MISSOURI,MO,US,STATE,11,CASES
1939,1,MISSOURI,MO,US,STATE,13,CASES
1939,2,MISSOURI,MO,US,STATE,26,CASES
1939,3,MISSOURI,MO,US,STATE,19,CASES
1939,4,MISSOURI,MO,US,STATE,30,CASES
1939,5,MISSOURI,MO,US,STATE,28,CASES
1939,6,MISSOURI,MO,US,STATE,10,CASES
1939,7,MISSOURI,MO,US,STATE,36,CASES
1939,8,MISSOURI,MO,US,STATE,32,CASES
1939,9,MISSOURI,MO,US,STATE,48,CASES
1939,10,MISSOURI,MO,US,STATE,17,CASES
1939,11,MISSOURI,MO,US,STATE,40,CASES
1939,12,MISSOURI,MO,US,STATE,16,CASES
1939,13,MISSOURI,MO,US,STATE,12,CASES
1939,14,MISSOURI,MO,US,STATE,23,CASES
1939,15,MISSOURI,MO,US,STATE,25,CASES
1939,16,MISSOURI,MO,US,STATE,17,CASES
1939,17,MISSOURI,MO,US,STATE,13,CASES
1939,18,MISSOURI,MO,US,STATE,15,CASES
1939,19,MISSOURI,MO,US,STATE,30,CASES
1939,20,MISSOURI,MO,US,STATE,21,CASES
1939,21,MISSOURI,MO,US,STATE,24,CASES
1939,22,MISSOURI,MO,US,STATE,22,CASES
1939,23,MISSOURI,MO,US,STATE,8,CASES
1939,24,MISSOURI,MO,US,STATE,23,CASES
1939,25,MISSOURI,MO,US,STATE,28,CASES
1939,26,MISSOURI,MO,US,STATE,62,CASES
1939,27,MISSOURI,MO,US,STATE,22,CASES
1939,28,MISSOURI,MO,US,STATE,36,CASES
1939,29,MISSOURI,MO,US,STATE,49,CASES
1939,30,MISSOURI,MO,US,STATE,32,CASES
1939,31,MISSOURI,MO,US,STATE,25,CASES
1939,32,MISSOURI,MO,US,STATE,41,CASES
1939,33,MISSOURI,MO,US,STATE,1,CASES
1939,34,MISSOURI,MO,US,STATE,30,CASES
1939,35,MISSOURI,MO,US,STATE,20,CASES
1939,36,MISSOURI,MO,US,STATE,17,CASES
1939,37,MISSOURI,MO,US,STATE,19,CASES
1939,38,MISSOURI,MO,US,STATE,32,CASES
1939,39,MISSOURI,MO,US,STATE,30,CASES
1939,40,MISSOURI,MO,US,STATE,19,CASES
1939,41,MISSOURI,MO,US,STATE,13,CASES
1939,42,MISSOURI,MO,US,STATE,15,CASES
1939,43,MISSOURI,MO,US,STATE,31,CASES
1939,44,MISSOURI,MO,US,STATE,24,CASES
1939,45,MISSOURI,MO,US,STATE,11,CASES
1939,46,MISSOURI,MO,US,STATE,13,CASES
1939,47,MISSOURI,MO,US,STATE,20,CASES
1939,48,MISSOURI,MO,US,STATE,12,CASES
1939,49,MISSOURI,MO,US,STATE,18,CASES
1939,50,MISSOURI,MO,US,STATE,33,CASES
1939,51,MISSOURI,MO,US,STATE,20,CASES
1939,52,MISSOURI,MO,US,STATE,4,CASES
1940,2,MISSOURI,MO,US,STATE,3,CASES
1940,3,MISSOURI,MO,US,STATE,15,CASES
1940,4,MISSOURI,MO,US,STATE,11,CASES
1940,6,MISSOURI,MO,US,STATE,15,CASES
1940,7,MISSOURI,MO,US,STATE,9,CASES
1940,8,MISSOURI,MO,US,STATE,11,CASES
1940,9,MISSOURI,MO,US,STATE,11,CASES
1940,10,MISSOURI,MO,US,STATE,27,CASES
1940,11,MISSOURI,MO,US,STATE,31,CASES
1940,12,MISSOURI,MO,US,STATE,27,CASES
1940,13,MISSOURI,MO,US,STATE,4,CASES
1940,14,MISSOURI,MO,US,STATE,33,CASES
1940,15,MISSOURI,MO,US,STATE,7,CASES
1940,16,MISSOURI,MO,US,STATE,22,CASES
1940,17,MISSOURI,MO,US,STATE,4,CASES
1940,18,MISSOURI,MO,US,STATE,11,CASES
1940,19,MISSOURI,MO,US,STATE,44,CASES
1940,20,MISSOURI,MO,US,STATE,19,CASES
1940,21,MISSOURI,MO,US,STATE,21,CASES
1940,22,MISSOURI,MO,US,STATE,28,CASES
1940,23,MISSOURI,MO,US,STATE,15,CASES
1940,24,MISSOURI,MO,US,STATE,55,CASES
1940,25,MISSOURI,MO,US,STATE,30,CASES
1940,26,MISSOURI,MO,US,STATE,0,CASES
1940,27,MISSOURI,MO,US,STATE,36,CASES
1940,28,MISSOURI,MO,US,STATE,33,CASES
1940,29,MISSOURI,MO,US,STATE,69,CASES
1940,30,MISSOURI,MO,US,STATE,51,CASES
1940,31,MISSOURI,MO,US,STATE,36,CASES
1940,32,MISSOURI,MO,US,STATE,31,CASES
1940,33,MISSOURI,MO,US,STATE,11,CASES
1940,34,MISSOURI,MO,US,STATE,42,CASES
1940,35,MISSOURI,MO,US,STATE,8,CASES
1940,36,MISSOURI,MO,US,STATE,30,CASES
1940,37,MISSOURI,MO,US,STATE,41,CASES
1940,38,MISSOURI,MO,US,STATE,34,CASES
1940,39,MISSOURI,MO,US,STATE,25,CASES
1940,40,MISSOURI,MO,US,STATE,18,CASES
1940,41,MISSOURI,MO,US,STATE,26,CASES
1940,42,MISSOURI,MO,US,STATE,7,CASES
1940,43,MISSOURI,MO,US,STATE,57,CASES
1940,44,MISSOURI,MO,US,STATE,23,CASES
1940,45,MISSOURI,MO,US,STATE,79,CASES
1940,46,MISSOURI,MO,US,STATE,48,CASES
1940,47,MISSOURI,MO,US,STATE,99,CASES
1940,48,MISSOURI,MO,US,STATE,51,CASES
1940,49,MISSOURI,MO,US,STATE,51,CASES
1940,50,MISSOURI,MO,US,STATE,146,CASES
1940,51,MISSOURI,MO,US,STATE,51,CASES
1940,52,MISSOURI,MO,US,STATE,7,CASES
1941,1,MISSOURI,MO,US,STATE,17,CASES
1941,2,MISSOURI,MO,US,STATE,40,CASES
