year,week,loc,state,country,loc_type,number,event
1927,47,MISSOURI,MO,US,STATE,100,CASES
1927,48,MISSOURI,MO,US,STATE,89,CASES
1927,49,MISSOURI,MO,US,STATE,73,CASES
1927,51,MISSOURI,MO,US,STATE,46,CASES
1927,52,MISSOURI,MO,US,STATE,42,CASES
1928,1,MISSOURI,MO,US,STATE,42,CASES
1928,2,MISSOURI,MO,US,STATE,46,CASES
1928,3,MISSOURI,MO,US,STATE,52,CASES
1928,4,MISSOURI,MO,US,STATE,48,CASES
1928,5,MISSOURI,MO,US,STATE,56,CASES
1928,6,MISSOURI,MO,US,STATE,51,CASES
1928,7,MISSOURI,MO,US,STATE,46,CASES
1928,8,MISSOURI,MO,US,STATE,59,CASES
1928,9,MISSOURI,MO,US,STATE,54,CASES
1928,10,MISSOURI,MO,US,STATE,56,CASES
1928,11,MISSOURI,MO,US,STATE,39,CASES
1928,12,MISSOURI,MO,US,STATE,52,CASES
1928,13,MISSOURI,MO,US,STATE,36,CASES
1928,14,MISSOURI,MO,US,STATE,37,CASES
1928,15,MISSOURI,MO,US,STATE,27,CASES
1928,16,MISSOURI,MO,US,STATE,35,CASES
1928,17,MISSOURI,MO,US,STATE,19,CASES
1928,18,MISSOURI,MO,US,STATE,34,CASES
1928,19,MISSOURI,MO,US,STATE,23,CASES
1928,20,MISSOURI,MO,US,STATE,38,CASES
1928,21,MISSOURI,MO,US,STATE,30,CASES
1928,22,MISSOURI,MO,US,STATE,21,CASES
1928,23,MISSOURI,MO,US,STATE,25,CASES
1928,24,MISSOURI,MO,US,STATE,18,CASES
1928,25,MISSOURI,MO,US,STATE,27,CASES
1928,26,MISSOURI,MO,US,STATE,22,CASES
1928,27,MISSOURI,MO,US,STATE,16,CASES
1928,28,MISSOURI,MO,US,STATE,19,CASES
1928,29,MISSOURI,MO,US,STATE,20,CASES
1928,30,MISSOURI,MO,US,STATE,18,CASES
1928,31,MISSOURI,MO,US,STATE,15,CASES
1928,32,MISSOURI,MO,US,STATE,23,CASES
1928,33,MISSOURI,MO,US,STATE,21,CASES
1928,34,MISSOURI,MO,US,STATE,19,CASES
1928,35,MISSOURI,MO,US,STATE,13,CASES
1928,36,MISSOURI,MO,US,STATE,28,CASES
1928,37,MISSOURI,MO,US,STATE,35,CASES
1928,38,MISSOURI,MO,US,STATE,22,CASES
1928,39,MISSOURI,MO,US,STATE,33,CASES
1928,40,MISSOURI,MO,US,STATE,53,CASES
1928,41,MISSOURI,MO,US,STATE,47,CASES
1928,42,MISSOURI,MO,US,STATE,56,CASES
1928,43,MISSOURI,MO,US,STATE,59,CASES
1928,44,MISSOURI,MO,US,STATE,43,CASES
1928,45,MISSOURI,MO,US,STATE,78,CASES
1928,46,MISSOURI,MO,US,STATE,84,CASES
1928,47,MISSOURI,MO,US,STATE,62,CASES
1928,48,MISSOURI,MO,US,STATE,74,CASES
1928,49,MISSOURI,MO,US,STATE,67,CASES
1928,50,MISSOURI,MO,US,STATE,75,CASES
1928,51,MISSOURI,MO,US,STATE,51,CASES
1928,52,MISSOURI,MO,US,STATE,56,CASES
1929,1,MISSOURI,MO,US,STATE,66,CASES
1929,2,MISSOURI,MO,US,STATE,67,CASES
1929,3,MISSOURI,MO,US,STATE,55,CASES
1929,4,MISSOURI,MO,US,STATE,43,CASES
1929,5,MISSOURI,MO,US,STATE,39,CASES
1929,6,MISSOURI,MO,US,STATE,53,CASES
1929,7,MISSOURI,MO,US,STATE,51,CASES
1929,8,MISSOURI,MO,US,STATE,63,CASES
1929,9,MISSOURI,MO,US,STATE,54,CASES
1929,10,MISSOURI,MO,US,STATE,61,CASES
1929,11,MISSOURI,MO,US,STATE,66,CASES
1929,12,MISSOURI,MO,US,STATE,52,CASES
1929,13,MISSOURI,MO,US,STATE,73,CASES
1929,14,MISSOURI,MO,US,STATE,30,CASES
1929,15,MISSOURI,MO,US,STATE,32,CASES
1929,16,MISSOURI,MO,US,STATE,47,CASES
1929,17,MISSOURI,MO,US,STATE,33,CASES
1929,18,MISSOURI,MO,US,STATE,35,CASES
1929,19,MISSOURI,MO,US,STATE,37,CASES
1929,20,MISSOURI,MO,US,STATE,58,CASES
1929,21,MISSOURI,MO,US,STATE,52,CASES
