year,week,loc,state,country,loc_type,number,event
1927,47,MISSOURI,MO,US,STATE,81,CASES
1927,48,MISSOURI,MO,US,STATE,101,CASES
1927,49,MISSOURI,MO,US,STATE,86,CASES
1927,51,MISSOURI,MO,US,STATE,88,CASES
1927,52,MISSOURI,MO,US,STATE,47,CASES
1928,1,MISSOURI,MO,US,STATE,68,CASES
1928,2,MISSOURI,MO,US,STATE,98,CASES
1928,3,MISSOURI,MO,US,STATE,69,CASES
1928,4,MISSOURI,MO,US,STATE,93,CASES
1928,5,MISSOURI,MO,US,STATE,116,CASES
1928,6,MISSOURI,MO,US,STATE,109,CASES
1928,7,MISSOURI,MO,US,STATE,113,CASES
1928,8,MISSOURI,MO,US,STATE,94,CASES
1928,9,MISSOURI,MO,US,STATE,109,CASES
1928,10,MISSOURI,MO,US,STATE,161,CASES
1928,11,MISSOURI,MO,US,STATE,78,CASES
1928,12,MISSOURI,MO,US,STATE,105,CASES
1928,13,MISSOURI,MO,US,STATE,114,CASES
1928,14,MISSOURI,MO,US,STATE,96,CASES
1928,15,MISSOURI,MO,US,STATE,71,CASES
1928,16,MISSOURI,MO,US,STATE,86,CASES
1928,17,MISSOURI,MO,US,STATE,108,CASES
1928,18,MISSOURI,MO,US,STATE,100,CASES
1928,19,MISSOURI,MO,US,STATE,82,CASES
1928,20,MISSOURI,MO,US,STATE,110,CASES
1928,21,MISSOURI,MO,US,STATE,63,CASES
1928,22,MISSOURI,MO,US,STATE,116,CASES
1928,23,MISSOURI,MO,US,STATE,50,CASES
1928,24,MISSOURI,MO,US,STATE,47,CASES
1928,25,MISSOURI,MO,US,STATE,58,CASES
1928,26,MISSOURI,MO,US,STATE,42,CASES
1928,27,MISSOURI,MO,US,STATE,29,CASES
1928,28,MISSOURI,MO,US,STATE,27,CASES
1928,29,MISSOURI,MO,US,STATE,21,CASES
1928,30,MISSOURI,MO,US,STATE,17,CASES
1928,31,MISSOURI,MO,US,STATE,12,CASES
1928,32,MISSOURI,MO,US,STATE,13,CASES
1928,33,MISSOURI,MO,US,STATE,24,CASES
1928,34,MISSOURI,MO,US,STATE,20,CASES
1928,35,MISSOURI,MO,US,STATE,14,CASES
1928,36,MISSOURI,MO,US,STATE,24,CASES
1928,37,MISSOURI,MO,US,STATE,22,CASES
1928,38,MISSOURI,MO,US,STATE,41,CASES
1928,39,MISSOURI,MO,US,STATE,52,CASES
1928,40,MISSOURI,MO,US,STATE,71,CASES
1928,41,MISSOURI,MO,US,STATE,87,CASES
1928,42,MISSOURI,MO,US,STATE,56,CASES
1928,43,MISSOURI,MO,US,STATE,87,CASES
1928,44,MISSOURI,MO,US,STATE,63,CASES
1928,45,MISSOURI,MO,US,STATE,96,CASES
1928,46,MISSOURI,MO,US,STATE,96,CASES
1928,47,MISSOURI,MO,US,STATE,84,CASES
1928,48,MISSOURI,MO,US,STATE,77,CASES
1928,49,MISSOURI,MO,US,STATE,74,CASES
1928,50,MISSOURI,MO,US,STATE,102,CASES
1928,51,MISSOURI,MO,US,STATE,43,CASES
1928,52,MISSOURI,MO,US,STATE,65,CASES
1929,1,MISSOURI,MO,US,STATE,75,CASES
1929,2,MISSOURI,MO,US,STATE,75,CASES
1929,3,MISSOURI,MO,US,STATE,74,CASES
1929,4,MISSOURI,MO,US,STATE,97,CASES
1929,5,MISSOURI,MO,US,STATE,75,CASES
1929,6,MISSOURI,MO,US,STATE,92,CASES
1929,7,MISSOURI,MO,US,STATE,91,CASES
1929,8,MISSOURI,MO,US,STATE,119,CASES
1929,9,MISSOURI,MO,US,STATE,122,CASES
1929,10,MISSOURI,MO,US,STATE,106,CASES
1929,11,MISSOURI,MO,US,STATE,100,CASES
1929,12,MISSOURI,MO,US,STATE,87,CASES
1929,13,MISSOURI,MO,US,STATE,133,CASES
1929,14,MISSOURI,MO,US,STATE,64,CASES
1929,15,MISSOURI,MO,US,STATE,96,CASES
1929,16,MISSOURI,MO,US,STATE,69,CASES
1929,17,MISSOURI,MO,US,STATE,75,CASES
1929,18,MISSOURI,MO,US,STATE,72,CASES
1929,19,MISSOURI,MO,US,STATE,63,CASES
1929,20,MISSOURI,MO,US,STATE,75,CASES
1929,21,MISSOURI,MO,US,STATE,53,CASES
1929,22,MISSOURI,MO,US,STATE,52,CASES
1929,23,MISSOURI,MO,US,STATE,40,CASES
1929,24,MISSOURI,MO,US,STATE,45,CASES
1929,25,MISSOURI,MO,US,STATE,34,CASES
1929,26,MISSOURI,MO,US,STATE,20,CASES
1929,27,MISSOURI,MO,US,STATE,11,CASES
1929,28,MISSOURI,MO,US,STATE,14,CASES
1929,29,MISSOURI,MO,US,STATE,10,CASES
1929,30,MISSOURI,MO,US,STATE,10,CASES
1929,31,MISSOURI,MO,US,STATE,12,CASES
1929,32,MISSOURI,MO,US,STATE,12,CASES
1929,33,MISSOURI,MO,US,STATE,10,CASES
1929,34,MISSOURI,MO,US,STATE,17,CASES
1929,35,MISSOURI,MO,US,STATE,18,CASES
1929,36,MISSOURI,MO,US,STATE,19,CASES
1929,37,MISSOURI,MO,US,STATE,21,CASES
1929,38,MISSOURI,MO,US,STATE,35,CASES
1929,39,MISSOURI,MO,US,STATE,29,CASES
1929,40,MISSOURI,MO,US,STATE,42,CASES
1929,41,MISSOURI,MO,US,STATE,51,CASES
1929,42,MISSOURI,MO,US,STATE,72,CASES
1929,43,MISSOURI,MO,US,STATE,86,CASES
1929,44,MISSOURI,MO,US,STATE,53,CASES
1929,45,MISSOURI,MO,US,STATE,93,CASES
1929,46,MISSOURI,MO,US,STATE,95,CASES
1929,47,MISSOURI,MO,US,STATE,122,CASES
1929,48,MISSOURI,MO,US,STATE,95,CASES
1929,49,MISSOURI,MO,US,STATE,102,CASES
1929,50,MISSOURI,MO,US,STATE,104,CASES
1929,51,MISSOURI,MO,US,STATE,85,CASES
1929,52,MISSOURI,MO,US,STATE,57,CASES
1930,1,MISSOURI,MO,US,STATE,111,CASES
1930,2,MISSOURI,MO,US,STATE,41,CASES
1930,3,MISSOURI,MO,US,STATE,71,CASES
1930,4,MISSOURI,MO,US,STATE,91,CASES
1930,5,MISSOURI,MO,US,STATE,104,CASES
1930,6,MISSOURI,MO,US,STATE,110,CASES
1930,7,MISSOURI,MO,US,STATE,117,CASES
1930,8,MISSOURI,MO,US,STATE,135,CASES
1930,9,MISSOURI,MO,US,STATE,118,CASES
1930,10,MISSOURI,MO,US,STATE,108,CASES
1930,11,MISSOURI,MO,US,STATE,102,CASES
1930,12,MISSOURI,MO,US,STATE,114,CASES
1930,13,MISSOURI,MO,US,STATE,105,CASES
1930,14,MISSOURI,MO,US,STATE,119,CASES
1930,15,MISSOURI,MO,US,STATE,137,CASES
1930,16,MISSOURI,MO,US,STATE,185,CASES
1930,17,MISSOURI,MO,US,STATE,99,CASES
1930,18,MISSOURI,MO,US,STATE,55,CASES
1930,19,MISSOURI,MO,US,STATE,94,CASES
1930,20,MISSOURI,MO,US,STATE,96,CASES
1930,21,MISSOURI,MO,US,STATE,105,CASES
1930,22,MISSOURI,MO,US,STATE,96,CASES
1930,23,MISSOURI,MO,US,STATE,103,CASES
1930,24,MISSOURI,MO,US,STATE,94,CASES
1930,25,MISSOURI,MO,US,STATE,65,CASES
1930,26,MISSOURI,MO,US,STATE,29,CASES
1930,27,MISSOURI,MO,US,STATE,33,CASES
1930,28,MISSOURI,MO,US,STATE,32,CASES
1930,29,MISSOURI,MO,US,STATE,13,CASES
1930,30,MISSOURI,MO,US,STATE,9,CASES
1930,31,MISSOURI,MO,US,STATE,16,CASES
1930,32,MISSOURI,MO,US,STATE,16,CASES
1930,33,MISSOURI,MO,US,STATE,9,CASES
1930,34,MISSOURI,MO,US,STATE,10,CASES
1930,35,MISSOURI,MO,US,STATE,17,CASES
1930,36,MISSOURI,MO,US,STATE,27,CASES
1930,37,MISSOURI,MO,US,STATE,18,CASES
1930,38,MISSOURI,MO,US,STATE,14,CASES
1930,39,MISSOURI,MO,US,STATE,36,CASES
1930,40,MISSOURI,MO,US,STATE,28,CASES
1930,41,MISSOURI,MO,US,STATE,42,CASES
1930,42,MISSOURI,MO,US,STATE,57,CASES
1930,43,MISSOURI,MO,US,STATE,38,CASES
1930,44,MISSOURI,MO,US,STATE,77,CASES
1930,45,MISSOURI,MO,US,STATE,99,CASES
1930,46,MISSOURI,MO,US,STATE,95,CASES
1930,47,MISSOURI,MO,US,STATE,88,CASES
1930,48,MISSOURI,MO,US,STATE,68,CASES
1930,49,MISSOURI,MO,US,STATE,90,CASES
1930,50,MISSOURI,MO,US,STATE,93,CASES
1930,51,MISSOURI,MO,US,STATE,55,CASES
1930,52,MISSOURI,MO,US,STATE,128,CASES
1930,53,MISSOURI,MO,US,STATE,119,CASES
1931,1,MISSOURI,MO,US,STATE,165,CASES
1931,2,MISSOURI,MO,US,STATE,126,CASES
1931,3,MISSOURI,MO,US,STATE,178,CASES
1931,4,MISSOURI,MO,US,STATE,230,CASES
1931,5,MISSOURI,MO,US,STATE,223,CASES
1931,6,MISSOURI,MO,US,STATE,253,CASES
1931,7,MISSOURI,MO,US,STATE,328,CASES
1931,8,MISSOURI,MO,US,STATE,232,CASES
1931,9,MISSOURI,MO,US,STATE,261,CASES
1931,10,MISSOURI,MO,US,STATE,301,CASES
1931,11,MISSOURI,MO,US,STATE,349,CASES
1931,12,MISSOURI,MO,US,STATE,368,CASES
1931,13,MISSOURI,MO,US,STATE,388,CASES
1931,14,MISSOURI,MO,US,STATE,269,CASES
1931,15,MISSOURI,MO,US,STATE,283,CASES
1931,16,MISSOURI,MO,US,STATE,263,CASES
1931,17,MISSOURI,MO,US,STATE,317,CASES
1931,18,MISSOURI,MO,US,STATE,225,CASES
1931,19,MISSOURI,MO,US,STATE,216,CASES
1931,20,MISSOURI,MO,US,STATE,167,CASES
1931,21,MISSOURI,MO,US,STATE,139,CASES
1931,22,MISSOURI,MO,US,STATE,150,CASES
1931,23,MISSOURI,MO,US,STATE,68,CASES
1931,24,MISSOURI,MO,US,STATE,45,CASES
1931,25,MISSOURI,MO,US,STATE,28,CASES
