year,week,loc,state,country,loc_type,number,event
1972,1,MISSISSIPPI,MS,US,STATE,8,CASES
1972,3,MISSISSIPPI,MS,US,STATE,11,CASES
1972,4,MISSISSIPPI,MS,US,STATE,12,CASES
1972,5,MISSISSIPPI,MS,US,STATE,14,CASES
1972,6,MISSISSIPPI,MS,US,STATE,12,CASES
1972,7,MISSISSIPPI,MS,US,STATE,9,CASES
1972,8,MISSISSIPPI,MS,US,STATE,8,CASES
1972,9,MISSISSIPPI,MS,US,STATE,10,CASES
1972,10,MISSISSIPPI,MS,US,STATE,3,CASES
1972,11,MISSISSIPPI,MS,US,STATE,11,CASES
1972,12,MISSISSIPPI,MS,US,STATE,3,CASES
1972,13,MISSISSIPPI,MS,US,STATE,34,CASES
1972,14,MISSISSIPPI,MS,US,STATE,8,CASES
1972,15,MISSISSIPPI,MS,US,STATE,7,CASES
1972,16,MISSISSIPPI,MS,US,STATE,2,CASES
1972,17,MISSISSIPPI,MS,US,STATE,3,CASES
1972,18,MISSISSIPPI,MS,US,STATE,3,CASES
1972,19,MISSISSIPPI,MS,US,STATE,1,CASES
1972,20,MISSISSIPPI,MS,US,STATE,6,CASES
1972,21,MISSISSIPPI,MS,US,STATE,3,CASES
1972,23,MISSISSIPPI,MS,US,STATE,2,CASES
1972,27,MISSISSIPPI,MS,US,STATE,1,CASES
1972,30,MISSISSIPPI,MS,US,STATE,1,CASES
1972,40,MISSISSIPPI,MS,US,STATE,1,CASES
1972,46,MISSISSIPPI,MS,US,STATE,1,CASES
1972,47,MISSISSIPPI,MS,US,STATE,4,CASES
1972,48,MISSISSIPPI,MS,US,STATE,6,CASES
1972,49,MISSISSIPPI,MS,US,STATE,1,CASES
1972,50,MISSISSIPPI,MS,US,STATE,3,CASES
1972,51,MISSISSIPPI,MS,US,STATE,1,CASES
1973,3,MISSISSIPPI,MS,US,STATE,44,CASES
1973,4,MISSISSIPPI,MS,US,STATE,16,CASES
1973,5,MISSISSIPPI,MS,US,STATE,3,CASES
1973,6,MISSISSIPPI,MS,US,STATE,14,CASES
1973,7,MISSISSIPPI,MS,US,STATE,20,CASES
1973,8,MISSISSIPPI,MS,US,STATE,10,CASES
1973,9,MISSISSIPPI,MS,US,STATE,27,CASES
1973,10,MISSISSIPPI,MS,US,STATE,6,CASES
1973,11,MISSISSIPPI,MS,US,STATE,31,CASES
1973,12,MISSISSIPPI,MS,US,STATE,28,CASES
1973,13,MISSISSIPPI,MS,US,STATE,14,CASES
1973,14,MISSISSIPPI,MS,US,STATE,5,CASES
1973,15,MISSISSIPPI,MS,US,STATE,4,CASES
1973,16,MISSISSIPPI,MS,US,STATE,16,CASES
1973,17,MISSISSIPPI,MS,US,STATE,12,CASES
1973,18,MISSISSIPPI,MS,US,STATE,10,CASES
1973,19,MISSISSIPPI,MS,US,STATE,1,CASES
1973,20,MISSISSIPPI,MS,US,STATE,1,CASES
1973,21,MISSISSIPPI,MS,US,STATE,4,CASES
1973,22,MISSISSIPPI,MS,US,STATE,1,CASES
1973,23,MISSISSIPPI,MS,US,STATE,3,CASES
1973,24,MISSISSIPPI,MS,US,STATE,2,CASES
1973,25,MISSISSIPPI,MS,US,STATE,12,CASES
1973,27,MISSISSIPPI,MS,US,STATE,2,CASES
1973,28,MISSISSIPPI,MS,US,STATE,1,CASES
1973,30,MISSISSIPPI,MS,US,STATE,2,CASES
1973,34,MISSISSIPPI,MS,US,STATE,1,CASES
1973,36,MISSISSIPPI,MS,US,STATE,2,CASES
1973,37,MISSISSIPPI,MS,US,STATE,1,CASES
1973,38,MISSISSIPPI,MS,US,STATE,1,CASES
1973,41,MISSISSIPPI,MS,US,STATE,1,CASES
1973,44,MISSISSIPPI,MS,US,STATE,1,CASES
1973,46,MISSISSIPPI,MS,US,STATE,93,CASES
1973,48,MISSISSIPPI,MS,US,STATE,3,CASES
1973,49,MISSISSIPPI,MS,US,STATE,1,CASES
1973,50,MISSISSIPPI,MS,US,STATE,4,CASES
1973,52,MISSISSIPPI,MS,US,STATE,4,CASES
1974,1,MISSISSIPPI,MS,US,STATE,1,CASES
1974,2,MISSISSIPPI,MS,US,STATE,13,CASES
1974,4,MISSISSIPPI,MS,US,STATE,5,CASES
1974,5,MISSISSIPPI,MS,US,STATE,6,CASES
1974,6,MISSISSIPPI,MS,US,STATE,8,CASES
1974,7,MISSISSIPPI,MS,US,STATE,11,CASES
1974,8,MISSISSIPPI,MS,US,STATE,5,CASES
1974,9,MISSISSIPPI,MS,US,STATE,21,CASES
1974,10,MISSISSIPPI,MS,US,STATE,2,CASES
1974,11,MISSISSIPPI,MS,US,STATE,2,CASES
1974,12,MISSISSIPPI,MS,US,STATE,1,CASES
1974,13,MISSISSIPPI,MS,US,STATE,5,CASES
1974,14,MISSISSIPPI,MS,US,STATE,9,CASES
1974,15,MISSISSIPPI,MS,US,STATE,2,CASES
1974,16,MISSISSIPPI,MS,US,STATE,21,CASES
1974,17,MISSISSIPPI,MS,US,STATE,3,CASES
1974,18,MISSISSIPPI,MS,US,STATE,8,CASES
1974,19,MISSISSIPPI,MS,US,STATE,2,CASES
1974,20,MISSISSIPPI,MS,US,STATE,3,CASES
1974,21,MISSISSIPPI,MS,US,STATE,7,CASES
1974,22,MISSISSIPPI,MS,US,STATE,8,CASES
1974,23,MISSISSIPPI,MS,US,STATE,6,CASES
1974,24,MISSISSIPPI,MS,US,STATE,4,CASES
1974,25,MISSISSIPPI,MS,US,STATE,2,CASES
1974,28,MISSISSIPPI,MS,US,STATE,3,CASES
1974,29,MISSISSIPPI,MS,US,STATE,1,CASES
1974,30,MISSISSIPPI,MS,US,STATE,3,CASES
1974,35,MISSISSIPPI,MS,US,STATE,5,CASES
1974,36,MISSISSIPPI,MS,US,STATE,1,CASES
1974,37,MISSISSIPPI,MS,US,STATE,2,CASES
1974,41,MISSISSIPPI,MS,US,STATE,1,CASES
1974,42,MISSISSIPPI,MS,US,STATE,2,CASES
1974,43,MISSISSIPPI,MS,US,STATE,3,CASES
1974,44,MISSISSIPPI,MS,US,STATE,5,CASES
1974,46,MISSISSIPPI,MS,US,STATE,1,CASES
1974,48,MISSISSIPPI,MS,US,STATE,3,CASES
1974,49,MISSISSIPPI,MS,US,STATE,8,CASES
1974,50,MISSISSIPPI,MS,US,STATE,1,CASES
1974,52,MISSISSIPPI,MS,US,STATE,6,CASES
1975,1,MISSISSIPPI,MS,US,STATE,2,CASES
1975,2,MISSISSIPPI,MS,US,STATE,30,CASES
1975,3,MISSISSIPPI,MS,US,STATE,7,CASES
1975,4,MISSISSIPPI,MS,US,STATE,9,CASES
1975,5,MISSISSIPPI,MS,US,STATE,3,CASES
1975,6,MISSISSIPPI,MS,US,STATE,29,CASES
1975,7,MISSISSIPPI,MS,US,STATE,13,CASES
1975,8,MISSISSIPPI,MS,US,STATE,9,CASES
1975,9,MISSISSIPPI,MS,US,STATE,14,CASES
1975,10,MISSISSIPPI,MS,US,STATE,9,CASES
1975,11,MISSISSIPPI,MS,US,STATE,10,CASES
