year,week,loc,state,country,loc_type,number,event
1937,43,MONTANA,MT,US,STATE,13,CASES
1937,44,MONTANA,MT,US,STATE,16,CASES
1937,45,MONTANA,MT,US,STATE,15,CASES
1937,46,MONTANA,MT,US,STATE,23,CASES
1937,47,MONTANA,MT,US,STATE,19,CASES
1937,48,MONTANA,MT,US,STATE,22,CASES
1937,49,MONTANA,MT,US,STATE,24,CASES
1937,50,MONTANA,MT,US,STATE,37,CASES
1937,51,MONTANA,MT,US,STATE,39,CASES
1937,52,MONTANA,MT,US,STATE,34,CASES
1938,1,MONTANA,MT,US,STATE,67,CASES
1938,2,MONTANA,MT,US,STATE,32,CASES
1938,3,MONTANA,MT,US,STATE,31,CASES
1938,4,MONTANA,MT,US,STATE,24,CASES
1938,5,MONTANA,MT,US,STATE,31,CASES
1938,6,MONTANA,MT,US,STATE,16,CASES
1938,7,MONTANA,MT,US,STATE,19,CASES
1938,8,MONTANA,MT,US,STATE,24,CASES
1938,9,MONTANA,MT,US,STATE,28,CASES
1938,10,MONTANA,MT,US,STATE,16,CASES
1938,11,MONTANA,MT,US,STATE,60,CASES
1938,12,MONTANA,MT,US,STATE,16,CASES
1938,13,MONTANA,MT,US,STATE,22,CASES
1938,14,MONTANA,MT,US,STATE,53,CASES
1938,15,MONTANA,MT,US,STATE,37,CASES
1938,16,MONTANA,MT,US,STATE,26,CASES
1938,17,MONTANA,MT,US,STATE,34,CASES
1938,18,MONTANA,MT,US,STATE,54,CASES
1938,19,MONTANA,MT,US,STATE,82,CASES
1938,20,MONTANA,MT,US,STATE,29,CASES
1938,21,MONTANA,MT,US,STATE,50,CASES
1938,22,MONTANA,MT,US,STATE,43,CASES
1938,23,MONTANA,MT,US,STATE,59,CASES
1938,24,MONTANA,MT,US,STATE,57,CASES
1938,25,MONTANA,MT,US,STATE,252,CASES
1938,26,MONTANA,MT,US,STATE,503,CASES
1938,28,MONTANA,MT,US,STATE,532,CASES
1938,29,MONTANA,MT,US,STATE,522,CASES
1938,30,MONTANA,MT,US,STATE,522,CASES
1938,31,MONTANA,MT,US,STATE,648,CASES
1938,32,MONTANA,MT,US,STATE,580,CASES
1938,33,MONTANA,MT,US,STATE,687,CASES
1938,34,MONTANA,MT,US,STATE,677,CASES
1938,35,MONTANA,MT,US,STATE,551,CASES
1938,36,MONTANA,MT,US,STATE,358,CASES
1938,37,MONTANA,MT,US,STATE,387,CASES
1938,38,MONTANA,MT,US,STATE,20,CASES
1938,39,MONTANA,MT,US,STATE,19,CASES
1938,40,MONTANA,MT,US,STATE,223,CASES
1938,41,MONTANA,MT,US,STATE,13,CASES
1938,42,MONTANA,MT,US,STATE,213,CASES
1938,43,MONTANA,MT,US,STATE,17,CASES
1938,44,MONTANA,MT,US,STATE,252,CASES
1938,45,MONTANA,MT,US,STATE,25,CASES
1938,46,MONTANA,MT,US,STATE,348,CASES
1938,47,MONTANA,MT,US,STATE,445,CASES
1938,48,MONTANA,MT,US,STATE,310,CASES
1938,49,MONTANA,MT,US,STATE,358,CASES
1938,50,MONTANA,MT,US,STATE,145,CASES
1938,51,MONTANA,MT,US,STATE,0,CASES
1938,52,MONTANA,MT,US,STATE,18,CASES
1939,1,MONTANA,MT,US,STATE,47,CASES
1939,2,MONTANA,MT,US,STATE,244,CASES
1939,3,MONTANA,MT,US,STATE,225,CASES
1939,4,MONTANA,MT,US,STATE,131,CASES
1939,5,MONTANA,MT,US,STATE,14,CASES
1939,6,MONTANA,MT,US,STATE,13,CASES
1939,7,MONTANA,MT,US,STATE,4,CASES
1939,8,MONTANA,MT,US,STATE,15,CASES
1939,9,MONTANA,MT,US,STATE,7,CASES
1939,10,MONTANA,MT,US,STATE,5,CASES
1939,11,MONTANA,MT,US,STATE,5,CASES
1939,12,MONTANA,MT,US,STATE,1,CASES
1939,13,MONTANA,MT,US,STATE,2,CASES
1939,14,MONTANA,MT,US,STATE,6,CASES
1939,15,MONTANA,MT,US,STATE,5,CASES
1939,16,MONTANA,MT,US,STATE,56,CASES
1939,17,MONTANA,MT,US,STATE,37,CASES
1939,18,MONTANA,MT,US,STATE,4,CASES
1939,19,MONTANA,MT,US,STATE,37,CASES
1939,20,MONTANA,MT,US,STATE,262,CASES
1939,21,MONTANA,MT,US,STATE,30,CASES
1939,22,MONTANA,MT,US,STATE,6,CASES
1939,23,MONTANA,MT,US,STATE,7,CASES
1939,24,MONTANA,MT,US,STATE,56,CASES
1939,25,MONTANA,MT,US,STATE,14,CASES
1939,26,MONTANA,MT,US,STATE,9,CASES
1939,27,MONTANA,MT,US,STATE,47,CASES
1939,28,MONTANA,MT,US,STATE,6,CASES
1939,29,MONTANA,MT,US,STATE,6,CASES
1939,30,MONTANA,MT,US,STATE,11,CASES
1939,31,MONTANA,MT,US,STATE,9,CASES
1939,32,MONTANA,MT,US,STATE,94,CASES
1939,33,MONTANA,MT,US,STATE,6,CASES
1939,34,MONTANA,MT,US,STATE,2,CASES
1939,35,MONTANA,MT,US,STATE,11,CASES
1939,36,MONTANA,MT,US,STATE,94,CASES
1939,37,MONTANA,MT,US,STATE,7,CASES
1939,38,MONTANA,MT,US,STATE,37,CASES
1939,39,MONTANA,MT,US,STATE,66,CASES
1939,40,MONTANA,MT,US,STATE,9,CASES
1939,41,MONTANA,MT,US,STATE,75,CASES
1939,42,MONTANA,MT,US,STATE,8,CASES
1939,43,MONTANA,MT,US,STATE,47,CASES
1939,44,MONTANA,MT,US,STATE,0,CASES
1939,45,MONTANA,MT,US,STATE,4,CASES
1939,46,MONTANA,MT,US,STATE,19,CASES
1939,47,MONTANA,MT,US,STATE,3,CASES
1939,48,MONTANA,MT,US,STATE,9,CASES
1939,49,MONTANA,MT,US,STATE,56,CASES
1939,50,MONTANA,MT,US,STATE,56,CASES
1939,51,MONTANA,MT,US,STATE,6,CASES
1939,52,MONTANA,MT,US,STATE,47,CASES
1940,2,MONTANA,MT,US,STATE,3,CASES
1940,3,MONTANA,MT,US,STATE,5,CASES
1940,4,MONTANA,MT,US,STATE,5,CASES
1940,6,MONTANA,MT,US,STATE,1,CASES
1940,7,MONTANA,MT,US,STATE,4,CASES
1940,8,MONTANA,MT,US,STATE,4,CASES
1940,9,MONTANA,MT,US,STATE,10,CASES
1940,10,MONTANA,MT,US,STATE,3,CASES
1940,11,MONTANA,MT,US,STATE,5,CASES
1940,12,MONTANA,MT,US,STATE,2,CASES
1940,13,MONTANA,MT,US,STATE,1,CASES
1940,14,MONTANA,MT,US,STATE,6,CASES
1940,15,MONTANA,MT,US,STATE,3,CASES
1940,16,MONTANA,MT,US,STATE,5,CASES
1940,17,MONTANA,MT,US,STATE,4,CASES
1940,18,MONTANA,MT,US,STATE,0,CASES
1940,19,MONTANA,MT,US,STATE,1,CASES
1940,20,MONTANA,MT,US,STATE,2,CASES
1940,21,MONTANA,MT,US,STATE,0,CASES
1940,22,MONTANA,MT,US,STATE,4,CASES
1940,23,MONTANA,MT,US,STATE,0,CASES
1940,24,MONTANA,MT,US,STATE,0,CASES
1940,25,MONTANA,MT,US,STATE,1,CASES
1940,26,MONTANA,MT,US,STATE,1,CASES
1940,27,MONTANA,MT,US,STATE,6,CASES
1940,28,MONTANA,MT,US,STATE,8,CASES
1940,29,MONTANA,MT,US,STATE,3,CASES
1940,30,MONTANA,MT,US,STATE,0,CASES
1940,31,MONTANA,MT,US,STATE,1,CASES
1940,32,MONTANA,MT,US,STATE,2,CASES
1940,33,MONTANA,MT,US,STATE,17,CASES
1940,34,MONTANA,MT,US,STATE,9,CASES
1940,35,MONTANA,MT,US,STATE,6,CASES
1940,36,MONTANA,MT,US,STATE,8,CASES
1940,37,MONTANA,MT,US,STATE,8,CASES
1940,38,MONTANA,MT,US,STATE,7,CASES
1940,39,MONTANA,MT,US,STATE,3,CASES
1940,40,MONTANA,MT,US,STATE,1,CASES
1940,41,MONTANA,MT,US,STATE,0,CASES
1940,42,MONTANA,MT,US,STATE,3,CASES
1940,43,MONTANA,MT,US,STATE,0,CASES
1940,44,MONTANA,MT,US,STATE,0,CASES
1940,45,MONTANA,MT,US,STATE,0,CASES
