year,week,loc,state,country,loc_type,number,event
1927,47,NORTH CAROLINA,NC,US,STATE,91,CASES
1927,48,NORTH CAROLINA,NC,US,STATE,122,CASES
1927,49,NORTH CAROLINA,NC,US,STATE,80,CASES
1928,1,NORTH CAROLINA,NC,US,STATE,49,CASES
1928,2,NORTH CAROLINA,NC,US,STATE,80,CASES
1928,3,NORTH CAROLINA,NC,US,STATE,73,CASES
1928,4,NORTH CAROLINA,NC,US,STATE,53,CASES
1928,5,NORTH CAROLINA,NC,US,STATE,51,CASES
1928,6,NORTH CAROLINA,NC,US,STATE,46,CASES
1928,7,NORTH CAROLINA,NC,US,STATE,39,CASES
1928,8,NORTH CAROLINA,NC,US,STATE,50,CASES
1928,9,NORTH CAROLINA,NC,US,STATE,29,CASES
1928,10,NORTH CAROLINA,NC,US,STATE,36,CASES
1928,11,NORTH CAROLINA,NC,US,STATE,35,CASES
1928,12,NORTH CAROLINA,NC,US,STATE,111,CASES
1928,13,NORTH CAROLINA,NC,US,STATE,38,CASES
1928,14,NORTH CAROLINA,NC,US,STATE,43,CASES
1928,15,NORTH CAROLINA,NC,US,STATE,22,CASES
1928,16,NORTH CAROLINA,NC,US,STATE,26,CASES
1928,17,NORTH CAROLINA,NC,US,STATE,19,CASES
1928,18,NORTH CAROLINA,NC,US,STATE,23,CASES
1928,19,NORTH CAROLINA,NC,US,STATE,19,CASES
1928,20,NORTH CAROLINA,NC,US,STATE,11,CASES
1928,21,NORTH CAROLINA,NC,US,STATE,10,CASES
1928,22,NORTH CAROLINA,NC,US,STATE,13,CASES
1928,23,NORTH CAROLINA,NC,US,STATE,19,CASES
1928,24,NORTH CAROLINA,NC,US,STATE,12,CASES
1928,25,NORTH CAROLINA,NC,US,STATE,12,CASES
1928,26,NORTH CAROLINA,NC,US,STATE,13,CASES
1928,27,NORTH CAROLINA,NC,US,STATE,9,CASES
1928,28,NORTH CAROLINA,NC,US,STATE,14,CASES
1928,29,NORTH CAROLINA,NC,US,STATE,10,CASES
1928,30,NORTH CAROLINA,NC,US,STATE,25,CASES
1928,31,NORTH CAROLINA,NC,US,STATE,14,CASES
1928,32,NORTH CAROLINA,NC,US,STATE,17,CASES
1928,33,NORTH CAROLINA,NC,US,STATE,33,CASES
