year,week,loc,state,country,loc_type,number,event
1975,10,NORTH CAROLINA,NC,US,STATE,12,CASES
1975,11,NORTH CAROLINA,NC,US,STATE,14,CASES
1975,12,NORTH CAROLINA,NC,US,STATE,5,CASES
1975,15,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,16,NORTH CAROLINA,NC,US,STATE,10,CASES
1975,17,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,20,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,21,NORTH CAROLINA,NC,US,STATE,4,CASES
1975,22,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,23,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,24,NORTH CAROLINA,NC,US,STATE,8,CASES
1975,25,NORTH CAROLINA,NC,US,STATE,7,CASES
1975,26,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,27,NORTH CAROLINA,NC,US,STATE,4,CASES
1975,28,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,29,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,30,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,31,NORTH CAROLINA,NC,US,STATE,6,CASES
1975,32,NORTH CAROLINA,NC,US,STATE,6,CASES
1975,33,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,34,NORTH CAROLINA,NC,US,STATE,5,CASES
1975,38,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,39,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,40,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,45,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,46,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,47,NORTH CAROLINA,NC,US,STATE,4,CASES
1975,48,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,49,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,50,NORTH CAROLINA,NC,US,STATE,8,CASES
1975,51,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,1,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,4,NORTH CAROLINA,NC,US,STATE,71,CASES
1976,5,NORTH CAROLINA,NC,US,STATE,6,CASES
1976,6,NORTH CAROLINA,NC,US,STATE,9,CASES
1976,7,NORTH CAROLINA,NC,US,STATE,7,CASES
1976,8,NORTH CAROLINA,NC,US,STATE,95,CASES
1976,9,NORTH CAROLINA,NC,US,STATE,3,CASES
1976,10,NORTH CAROLINA,NC,US,STATE,10,CASES
1976,11,NORTH CAROLINA,NC,US,STATE,47,CASES
1976,12,NORTH CAROLINA,NC,US,STATE,4,CASES
1976,13,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,15,NORTH CAROLINA,NC,US,STATE,6,CASES
1976,16,NORTH CAROLINA,NC,US,STATE,9,CASES
1976,17,NORTH CAROLINA,NC,US,STATE,3,CASES
1976,19,NORTH CAROLINA,NC,US,STATE,9,CASES
1976,20,NORTH CAROLINA,NC,US,STATE,13,CASES
1976,21,NORTH CAROLINA,NC,US,STATE,20,CASES
1976,23,NORTH CAROLINA,NC,US,STATE,27,CASES
1976,24,NORTH CAROLINA,NC,US,STATE,6,CASES
1976,25,NORTH CAROLINA,NC,US,STATE,7,CASES
1976,26,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,27,NORTH CAROLINA,NC,US,STATE,3,CASES
1976,29,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,30,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,32,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,34,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,35,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,37,NORTH CAROLINA,NC,US,STATE,3,CASES
1976,39,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,41,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,42,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,43,NORTH CAROLINA,NC,US,STATE,3,CASES
1976,44,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,45,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,47,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,49,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,52,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,2,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,9,NORTH CAROLINA,NC,US,STATE,4,CASES
1977,10,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,11,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,13,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,15,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,16,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,17,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,19,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,20,NORTH CAROLINA,NC,US,STATE,8,CASES
1977,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,22,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,23,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,25,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,26,NORTH CAROLINA,NC,US,STATE,4,CASES
1977,27,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,28,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,29,NORTH CAROLINA,NC,US,STATE,7,CASES
1977,30,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,31,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,34,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,36,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,37,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,40,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,42,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,44,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,45,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,46,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,47,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,48,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,49,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,50,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,51,NORTH CAROLINA,NC,US,STATE,6,CASES
1977,52,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,1,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,2,NORTH CAROLINA,NC,US,STATE,6,CASES
