year,week,loc,state,country,loc_type,number,event
1972,14,NORTH DAKOTA,ND,US,STATE,18,CASES
1972,15,NORTH DAKOTA,ND,US,STATE,6,CASES
1972,16,NORTH DAKOTA,ND,US,STATE,21,CASES
1972,17,NORTH DAKOTA,ND,US,STATE,15,CASES
1972,18,NORTH DAKOTA,ND,US,STATE,10,CASES
1972,19,NORTH DAKOTA,ND,US,STATE,24,CASES
1972,20,NORTH DAKOTA,ND,US,STATE,6,CASES
1972,21,NORTH DAKOTA,ND,US,STATE,55,CASES
1972,23,NORTH DAKOTA,ND,US,STATE,8,CASES
1972,24,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,25,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,26,NORTH DAKOTA,ND,US,STATE,5,CASES
1972,27,NORTH DAKOTA,ND,US,STATE,13,CASES
1972,28,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,29,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,31,NORTH DAKOTA,ND,US,STATE,3,CASES
1972,32,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,33,NORTH DAKOTA,ND,US,STATE,7,CASES
1972,36,NORTH DAKOTA,ND,US,STATE,11,CASES
1972,37,NORTH DAKOTA,ND,US,STATE,3,CASES
1972,38,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,39,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,40,NORTH DAKOTA,ND,US,STATE,9,CASES
1972,41,NORTH DAKOTA,ND,US,STATE,2,CASES
1972,42,NORTH DAKOTA,ND,US,STATE,6,CASES
1972,43,NORTH DAKOTA,ND,US,STATE,23,CASES
1972,44,NORTH DAKOTA,ND,US,STATE,11,CASES
1972,45,NORTH DAKOTA,ND,US,STATE,40,CASES
1972,47,NORTH DAKOTA,ND,US,STATE,37,CASES
1972,48,NORTH DAKOTA,ND,US,STATE,90,CASES
1972,49,NORTH DAKOTA,ND,US,STATE,106,CASES
1972,50,NORTH DAKOTA,ND,US,STATE,36,CASES
1972,51,NORTH DAKOTA,ND,US,STATE,54,CASES
1973,1,NORTH DAKOTA,ND,US,STATE,16,CASES
1973,3,NORTH DAKOTA,ND,US,STATE,21,CASES
1973,4,NORTH DAKOTA,ND,US,STATE,55,CASES
1973,5,NORTH DAKOTA,ND,US,STATE,43,CASES
