year,week,loc,state,country,loc_type,number,event
1968,1,NORTH DAKOTA,ND,US,STATE,37,CASES
1968,2,NORTH DAKOTA,ND,US,STATE,23,CASES
1968,3,NORTH DAKOTA,ND,US,STATE,83,CASES
1968,4,NORTH DAKOTA,ND,US,STATE,29,CASES
1968,5,NORTH DAKOTA,ND,US,STATE,43,CASES
1968,6,NORTH DAKOTA,ND,US,STATE,51,CASES
1968,7,NORTH DAKOTA,ND,US,STATE,29,CASES
1968,8,NORTH DAKOTA,ND,US,STATE,33,CASES
1968,9,NORTH DAKOTA,ND,US,STATE,32,CASES
1968,10,NORTH DAKOTA,ND,US,STATE,60,CASES
1968,11,NORTH DAKOTA,ND,US,STATE,65,CASES
1968,12,NORTH DAKOTA,ND,US,STATE,35,CASES
1968,13,NORTH DAKOTA,ND,US,STATE,70,CASES
1968,14,NORTH DAKOTA,ND,US,STATE,44,CASES
1968,15,NORTH DAKOTA,ND,US,STATE,24,CASES
1968,16,NORTH DAKOTA,ND,US,STATE,92,CASES
1968,17,NORTH DAKOTA,ND,US,STATE,92,CASES
1968,18,NORTH DAKOTA,ND,US,STATE,73,CASES
1968,19,NORTH DAKOTA,ND,US,STATE,56,CASES
1968,20,NORTH DAKOTA,ND,US,STATE,42,CASES
1968,21,NORTH DAKOTA,ND,US,STATE,28,CASES
1968,22,NORTH DAKOTA,ND,US,STATE,18,CASES
1968,29,NORTH DAKOTA,ND,US,STATE,9,CASES
1968,30,NORTH DAKOTA,ND,US,STATE,6,CASES
1968,31,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,33,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,34,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,35,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,36,NORTH DAKOTA,ND,US,STATE,19,CASES
1968,37,NORTH DAKOTA,ND,US,STATE,17,CASES
1968,39,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,41,NORTH DAKOTA,ND,US,STATE,17,CASES
1968,42,NORTH DAKOTA,ND,US,STATE,11,CASES
1968,43,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,44,NORTH DAKOTA,ND,US,STATE,34,CASES
1968,45,NORTH DAKOTA,ND,US,STATE,8,CASES
1968,46,NORTH DAKOTA,ND,US,STATE,61,CASES
1968,47,NORTH DAKOTA,ND,US,STATE,19,CASES
1968,48,NORTH DAKOTA,ND,US,STATE,58,CASES
1968,49,NORTH DAKOTA,ND,US,STATE,44,CASES
1968,51,NORTH DAKOTA,ND,US,STATE,26,CASES
1969,1,NORTH DAKOTA,ND,US,STATE,9,CASES
1969,2,NORTH DAKOTA,ND,US,STATE,26,CASES
1969,3,NORTH DAKOTA,ND,US,STATE,8,CASES
1969,4,NORTH DAKOTA,ND,US,STATE,12,CASES
1969,5,NORTH DAKOTA,ND,US,STATE,22,CASES
1969,6,NORTH DAKOTA,ND,US,STATE,25,CASES
1969,7,NORTH DAKOTA,ND,US,STATE,12,CASES
1969,8,NORTH DAKOTA,ND,US,STATE,8,CASES
1969,9,NORTH DAKOTA,ND,US,STATE,13,CASES
1969,10,NORTH DAKOTA,ND,US,STATE,17,CASES
1969,12,NORTH DAKOTA,ND,US,STATE,12,CASES
1969,13,NORTH DAKOTA,ND,US,STATE,34,CASES
1969,14,NORTH DAKOTA,ND,US,STATE,12,CASES
1969,15,NORTH DAKOTA,ND,US,STATE,11,CASES
1969,16,NORTH DAKOTA,ND,US,STATE,10,CASES
1969,17,NORTH DAKOTA,ND,US,STATE,15,CASES
1969,18,NORTH DAKOTA,ND,US,STATE,18,CASES
1969,19,NORTH DAKOTA,ND,US,STATE,29,CASES
1969,20,NORTH DAKOTA,ND,US,STATE,7,CASES
1969,21,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,22,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,23,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,24,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,25,NORTH DAKOTA,ND,US,STATE,5,CASES
1969,26,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,27,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,29,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,30,NORTH DAKOTA,ND,US,STATE,5,CASES
1969,34,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,41,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,43,NORTH DAKOTA,ND,US,STATE,8,CASES
1969,44,NORTH DAKOTA,ND,US,STATE,10,CASES
1969,45,NORTH DAKOTA,ND,US,STATE,9,CASES
1969,46,NORTH DAKOTA,ND,US,STATE,10,CASES
1969,47,NORTH DAKOTA,ND,US,STATE,7,CASES
1969,48,NORTH DAKOTA,ND,US,STATE,8,CASES
1969,49,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,50,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,51,NORTH DAKOTA,ND,US,STATE,12,CASES
1969,52,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,1,NORTH DAKOTA,ND,US,STATE,13,CASES
1970,2,NORTH DAKOTA,ND,US,STATE,22,CASES
1970,3,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,4,NORTH DAKOTA,ND,US,STATE,20,CASES
1970,5,NORTH DAKOTA,ND,US,STATE,9,CASES
1970,6,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,7,NORTH DAKOTA,ND,US,STATE,38,CASES
1970,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1970,9,NORTH DAKOTA,ND,US,STATE,29,CASES
1970,10,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,11,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,12,NORTH DAKOTA,ND,US,STATE,13,CASES
1970,13,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,14,NORTH DAKOTA,ND,US,STATE,11,CASES
1970,15,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,16,NORTH DAKOTA,ND,US,STATE,22,CASES
1970,17,NORTH DAKOTA,ND,US,STATE,6,CASES
1970,18,NORTH DAKOTA,ND,US,STATE,9,CASES
1970,19,NORTH DAKOTA,ND,US,STATE,6,CASES
1970,20,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,21,NORTH DAKOTA,ND,US,STATE,11,CASES
1970,22,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,23,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,26,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,27,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,28,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,29,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,30,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,31,NORTH DAKOTA,ND,US,STATE,7,CASES
1970,32,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,33,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,34,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,35,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,36,NORTH DAKOTA,ND,US,STATE,6,CASES
1970,38,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,39,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,40,NORTH DAKOTA,ND,US,STATE,11,CASES
1970,41,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,42,NORTH DAKOTA,ND,US,STATE,12,CASES
1970,43,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,45,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,46,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,47,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,48,NORTH DAKOTA,ND,US,STATE,15,CASES
1970,49,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,50,NORTH DAKOTA,ND,US,STATE,8,CASES
1970,51,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,52,NORTH DAKOTA,ND,US,STATE,6,CASES
1971,1,NORTH DAKOTA,ND,US,STATE,5,CASES
1971,2,NORTH DAKOTA,ND,US,STATE,8,CASES
1971,3,NORTH DAKOTA,ND,US,STATE,20,CASES
1971,4,NORTH DAKOTA,ND,US,STATE,21,CASES
1971,5,NORTH DAKOTA,ND,US,STATE,13,CASES
1971,6,NORTH DAKOTA,ND,US,STATE,19,CASES
1971,7,NORTH DAKOTA,ND,US,STATE,5,CASES
1971,9,NORTH DAKOTA,ND,US,STATE,9,CASES
1971,10,NORTH DAKOTA,ND,US,STATE,6,CASES
1971,11,NORTH DAKOTA,ND,US,STATE,14,CASES
1971,12,NORTH DAKOTA,ND,US,STATE,18,CASES
1971,13,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,14,NORTH DAKOTA,ND,US,STATE,17,CASES
1971,15,NORTH DAKOTA,ND,US,STATE,14,CASES
1971,16,NORTH DAKOTA,ND,US,STATE,4,CASES
1971,17,NORTH DAKOTA,ND,US,STATE,20,CASES
1971,18,NORTH DAKOTA,ND,US,STATE,9,CASES
1971,19,NORTH DAKOTA,ND,US,STATE,28,CASES
