year,week,loc,state,country,loc_type,number,event
1966,1,NORTH DAKOTA,ND,US,STATE,7,CASES
1966,2,NORTH DAKOTA,ND,US,STATE,7,CASES
1966,3,NORTH DAKOTA,ND,US,STATE,8,CASES
1966,4,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,5,NORTH DAKOTA,ND,US,STATE,10,CASES
1966,6,NORTH DAKOTA,ND,US,STATE,8,CASES
1966,7,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,8,NORTH DAKOTA,ND,US,STATE,8,CASES
1966,9,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,10,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,11,NORTH DAKOTA,ND,US,STATE,5,CASES
1966,12,NORTH DAKOTA,ND,US,STATE,3,CASES
1966,13,NORTH DAKOTA,ND,US,STATE,6,CASES
1966,14,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,15,NORTH DAKOTA,ND,US,STATE,7,CASES
1966,16,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,17,NORTH DAKOTA,ND,US,STATE,3,CASES
1966,18,NORTH DAKOTA,ND,US,STATE,3,CASES
1966,19,NORTH DAKOTA,ND,US,STATE,7,CASES
1966,20,NORTH DAKOTA,ND,US,STATE,9,CASES
1966,21,NORTH DAKOTA,ND,US,STATE,5,CASES
1966,22,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,23,NORTH DAKOTA,ND,US,STATE,3,CASES
1966,24,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,26,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,27,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,28,NORTH DAKOTA,ND,US,STATE,5,CASES
1966,30,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,32,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,34,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,38,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,39,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,41,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1966,43,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,45,NORTH DAKOTA,ND,US,STATE,2,CASES
1966,46,NORTH DAKOTA,ND,US,STATE,3,CASES
1966,47,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,48,NORTH DAKOTA,ND,US,STATE,4,CASES
1966,50,NORTH DAKOTA,ND,US,STATE,10,CASES
1966,51,NORTH DAKOTA,ND,US,STATE,7,CASES
1966,52,NORTH DAKOTA,ND,US,STATE,8,CASES
1967,1,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,2,NORTH DAKOTA,ND,US,STATE,5,CASES
1967,3,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,4,NORTH DAKOTA,ND,US,STATE,7,CASES
1967,6,NORTH DAKOTA,ND,US,STATE,7,CASES
1967,7,NORTH DAKOTA,ND,US,STATE,11,CASES
1967,8,NORTH DAKOTA,ND,US,STATE,4,CASES
1967,9,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,10,NORTH DAKOTA,ND,US,STATE,3,CASES
1967,11,NORTH DAKOTA,ND,US,STATE,14,CASES
1967,12,NORTH DAKOTA,ND,US,STATE,14,CASES
1967,13,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,14,NORTH DAKOTA,ND,US,STATE,11,CASES
1967,15,NORTH DAKOTA,ND,US,STATE,9,CASES
1967,16,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,17,NORTH DAKOTA,ND,US,STATE,6,CASES
1967,19,NORTH DAKOTA,ND,US,STATE,13,CASES
1967,20,NORTH DAKOTA,ND,US,STATE,5,CASES
1967,21,NORTH DAKOTA,ND,US,STATE,6,CASES
1967,22,NORTH DAKOTA,ND,US,STATE,5,CASES
1967,23,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,24,NORTH DAKOTA,ND,US,STATE,5,CASES
1967,25,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,27,NORTH DAKOTA,ND,US,STATE,10,CASES
1967,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1967,30,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,31,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,32,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,34,NORTH DAKOTA,ND,US,STATE,5,CASES
1967,35,NORTH DAKOTA,ND,US,STATE,3,CASES
1967,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,44,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,45,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,49,NORTH DAKOTA,ND,US,STATE,4,CASES
1967,50,NORTH DAKOTA,ND,US,STATE,1,CASES
1967,51,NORTH DAKOTA,ND,US,STATE,2,CASES
1967,52,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,1,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,2,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,3,NORTH DAKOTA,ND,US,STATE,11,CASES
1968,4,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,5,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,6,NORTH DAKOTA,ND,US,STATE,8,CASES
1968,7,NORTH DAKOTA,ND,US,STATE,4,CASES
1968,8,NORTH DAKOTA,ND,US,STATE,9,CASES
1968,9,NORTH DAKOTA,ND,US,STATE,9,CASES
1968,10,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,11,NORTH DAKOTA,ND,US,STATE,6,CASES
1968,12,NORTH DAKOTA,ND,US,STATE,7,CASES
1968,13,NORTH DAKOTA,ND,US,STATE,6,CASES
1968,14,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,15,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,16,NORTH DAKOTA,ND,US,STATE,17,CASES
1968,18,NORTH DAKOTA,ND,US,STATE,8,CASES
1968,19,NORTH DAKOTA,ND,US,STATE,13,CASES
1968,20,NORTH DAKOTA,ND,US,STATE,7,CASES
1968,21,NORTH DAKOTA,ND,US,STATE,16,CASES
1968,22,NORTH DAKOTA,ND,US,STATE,10,CASES
1968,23,NORTH DAKOTA,ND,US,STATE,4,CASES
1968,25,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,26,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,27,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,29,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,31,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,32,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,33,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,34,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,35,NORTH DAKOTA,ND,US,STATE,4,CASES
1968,36,NORTH DAKOTA,ND,US,STATE,15,CASES
1968,37,NORTH DAKOTA,ND,US,STATE,6,CASES
1968,39,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,40,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,41,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,43,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,44,NORTH DAKOTA,ND,US,STATE,2,CASES
1968,45,NORTH DAKOTA,ND,US,STATE,1,CASES
1968,46,NORTH DAKOTA,ND,US,STATE,3,CASES
1968,47,NORTH DAKOTA,ND,US,STATE,4,CASES
1968,49,NORTH DAKOTA,ND,US,STATE,4,CASES
1968,50,NORTH DAKOTA,ND,US,STATE,8,CASES
1968,51,NORTH DAKOTA,ND,US,STATE,5,CASES
1968,52,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,1,NORTH DAKOTA,ND,US,STATE,5,CASES
1969,2,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,3,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,7,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,8,NORTH DAKOTA,ND,US,STATE,7,CASES
1969,9,NORTH DAKOTA,ND,US,STATE,33,CASES
1969,10,NORTH DAKOTA,ND,US,STATE,4,CASES
1969,12,NORTH DAKOTA,ND,US,STATE,16,CASES
1969,13,NORTH DAKOTA,ND,US,STATE,10,CASES
1969,14,NORTH DAKOTA,ND,US,STATE,15,CASES
1969,15,NORTH DAKOTA,ND,US,STATE,5,CASES
1969,16,NORTH DAKOTA,ND,US,STATE,7,CASES
1969,17,NORTH DAKOTA,ND,US,STATE,4,CASES
1969,18,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,19,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,20,NORTH DAKOTA,ND,US,STATE,11,CASES
1969,21,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,22,NORTH DAKOTA,ND,US,STATE,4,CASES
1969,23,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,24,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,25,NORTH DAKOTA,ND,US,STATE,8,CASES
1969,26,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,27,NORTH DAKOTA,ND,US,STATE,10,CASES
1969,28,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,29,NORTH DAKOTA,ND,US,STATE,5,CASES
1969,30,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,32,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,33,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,34,NORTH DAKOTA,ND,US,STATE,3,CASES
1969,35,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,38,NORTH DAKOTA,ND,US,STATE,6,CASES
1969,39,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,41,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,43,NORTH DAKOTA,ND,US,STATE,20,CASES
1969,44,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,45,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,46,NORTH DAKOTA,ND,US,STATE,9,CASES
1969,47,NORTH DAKOTA,ND,US,STATE,4,CASES
1969,49,NORTH DAKOTA,ND,US,STATE,1,CASES
1969,50,NORTH DAKOTA,ND,US,STATE,4,CASES
1969,51,NORTH DAKOTA,ND,US,STATE,2,CASES
1969,52,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,2,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,3,NORTH DAKOTA,ND,US,STATE,10,CASES
1970,4,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,5,NORTH DAKOTA,ND,US,STATE,11,CASES
1970,6,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,7,NORTH DAKOTA,ND,US,STATE,16,CASES
1970,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1970,9,NORTH DAKOTA,ND,US,STATE,11,CASES
1970,10,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,11,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,12,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,13,NORTH DAKOTA,ND,US,STATE,8,CASES
1970,14,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,15,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,16,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,17,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,18,NORTH DAKOTA,ND,US,STATE,7,CASES
1970,20,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,21,NORTH DAKOTA,ND,US,STATE,8,CASES
1970,22,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,23,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,24,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,25,NORTH DAKOTA,ND,US,STATE,5,CASES
1970,30,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,31,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,32,NORTH DAKOTA,ND,US,STATE,4,CASES
1970,33,NORTH DAKOTA,ND,US,STATE,9,CASES
1970,34,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,35,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,36,NORTH DAKOTA,ND,US,STATE,3,CASES
1970,37,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,39,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,41,NORTH DAKOTA,ND,US,STATE,2,CASES
1970,43,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,48,NORTH DAKOTA,ND,US,STATE,1,CASES
1970,49,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,3,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,4,NORTH DAKOTA,ND,US,STATE,7,CASES
1971,5,NORTH DAKOTA,ND,US,STATE,10,CASES
1971,6,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,7,NORTH DAKOTA,ND,US,STATE,4,CASES
1971,10,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,11,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,12,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,13,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,14,NORTH DAKOTA,ND,US,STATE,7,CASES
1971,15,NORTH DAKOTA,ND,US,STATE,22,CASES
1971,16,NORTH DAKOTA,ND,US,STATE,3,CASES
1971,17,NORTH DAKOTA,ND,US,STATE,7,CASES
1971,18,NORTH DAKOTA,ND,US,STATE,9,CASES
1971,19,NORTH DAKOTA,ND,US,STATE,4,CASES
1971,20,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,22,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,23,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,24,NORTH DAKOTA,ND,US,STATE,2,CASES
1971,27,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,31,NORTH DAKOTA,ND,US,STATE,4,CASES
1971,38,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,39,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1971,50,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,1,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,3,NORTH DAKOTA,ND,US,STATE,2,CASES
1972,4,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,7,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,8,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,13,NORTH DAKOTA,ND,US,STATE,8,CASES
1972,18,NORTH DAKOTA,ND,US,STATE,2,CASES
1972,23,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,30,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,33,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,40,NORTH DAKOTA,ND,US,STATE,2,CASES
1972,41,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,42,NORTH DAKOTA,ND,US,STATE,2,CASES
1972,45,NORTH DAKOTA,ND,US,STATE,17,CASES
1972,46,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,47,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,48,NORTH DAKOTA,ND,US,STATE,4,CASES
1972,49,NORTH DAKOTA,ND,US,STATE,1,CASES
1972,51,NORTH DAKOTA,ND,US,STATE,1,CASES
1973,1,NORTH DAKOTA,ND,US,STATE,1,CASES
1973,2,NORTH DAKOTA,ND,US,STATE,4,CASES
1973,4,NORTH DAKOTA,ND,US,STATE,8,CASES
1973,5,NORTH DAKOTA,ND,US,STATE,5,CASES
