year,week,loc,state,country,loc_type,number,event
1972,1,NEBRASKA,NE,US,STATE,11,CASES
1972,3,NEBRASKA,NE,US,STATE,4,CASES
1972,4,NEBRASKA,NE,US,STATE,36,CASES
1972,5,NEBRASKA,NE,US,STATE,5,CASES
1972,6,NEBRASKA,NE,US,STATE,3,CASES
1972,7,NEBRASKA,NE,US,STATE,23,CASES
1972,8,NEBRASKA,NE,US,STATE,11,CASES
1972,9,NEBRASKA,NE,US,STATE,23,CASES
1972,10,NEBRASKA,NE,US,STATE,3,CASES
1972,12,NEBRASKA,NE,US,STATE,4,CASES
1972,13,NEBRASKA,NE,US,STATE,1,CASES
1972,14,NEBRASKA,NE,US,STATE,30,CASES
1972,15,NEBRASKA,NE,US,STATE,7,CASES
1972,16,NEBRASKA,NE,US,STATE,7,CASES
1972,17,NEBRASKA,NE,US,STATE,11,CASES
1972,18,NEBRASKA,NE,US,STATE,13,CASES
1972,19,NEBRASKA,NE,US,STATE,14,CASES
1972,20,NEBRASKA,NE,US,STATE,1,CASES
1972,21,NEBRASKA,NE,US,STATE,20,CASES
1972,26,NEBRASKA,NE,US,STATE,3,CASES
1972,33,NEBRASKA,NE,US,STATE,4,CASES
1972,37,NEBRASKA,NE,US,STATE,1,CASES
1972,40,NEBRASKA,NE,US,STATE,5,CASES
1972,42,NEBRASKA,NE,US,STATE,6,CASES
1972,44,NEBRASKA,NE,US,STATE,14,CASES
1972,45,NEBRASKA,NE,US,STATE,1,CASES
1972,46,NEBRASKA,NE,US,STATE,49,CASES
1972,47,NEBRASKA,NE,US,STATE,9,CASES
1972,48,NEBRASKA,NE,US,STATE,9,CASES
1972,49,NEBRASKA,NE,US,STATE,52,CASES
1972,50,NEBRASKA,NE,US,STATE,6,CASES
1972,51,NEBRASKA,NE,US,STATE,3,CASES
1973,1,NEBRASKA,NE,US,STATE,32,CASES
1973,3,NEBRASKA,NE,US,STATE,2,CASES
1973,5,NEBRASKA,NE,US,STATE,64,CASES
1973,6,NEBRASKA,NE,US,STATE,39,CASES
1973,7,NEBRASKA,NE,US,STATE,25,CASES
1973,8,NEBRASKA,NE,US,STATE,29,CASES
1973,10,NEBRASKA,NE,US,STATE,33,CASES
1973,11,NEBRASKA,NE,US,STATE,24,CASES
1973,12,NEBRASKA,NE,US,STATE,22,CASES
1973,13,NEBRASKA,NE,US,STATE,12,CASES
1973,14,NEBRASKA,NE,US,STATE,25,CASES
1973,15,NEBRASKA,NE,US,STATE,15,CASES
1973,16,NEBRASKA,NE,US,STATE,5,CASES
1973,17,NEBRASKA,NE,US,STATE,4,CASES
1973,18,NEBRASKA,NE,US,STATE,6,CASES
1973,19,NEBRASKA,NE,US,STATE,5,CASES
1973,20,NEBRASKA,NE,US,STATE,10,CASES
1973,21,NEBRASKA,NE,US,STATE,4,CASES
1973,22,NEBRASKA,NE,US,STATE,4,CASES
1973,23,NEBRASKA,NE,US,STATE,10,CASES
1973,24,NEBRASKA,NE,US,STATE,2,CASES
1973,25,NEBRASKA,NE,US,STATE,3,CASES
1973,26,NEBRASKA,NE,US,STATE,2,CASES
1973,28,NEBRASKA,NE,US,STATE,1,CASES
1973,30,NEBRASKA,NE,US,STATE,1,CASES
1973,37,NEBRASKA,NE,US,STATE,2,CASES
1973,38,NEBRASKA,NE,US,STATE,2,CASES
1973,39,NEBRASKA,NE,US,STATE,1,CASES
1973,40,NEBRASKA,NE,US,STATE,2,CASES
1973,42,NEBRASKA,NE,US,STATE,4,CASES
1973,43,NEBRASKA,NE,US,STATE,1,CASES
1973,46,NEBRASKA,NE,US,STATE,2,CASES
1973,47,NEBRASKA,NE,US,STATE,3,CASES
1973,48,NEBRASKA,NE,US,STATE,2,CASES
1973,49,NEBRASKA,NE,US,STATE,14,CASES
1973,50,NEBRASKA,NE,US,STATE,7,CASES
1974,2,NEBRASKA,NE,US,STATE,1,CASES
1974,3,NEBRASKA,NE,US,STATE,6,CASES
1974,5,NEBRASKA,NE,US,STATE,6,CASES
1974,6,NEBRASKA,NE,US,STATE,2,CASES
1974,7,NEBRASKA,NE,US,STATE,2,CASES
1974,8,NEBRASKA,NE,US,STATE,16,CASES
1974,9,NEBRASKA,NE,US,STATE,7,CASES
1974,10,NEBRASKA,NE,US,STATE,7,CASES
1974,11,NEBRASKA,NE,US,STATE,7,CASES
1974,12,NEBRASKA,NE,US,STATE,9,CASES
1974,14,NEBRASKA,NE,US,STATE,23,CASES
1974,15,NEBRASKA,NE,US,STATE,3,CASES
1974,16,NEBRASKA,NE,US,STATE,4,CASES
1974,17,NEBRASKA,NE,US,STATE,6,CASES
1974,18,NEBRASKA,NE,US,STATE,4,CASES
1974,19,NEBRASKA,NE,US,STATE,10,CASES
1974,20,NEBRASKA,NE,US,STATE,3,CASES
1974,21,NEBRASKA,NE,US,STATE,12,CASES
1974,22,NEBRASKA,NE,US,STATE,6,CASES
1974,23,NEBRASKA,NE,US,STATE,13,CASES
1974,24,NEBRASKA,NE,US,STATE,2,CASES
1974,25,NEBRASKA,NE,US,STATE,5,CASES
1974,26,NEBRASKA,NE,US,STATE,2,CASES
1974,27,NEBRASKA,NE,US,STATE,6,CASES
1974,28,NEBRASKA,NE,US,STATE,3,CASES
1974,29,NEBRASKA,NE,US,STATE,4,CASES
1974,32,NEBRASKA,NE,US,STATE,1,CASES
1974,35,NEBRASKA,NE,US,STATE,2,CASES
1974,37,NEBRASKA,NE,US,STATE,1,CASES
1974,44,NEBRASKA,NE,US,STATE,2,CASES
1974,46,NEBRASKA,NE,US,STATE,3,CASES
1974,48,NEBRASKA,NE,US,STATE,11,CASES
1974,49,NEBRASKA,NE,US,STATE,7,CASES
1974,50,NEBRASKA,NE,US,STATE,14,CASES
1974,51,NEBRASKA,NE,US,STATE,1,CASES
1975,3,NEBRASKA,NE,US,STATE,21,CASES
1975,4,NEBRASKA,NE,US,STATE,9,CASES
1975,5,NEBRASKA,NE,US,STATE,15,CASES
1975,6,NEBRASKA,NE,US,STATE,26,CASES
1975,7,NEBRASKA,NE,US,STATE,1,CASES
1975,8,NEBRASKA,NE,US,STATE,2,CASES
1975,9,NEBRASKA,NE,US,STATE,4,CASES
1975,10,NEBRASKA,NE,US,STATE,1,CASES
1975,11,NEBRASKA,NE,US,STATE,18,CASES
1975,12,NEBRASKA,NE,US,STATE,10,CASES
1975,13,NEBRASKA,NE,US,STATE,4,CASES
1975,14,NEBRASKA,NE,US,STATE,15,CASES
1975,15,NEBRASKA,NE,US,STATE,15,CASES
1975,16,NEBRASKA,NE,US,STATE,8,CASES
1975,17,NEBRASKA,NE,US,STATE,15,CASES
1975,18,NEBRASKA,NE,US,STATE,9,CASES
1975,19,NEBRASKA,NE,US,STATE,6,CASES
1975,20,NEBRASKA,NE,US,STATE,5,CASES
1975,21,NEBRASKA,NE,US,STATE,5,CASES
1975,22,NEBRASKA,NE,US,STATE,5,CASES
1975,24,NEBRASKA,NE,US,STATE,14,CASES
1975,25,NEBRASKA,NE,US,STATE,1,CASES
1975,26,NEBRASKA,NE,US,STATE,2,CASES
1975,28,NEBRASKA,NE,US,STATE,20,CASES
1975,29,NEBRASKA,NE,US,STATE,9,CASES
1975,30,NEBRASKA,NE,US,STATE,1,CASES
1975,34,NEBRASKA,NE,US,STATE,1,CASES
